Episode no = 1900; won: False; iter_time_steps = 8; Q(s,a) = -9.368527599402402; score = -507.0; mean_score/100_episodes = -510.03; reward = -507.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-14 11:45:42
Episode no = 2000; won: False; iter_time_steps = 10; Q(s,a) = -9.970179286927914; score = -509.0; mean_score/100_episodes = -510.45; reward = -509.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-14 11:45:53
Episode no = 2100; won: False; iter_time_steps = 7; Q(s,a) = -10.529429371816798; score = -506.0; mean_score/100_episodes = -509.39; reward = -506.0; mean_reward/100_episodes = -509.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-14 11:46:03
Episode no = 2200; won: False; iter_time_steps = 9; Q(s,a) = -11.079156188789606; score = -508.0; mean_score/100_episodes = -510.1; reward = -508.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-14 11:46:13
Episode no = 2300; won: False; iter_time_steps = 15; Q(s,a) = -11.64936136303954; score = -504.0; mean_score/100_episodes = -510.13; reward = -503.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-14 11:46:24
Episode no = 2400; won: False; iter_time_steps = 13; Q(s,a) = -12.128172514286943; score = -512.0; mean_score/100_episodes = -509.69; reward = -512.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-14 11:46:34
Episode no = 2500; won: False; iter_time_steps = 6; Q(s,a) = -12.591099605720594; score = -505.0; mean_score/100_episodes = -510.25; reward = -505.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-14 11:46:45
Episode no = 2600; won: False; iter_time_steps = 11; Q(s,a) = -13.053569142959557; score = -510.0; mean_score/100_episodes = -510.7; reward = -510.0; mean_reward/100_episodes = -510.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-14 11:46:57
Episode no = 2700; won: False; iter_time_steps = 7; Q(s,a) = -13.48825206852932; score = -506.0; mean_score/100_episodes = -510.15; reward = -506.0; mean_reward/100_episodes = -510.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-14 11:47:08
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -13.870533823363814; score = -508.0; mean_score/100_episodes = -510.13; reward = -508.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-14 11:47:18
Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -14.244536742502103; score = -510.0; mean_score/100_episodes = -508.81; reward = -510.0; mean_reward/100_episodes = -508.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-14 11:47:29
Episode no = 3000; won: False; iter_time_steps = 7; Q(s,a) = -14.689385146006227; score = -506.0; mean_score/100_episodes = -509.15; reward = -506.0; mean_reward/100_episodes = -508.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-14 11:47:40
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = -15.049982568394377; score = -511.0; mean_score/100_episodes = -509.65; reward = -511.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-14 11:47:50
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -15.38986409205242; score = -509.0; mean_score/100_episodes = -509.38; reward = -509.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-14 11:48:01
