Episode no = 1900; won: False; iter_time_steps = 12; Q(s,a) = -9.825956970220318; score = -511.0; mean_score/100_episodes = -509.44; reward = -511.0; mean_reward/100_episodes = -509.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-10 09:06:13
Episode no = 2000; won: False; iter_time_steps = 6; Q(s,a) = -10.764613985260162; score = -505.0; mean_score/100_episodes = -510.56; reward = -505.0; mean_reward/100_episodes = -510.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-10 09:06:21
Episode no = 2100; won: False; iter_time_steps = 16; Q(s,a) = -11.119459516892375; score = -505.0; mean_score/100_episodes = -509.48; reward = -504.0; mean_reward/100_episodes = -509.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-10 09:06:28
Episode no = 2200; won: False; iter_time_steps = 9; Q(s,a) = -11.990860841637462; score = -508.0; mean_score/100_episodes = -509.9; reward = -508.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-10 09:06:35
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -12.051220315253754; score = -507.0; mean_score/100_episodes = -509.66; reward = -507.0; mean_reward/100_episodes = -509.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-10 09:06:43
Episode no = 2400; won: False; iter_time_steps = 8; Q(s,a) = -12.480441131649195; score = -507.0; mean_score/100_episodes = -509.73; reward = -507.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-10 09:06:51
Episode no = 2500; won: False; iter_time_steps = 7; Q(s,a) = -13.248058363510893; score = -506.0; mean_score/100_episodes = -509.54; reward = -506.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-10 09:06:58
Episode no = 2600; won: False; iter_time_steps = 9; Q(s,a) = -13.30033758175388; score = -508.0; mean_score/100_episodes = -509.33; reward = -508.0; mean_reward/100_episodes = -509.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-10 09:07:05
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -14.27019103363669; score = -507.0; mean_score/100_episodes = -509.17; reward = -507.0; mean_reward/100_episodes = -508.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-10 09:07:12
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -13.574484484772565; score = -508.0; mean_score/100_episodes = -510.33; reward = -508.0; mean_reward/100_episodes = -510.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-10 09:07:20
Episode no = 2900; won: False; iter_time_steps = 10; Q(s,a) = -14.277338288139948; score = -509.0; mean_score/100_episodes = -510.61; reward = -509.0; mean_reward/100_episodes = -510.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-10 09:07:29
Episode no = 3000; won: False; iter_time_steps = 13; Q(s,a) = -14.669182048369045; score = -512.0; mean_score/100_episodes = -509.9; reward = -512.0; mean_reward/100_episodes = -509.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-10 09:07:38
