Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = 24.663131741968684; score = -501.0; mean_score/100_episodes = -508.56; reward = -489.0; mean_reward/100_episodes = -508.05; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-25 05:34:39
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -47.09705484155978; score = -507.0; mean_score/100_episodes = -508.57; reward = -507.0; mean_reward/100_episodes = -508.5; and epsilon = 0.64, win percentage = 0.0, 2024-11-25 05:34:44
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -603.107620077861; score = -508.0; mean_score/100_episodes = -509.22; reward = -508.0; mean_reward/100_episodes = -509.18; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-25 05:34:49
Episode no = 2900; won: False; iter_time_steps = 10; Q(s,a) = 9.33118878734724; score = -509.0; mean_score/100_episodes = -509.07; reward = -509.0; mean_reward/100_episodes = -509.08; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-25 05:34:54
Episode no = 3000; won: False; iter_time_steps = 12; Q(s,a) = 8.012660696794997; score = -501.0; mean_score/100_episodes = -508.56; reward = -489.0; mean_reward/100_episodes = -508.42; and epsilon = 0.6, win percentage = 0.0, 2024-11-25 05:35:00
Episode no = 3100; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.59; reward = -504.0; mean_reward/100_episodes = -509.53; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-25 05:35:06
Episode no = 3200; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.71; reward = -504.0; mean_reward/100_episodes = -509.63; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-25 05:35:12
Episode no = 3300; won: False; iter_time_steps = 21; Q(s,a) = 134.55715264155046; score = -520.0; mean_score/100_episodes = -510.01; reward = -520.0; mean_reward/100_episodes = -510.34; and epsilon = 0.56, win percentage = 0.0, 2024-11-25 05:35:17
Episode no = 3400; won: False; iter_time_steps = 12; Q(s,a) = 112.29184486186351; score = -511.0; mean_score/100_episodes = -510.27; reward = -511.0; mean_reward/100_episodes = -510.11; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-25 05:35:24
Episode no = 3500; won: False; iter_time_steps = 11; Q(s,a) = 128.98558314068106; score = -510.0; mean_score/100_episodes = -509.24; reward = -510.0; mean_reward/100_episodes = -508.91; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-25 05:35:30
Episode no = 3600; won: False; iter_time_steps = 9; Q(s,a) = 92.19175464042908; score = -508.0; mean_score/100_episodes = -499.26; reward = -508.0; mean_reward/100_episodes = -503.21; and epsilon = 0.52, win percentage = 0.01, 2024-11-25 05:35:36
Episode no = 3700; won: False; iter_time_steps = 12; Q(s,a) = 100.73111305985272; score = -501.0; mean_score/100_episodes = -499.24; reward = -500.0; mean_reward/100_episodes = -502.93; and epsilon = 0.5066666666666666, win percentage = 0.01, 2024-11-25 05:35:42
Episode no = 3800; won: False; iter_time_steps = 12; Q(s,a) = 180.73117710985554; score = -501.0; mean_score/100_episodes = -509.21; reward = -500.0; mean_reward/100_episodes = -509.42; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-25 05:35:49
