Episode no = 1900; won: False; iter_time_steps = 54; Q(s,a) = 115.50668531557511; score = -393.0; mean_score/100_episodes = -383.76; reward = -377.0; mean_reward/100_episodes = -368.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 02:09:02
Episode no = 2000; won: False; iter_time_steps = 54; Q(s,a) = 121.82987763920977; score = -363.0; mean_score/100_episodes = -380.32; reward = -355.0; mean_reward/100_episodes = -365.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 02:09:31
Episode no = 2100; won: False; iter_time_steps = 13; Q(s,a) = 126.50453269929471; score = -472.0; mean_score/100_episodes = -372.98; reward = -468.0; mean_reward/100_episodes = -355.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 02:09:58
Episode no = 2200; won: False; iter_time_steps = 101; Q(s,a) = 128.36153008664914; score = -250.0; mean_score/100_episodes = -365.89; reward = -215.0; mean_reward/100_episodes = -347.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-02 02:10:26
Episode no = 2300; won: False; iter_time_steps = 18; Q(s,a) = 135.08253721719376; score = -407.0; mean_score/100_episodes = -357.92; reward = -385.0; mean_reward/100_episodes = -342.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-02 02:10:58
Episode no = 2400; won: False; iter_time_steps = 28; Q(s,a) = 147.10498952900022; score = -407.0; mean_score/100_episodes = -344.04; reward = -384.0; mean_reward/100_episodes = -321.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-02 02:11:29
Episode no = 2500; won: False; iter_time_steps = 101; Q(s,a) = 139.11978772802308; score = -240.0; mean_score/100_episodes = -346.64; reward = -204.0; mean_reward/100_episodes = -325.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-02 02:12:01
Episode no = 2600; won: False; iter_time_steps = 27; Q(s,a) = 141.4703811865857; score = -366.0; mean_score/100_episodes = -321.29; reward = -350.0; mean_reward/100_episodes = -305.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-02 02:12:33
Episode no = 2700; won: False; iter_time_steps = 101; Q(s,a) = 146.6215797847818; score = -290.0; mean_score/100_episodes = -318.26; reward = -270.0; mean_reward/100_episodes = -299.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-02 02:13:06
Episode no = 2800; won: False; iter_time_steps = 25; Q(s,a) = 144.07879597822082; score = -444.0; mean_score/100_episodes = -313.75; reward = -436.0; mean_reward/100_episodes = -294.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-02 02:13:43
Episode no = 2900; won: False; iter_time_steps = 18; Q(s,a) = 150.61108588361816; score = -437.0; mean_score/100_episodes = -325.13; reward = -429.0; mean_reward/100_episodes = -308.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-02 02:14:14
Episode no = 3000; won: False; iter_time_steps = 56; Q(s,a) = 227.7248086598128; score = -395.0; mean_score/100_episodes = -325.65; reward = -368.0; mean_reward/100_episodes = -307.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-02 02:14:44
Episode no = 3100; won: False; iter_time_steps = 101; Q(s,a) = 155.8474447585532; score = -200.0; mean_score/100_episodes = -285.85; reward = -160.0; mean_reward/100_episodes = -272.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-02 02:15:16
Episode no = 3200; won: False; iter_time_steps = 101; Q(s,a) = 153.73957324464303; score = -300.0; mean_score/100_episodes = -282.49; reward = -270.0; mean_reward/100_episodes = -270.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-02 02:15:49
Episode no = 3300; won: False; iter_time_steps = 101; Q(s,a) = 156.03238379486973; score = -220.0; mean_score/100_episodes = -257.34; reward = -171.0; mean_reward/100_episodes = -256.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-02 02:16:25
Episode no = 3400; won: False; iter_time_steps = 28; Q(s,a) = 156.95640858202137; score = -397.0; mean_score/100_episodes = -262.46; reward = -384.0; mean_reward/100_episodes = -257.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-02 02:16:57
Episode no = 3500; won: False; iter_time_steps = 101; Q(s,a) = 160.1386650564294; score = 60.0; mean_score/100_episodes = -278.55; reward = -43.0; mean_reward/100_episodes = -265.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-02 02:17:30
Episode no = 3600; won: False; iter_time_steps = 101; Q(s,a) = 158.71851858420413; score = -150.0; mean_score/100_episodes = -276.39; reward = -105.0; mean_reward/100_episodes = -261.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-02 02:18:02
Episode no = 3700; won: False; iter_time_steps = 23; Q(s,a) = 162.6068895502305; score = -422.0; mean_score/100_episodes = -209.43; reward = -412.0; mean_reward/100_episodes = -208.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-02 02:18:37
Episode no = 3800; won: False; iter_time_steps = 23; Q(s,a) = 165.3392143524893; score = -402.0; mean_score/100_episodes = -210.27; reward = -390.0; mean_reward/100_episodes = -216.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-02 02:19:14
Episode no = 3900; won: False; iter_time_steps = 12; Q(s,a) = 163.65622334560405; score = -451.0; mean_score/100_episodes = -210.03; reward = -445.0; mean_reward/100_episodes = -225.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 02:19:48
Episode no = 4000; won: False; iter_time_steps = 28; Q(s,a) = 162.1773309767701; score = -357.0; mean_score/100_episodes = -205.88; reward = -351.0; mean_reward/100_episodes = -217.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 02:20:23
Episode no = 4100; won: False; iter_time_steps = 45; Q(s,a) = 206.17574450059215; score = -264.0; mean_score/100_episodes = -197.02; reward = -225.0; mean_reward/100_episodes = -207.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-02 02:20:55
Episode no = 4200; won: False; iter_time_steps = 30; Q(s,a) = 169.4397954083534; score = -379.0; mean_score/100_episodes = -153.94; reward = -364.0; mean_reward/100_episodes = -173.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-02 02:21:31
Episode no = 4300; won: False; iter_time_steps = 72; Q(s,a) = 188.6681408028255; score = 19.0; mean_score/100_episodes = -141.69; reward = -102.0; mean_reward/100_episodes = -160.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-02 02:22:08
Episode no = 4400; won: False; iter_time_steps = 83; Q(s,a) = 220.0867517776445; score = 48.0; mean_score/100_episodes = -116.09; reward = -58.0; mean_reward/100_episodes = -136.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-02 02:22:49
