Episode no = 1900; won: False; iter_time_steps = 29; Q(s,a) = 41.69850814952193; score = -438.0; mean_score/100_episodes = -401.39; reward = -429.0; mean_reward/100_episodes = -384.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-19 05:34:51
Episode no = 2000; won: False; iter_time_steps = 11; Q(s,a) = 31.704073336633208; score = -440.0; mean_score/100_episodes = -394.86; reward = -433.0; mean_reward/100_episodes = -382.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-19 05:36:04
Episode no = 2100; won: False; iter_time_steps = 83; Q(s,a) = 36.99774643917002; score = -322.0; mean_score/100_episodes = -400.47; reward = -285.0; mean_reward/100_episodes = -385.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-19 05:37:13
Episode no = 2200; won: False; iter_time_steps = 20; Q(s,a) = 62.56075620972389; score = -419.0; mean_score/100_episodes = -380.23; reward = -420.0; mean_reward/100_episodes = -367.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-19 05:38:29
Episode no = 2300; won: False; iter_time_steps = 85; Q(s,a) = 52.67033276966389; score = -304.0; mean_score/100_episodes = -360.34; reward = -265.0; mean_reward/100_episodes = -345.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-19 05:39:50
Episode no = 2400; won: False; iter_time_steps = 32; Q(s,a) = 71.95929146491451; score = -401.0; mean_score/100_episodes = -370.96; reward = -388.0; mean_reward/100_episodes = -357.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-19 05:40:59
Episode no = 2500; won: False; iter_time_steps = 52; Q(s,a) = 57.80778439573026; score = -391.0; mean_score/100_episodes = -353.79; reward = -375.0; mean_reward/100_episodes = -338.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-19 05:42:15
Episode no = 2600; won: False; iter_time_steps = 71; Q(s,a) = 76.44197784681558; score = -360.0; mean_score/100_episodes = -355.02; reward = -350.0; mean_reward/100_episodes = -341.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-19 05:43:21
Episode no = 2700; won: False; iter_time_steps = 112; Q(s,a) = 76.10870708718303; score = -81.0; mean_score/100_episodes = -329.35; reward = -186.0; mean_reward/100_episodes = -314.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-19 05:44:41
Episode no = 2800; won: False; iter_time_steps = 68; Q(s,a) = 80.79228534001848; score = -237.0; mean_score/100_episodes = -326.56; reward = -204.0; mean_reward/100_episodes = -314.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-19 05:46:03
Episode no = 2900; won: False; iter_time_steps = 40; Q(s,a) = 78.5880357678357; score = -409.0; mean_score/100_episodes = -323.45; reward = -396.0; mean_reward/100_episodes = -302.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-19 05:47:28
Episode no = 3000; won: False; iter_time_steps = 11; Q(s,a) = 82.64636042806555; score = -450.0; mean_score/100_episodes = -297.7; reward = -455.0; mean_reward/100_episodes = -280.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-19 05:48:52
Episode no = 3100; won: False; iter_time_steps = 187; Q(s,a) = 94.8527435938006; score = 184.0; mean_score/100_episodes = -315.28; reward = 102.0; mean_reward/100_episodes = -297.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-19 05:49:59
Episode no = 3200; won: False; iter_time_steps = 67; Q(s,a) = 99.48219438362467; score = -166.0; mean_score/100_episodes = -312.65; reward = -115.0; mean_reward/100_episodes = -297.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-19 05:51:07
Episode no = 3300; won: False; iter_time_steps = 29; Q(s,a) = 93.51571887495123; score = -378.0; mean_score/100_episodes = -312.78; reward = -352.0; mean_reward/100_episodes = -290.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-19 05:52:12
Episode no = 3400; won: False; iter_time_steps = 63; Q(s,a) = 98.52508010023597; score = -292.0; mean_score/100_episodes = -274.76; reward = -276.0; mean_reward/100_episodes = -254.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-19 05:53:31
Episode no = 3500; won: False; iter_time_steps = 54; Q(s,a) = 108.64571775050152; score = -323.0; mean_score/100_episodes = -285.64; reward = -300.0; mean_reward/100_episodes = -264.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-19 05:54:50
Episode no = 3600; won: False; iter_time_steps = 32; Q(s,a) = 109.49826003837771; score = -361.0; mean_score/100_episodes = -284.72; reward = -344.0; mean_reward/100_episodes = -263.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-19 05:56:02
Episode no = 3700; won: False; iter_time_steps = 119; Q(s,a) = 112.03274470791534; score = -8.0; mean_score/100_episodes = -245.26; reward = 53.0; mean_reward/100_episodes = -231.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-19 05:57:26
Episode no = 3800; won: False; iter_time_steps = 15; Q(s,a) = 117.55996141703102; score = -424.0; mean_score/100_episodes = -234.4; reward = -415.0; mean_reward/100_episodes = -222.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-19 05:58:32
Episode no = 3900; won: False; iter_time_steps = 125; Q(s,a) = 114.23602240533523; score = -34.0; mean_score/100_episodes = -250.75; reward = 25.0; mean_reward/100_episodes = -228.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-19 05:59:33
Episode no = 4000; won: False; iter_time_steps = 80; Q(s,a) = 123.4199957284739; score = -229.0; mean_score/100_episodes = -237.14; reward = -194.0; mean_reward/100_episodes = -225.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-19 06:00:39
Episode no = 4100; won: False; iter_time_steps = 132; Q(s,a) = 122.07458237626653; score = 249.0; mean_score/100_episodes = -218.44; reward = 179.0; mean_reward/100_episodes = -208.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-19 06:01:48
