Episode no = 1900; won: False; iter_time_steps = 31; Q(s,a) = 36.09893849650036; score = -380.0; mean_score/100_episodes = -395.39; reward = -354.0; mean_reward/100_episodes = -385.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 06:48:22
Episode no = 2000; won: False; iter_time_steps = 135; Q(s,a) = 53.943790233397955; score = -264.0; mean_score/100_episodes = -396.44; reward = -216.0; mean_reward/100_episodes = -380.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 06:49:25
Episode no = 2100; won: False; iter_time_steps = 176; Q(s,a) = 59.84396741556049; score = -335.0; mean_score/100_episodes = -381.22; reward = -301.0; mean_reward/100_episodes = -364.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 06:50:41
Episode no = 2200; won: False; iter_time_steps = 28; Q(s,a) = 67.71837184061701; score = -437.0; mean_score/100_episodes = -378.3; reward = -417.0; mean_reward/100_episodes = -359.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 06:51:49
Episode no = 2300; won: False; iter_time_steps = 74; Q(s,a) = 66.70684310807937; score = -373.0; mean_score/100_episodes = -374.99; reward = -353.0; mean_reward/100_episodes = -362.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-16 06:52:59
Episode no = 2400; won: False; iter_time_steps = 28; Q(s,a) = 75.96478836613242; score = -347.0; mean_score/100_episodes = -363.7; reward = -340.0; mean_reward/100_episodes = -346.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 06:54:08
Episode no = 2500; won: False; iter_time_steps = 21; Q(s,a) = 77.13058133441129; score = -450.0; mean_score/100_episodes = -365.64; reward = -443.0; mean_reward/100_episodes = -346.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 06:55:17
Episode no = 2600; won: False; iter_time_steps = 30; Q(s,a) = 80.63892841315837; score = -419.0; mean_score/100_episodes = -348.99; reward = -408.0; mean_reward/100_episodes = -330.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 06:56:28
Episode no = 2700; won: False; iter_time_steps = 42; Q(s,a) = 81.44030496368997; score = -341.0; mean_score/100_episodes = -343.14; reward = -332.0; mean_reward/100_episodes = -324.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-16 06:57:35
Episode no = 2800; won: False; iter_time_steps = 80; Q(s,a) = 88.26242381255233; score = -179.0; mean_score/100_episodes = -353.78; reward = -139.0; mean_reward/100_episodes = -339.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-16 06:58:37
Episode no = 2900; won: False; iter_time_steps = 158; Q(s,a) = 87.92629231324382; score = -177.0; mean_score/100_episodes = -337.31; reward = -129.0; mean_reward/100_episodes = -315.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-16 06:59:52
Episode no = 3000; won: False; iter_time_steps = 145; Q(s,a) = 91.22206212031293; score = 256.0; mean_score/100_episodes = -318.79; reward = 8.0; mean_reward/100_episodes = -301.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-16 07:01:03
Episode no = 3100; won: False; iter_time_steps = 72; Q(s,a) = 96.14223283088131; score = -191.0; mean_score/100_episodes = -325.94; reward = -153.0; mean_reward/100_episodes = -309.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-16 07:02:08
Episode no = 3200; won: False; iter_time_steps = 37; Q(s,a) = 102.77158076601555; score = -376.0; mean_score/100_episodes = -342.24; reward = -349.0; mean_reward/100_episodes = -322.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-16 07:03:09
Episode no = 3300; won: False; iter_time_steps = 100; Q(s,a) = 104.51754501431981; score = 101.0; mean_score/100_episodes = -325.28; reward = 2.0; mean_reward/100_episodes = -308.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-16 07:04:11
Episode no = 3400; won: False; iter_time_steps = 28; Q(s,a) = 107.73287799709502; score = -377.0; mean_score/100_episodes = -319.83; reward = -362.0; mean_reward/100_episodes = -296.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-16 07:05:20
