Episode no = 2000; won: False; iter_time_steps = 124; Q(s,a) = 44.13196518473787; score = 117.0; mean_score/100_episodes = -143.08; reward = 191.0; mean_reward/100_episodes = -126.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:29:11
Episode no = 2100; won: False; iter_time_steps = 137; Q(s,a) = 41.26990300266535; score = -36.0; mean_score/100_episodes = -171.75; reward = 24.0; mean_reward/100_episodes = -154.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:29:55
Episode no = 2200; won: False; iter_time_steps = 92; Q(s,a) = 41.93859421323529; score = 119.0; mean_score/100_episodes = -129.23; reward = 190.0; mean_reward/100_episodes = -114.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:30:46
Episode no = 2300; won: False; iter_time_steps = 185; Q(s,a) = 34.92376900818713; score = 76.0; mean_score/100_episodes = -119.38; reward = -17.0; mean_reward/100_episodes = -111.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:31:42
Episode no = 2400; won: False; iter_time_steps = 97; Q(s,a) = 35.75916401370948; score = 34.0; mean_score/100_episodes = -130.06; reward = 97.0; mean_reward/100_episodes = -119.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:32:35
Episode no = 2500; won: False; iter_time_steps = 104; Q(s,a) = 30.953708627225183; score = -93.0; mean_score/100_episodes = -140.85; reward = -42.0; mean_reward/100_episodes = -118.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:33:31
Episode no = 2600; won: False; iter_time_steps = 19; Q(s,a) = 33.65660343473018; score = -338.0; mean_score/100_episodes = -182.08; reward = -320.0; mean_reward/100_episodes = -154.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:34:16
Episode no = 2700; won: False; iter_time_steps = 39; Q(s,a) = 34.52654871133709; score = -228.0; mean_score/100_episodes = -183.05; reward = -197.0; mean_reward/100_episodes = -157.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:34:57
Episode no = 2800; won: False; iter_time_steps = 25; Q(s,a) = 37.546761302566686; score = -324.0; mean_score/100_episodes = -178.25; reward = -293.0; mean_reward/100_episodes = -149.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:35:45
Episode no = 2900; won: False; iter_time_steps = 97; Q(s,a) = 35.179340331146236; score = -36.0; mean_score/100_episodes = -164.27; reward = 20.0; mean_reward/100_episodes = -147.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:36:40
Episode no = 3000; won: False; iter_time_steps = 22; Q(s,a) = 36.86785836259969; score = -321.0; mean_score/100_episodes = -108.59; reward = -290.0; mean_reward/100_episodes = -108.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:37:44
Episode no = 3100; won: False; iter_time_steps = 85; Q(s,a) = 38.8140421103531; score = -64.0; mean_score/100_episodes = 66.39; reward = -12.0; mean_reward/100_episodes = 21.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:39:00
Episode no = 3200; won: False; iter_time_steps = 66; Q(s,a) = 33.637079147635966; score = 175.0; mean_score/100_episodes = 45.49; reward = 69.0; mean_reward/100_episodes = 1.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:40:08
Episode no = 3300; won: False; iter_time_steps = 38; Q(s,a) = 34.42540991778779; score = -227.0; mean_score/100_episodes = 39.45; reward = -185.0; mean_reward/100_episodes = 5.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:41:17
Episode no = 3400; won: False; iter_time_steps = 32; Q(s,a) = 32.937625246583984; score = -241.0; mean_score/100_episodes = 57.97; reward = -201.0; mean_reward/100_episodes = 21.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:42:35
Episode no = 3500; won: False; iter_time_steps = 167; Q(s,a) = 33.62498804919143; score = 324.0; mean_score/100_episodes = -27.15; reward = 243.0; mean_reward/100_episodes = -35.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:43:32
Episode no = 3600; won: False; iter_time_steps = 58; Q(s,a) = 31.07470088420365; score = -247.0; mean_score/100_episodes = 53.97; reward = -216.0; mean_reward/100_episodes = 25.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:44:43
Episode no = 3700; won: False; iter_time_steps = 18; Q(s,a) = 23.432028264573876; score = -357.0; mean_score/100_episodes = 70.05; reward = -330.0; mean_reward/100_episodes = 26.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:45:55
Episode no = 3800; won: False; iter_time_steps = 13; Q(s,a) = 23.615163226189402; score = -402.0; mean_score/100_episodes = 103.12; reward = -380.0; mean_reward/100_episodes = 42.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:47:16
Episode no = 3900; won: False; iter_time_steps = 111; Q(s,a) = 23.15578120992704; score = 230.0; mean_score/100_episodes = 78.38; reward = 145.0; mean_reward/100_episodes = 35.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:48:34
Episode no = 4000; won: False; iter_time_steps = 171; Q(s,a) = 23.54873793973879; score = 710.0; mean_score/100_episodes = 107.02; reward = 341.0; mean_reward/100_episodes = 46.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 13:49:53
Episode no = 4100; won: False; iter_time_steps = 188; Q(s,a) = 22.285032953965565; score = 403.0; mean_score/100_episodes = 64.79; reward = 343.0; mean_reward/100_episodes = 16.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 13:51:15
Episode no = 4200; won: False; iter_time_steps = 108; Q(s,a) = 20.8893774304577; score = 413.0; mean_score/100_episodes = 118.09; reward = 115.0; mean_reward/100_episodes = 72.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:52:34
Episode no = 4300; won: False; iter_time_steps = 92; Q(s,a) = 24.747276795999642; score = 449.0; mean_score/100_episodes = 100.62; reward = 193.0; mean_reward/100_episodes = 39.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:53:43
Episode no = 4400; won: False; iter_time_steps = 20; Q(s,a) = 17.061431400060975; score = -359.0; mean_score/100_episodes = 165.0; reward = -343.0; mean_reward/100_episodes = 85.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 13:55:06
Episode no = 4500; won: False; iter_time_steps = 37; Q(s,a) = 22.24478253643558; score = -176.0; mean_score/100_episodes = 220.34; reward = -140.0; mean_reward/100_episodes = 117.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:56:31
Episode no = 4600; won: False; iter_time_steps = 207; Q(s,a) = 21.342705868496527; score = 574.0; mean_score/100_episodes = 235.31; reward = 342.0; mean_reward/100_episodes = 136.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 13:58:14
Episode no = 4700; won: False; iter_time_steps = 49; Q(s,a) = 19.16829481711843; score = 92.0; mean_score/100_episodes = 197.76; reward = -24.0; mean_reward/100_episodes = 108.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 13:59:45
Episode no = 4800; won: False; iter_time_steps = 53; Q(s,a) = 21.430899380701323; score = -152.0; mean_score/100_episodes = 122.76; reward = -101.0; mean_reward/100_episodes = 61.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:01:02
Episode no = 4900; won: False; iter_time_steps = 155; Q(s,a) = 20.47276201732506; score = 26.0; mean_score/100_episodes = 127.13; reward = 94.0; mean_reward/100_episodes = 56.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:02:23
Episode no = 5000; won: False; iter_time_steps = 143; Q(s,a) = 21.393995115740676; score = 378.0; mean_score/100_episodes = 140.62; reward = 300.0; mean_reward/100_episodes = 44.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:03:49
Episode no = 5100; won: False; iter_time_steps = 163; Q(s,a) = 17.98950741160516; score = 188.0; mean_score/100_episodes = 178.97; reward = 273.0; mean_reward/100_episodes = 74.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:05:03
Episode no = 5200; won: False; iter_time_steps = 156; Q(s,a) = 21.172179909909055; score = 5.0; mean_score/100_episodes = 182.34; reward = 71.0; mean_reward/100_episodes = 74.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:06:22
Episode no = 5300; won: False; iter_time_steps = 72; Q(s,a) = 15.744754942903121; score = -231.0; mean_score/100_episodes = 36.52; reward = -197.0; mean_reward/100_episodes = -12.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:07:32
