Episode no = 1900; won: False; iter_time_steps = 25; Q(s,a) = 11.464541271506471; score = -424.0; mean_score/100_episodes = -421.89; reward = -403.0; mean_reward/100_episodes = -411.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-21 10:20:01
Episode no = 2000; won: False; iter_time_steps = 25; Q(s,a) = 20.827830261091385; score = -434.0; mean_score/100_episodes = -412.55; reward = -425.0; mean_reward/100_episodes = -404.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-21 10:20:46
Episode no = 2100; won: False; iter_time_steps = 47; Q(s,a) = 29.656881121332674; score = -366.0; mean_score/100_episodes = -391.61; reward = -337.0; mean_reward/100_episodes = -382.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-21 10:21:40
Episode no = 2200; won: False; iter_time_steps = 134; Q(s,a) = 37.63954435674944; score = -363.0; mean_score/100_episodes = -377.6; reward = -325.0; mean_reward/100_episodes = -370.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-21 10:22:30
Episode no = 2300; won: False; iter_time_steps = 15; Q(s,a) = 45.108913879920856; score = -454.0; mean_score/100_episodes = -388.16; reward = -448.0; mean_reward/100_episodes = -372.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-21 10:23:20
Episode no = 2400; won: False; iter_time_steps = 66; Q(s,a) = 53.341057119522816; score = -475.0; mean_score/100_episodes = -360.87; reward = -466.0; mean_reward/100_episodes = -348.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-21 10:24:17
Episode no = 2500; won: False; iter_time_steps = 134; Q(s,a) = 60.807932143197974; score = -243.0; mean_score/100_episodes = -360.47; reward = -204.0; mean_reward/100_episodes = -351.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-21 10:25:09
Episode no = 2600; won: False; iter_time_steps = 27; Q(s,a) = 67.33440364030945; score = -406.0; mean_score/100_episodes = -361.67; reward = -394.0; mean_reward/100_episodes = -347.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-21 10:26:07
Episode no = 2700; won: False; iter_time_steps = 59; Q(s,a) = 72.29474677914176; score = -378.0; mean_score/100_episodes = -347.6; reward = -360.0; mean_reward/100_episodes = -340.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-21 10:27:16
Episode no = 2800; won: False; iter_time_steps = 104; Q(s,a) = 79.49295203078802; score = -193.0; mean_score/100_episodes = -314.47; reward = -152.0; mean_reward/100_episodes = -304.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-21 10:28:24
