Episode no = 1900; won: False; iter_time_steps = 19; Q(s,a) = -10.46734557752395; score = -508.0; mean_score/100_episodes = -509.32; reward = -507.0; mean_reward/100_episodes = -509.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 05:53:15
Episode no = 2000; won: False; iter_time_steps = 10; Q(s,a) = -11.073764890334665; score = -509.0; mean_score/100_episodes = -509.35; reward = -509.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 05:53:26
Episode no = 2100; won: False; iter_time_steps = 20; Q(s,a) = -11.217789634996738; score = -519.0; mean_score/100_episodes = -509.56; reward = -519.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 05:53:37
Episode no = 2200; won: False; iter_time_steps = 7; Q(s,a) = -11.655701067154254; score = -506.0; mean_score/100_episodes = -509.61; reward = -506.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 05:53:48
Episode no = 2300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.38; reward = -506.0; mean_reward/100_episodes = -509.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-16 05:53:59
Episode no = 2400; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.33; reward = -505.0; mean_reward/100_episodes = -509.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 05:54:10
Episode no = 2500; won: False; iter_time_steps = 11; Q(s,a) = -13.33877324553932; score = -510.0; mean_score/100_episodes = -509.79; reward = -510.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 05:54:22
Episode no = 2600; won: False; iter_time_steps = 6; Q(s,a) = -13.5072970744167; score = -505.0; mean_score/100_episodes = -509.61; reward = -505.0; mean_reward/100_episodes = -509.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 05:54:34
Episode no = 2700; won: False; iter_time_steps = 5; Q(s,a) = -13.893197859686051; score = -504.0; mean_score/100_episodes = -510.26; reward = -504.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-16 05:54:46
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -14.403110088721657; score = -508.0; mean_score/100_episodes = -508.46; reward = -508.0; mean_reward/100_episodes = -508.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-16 05:54:57
Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -15.229936677535692; score = -510.0; mean_score/100_episodes = -509.93; reward = -510.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-16 05:55:09
Episode no = 3000; won: False; iter_time_steps = 11; Q(s,a) = -15.203588452273674; score = -510.0; mean_score/100_episodes = -509.95; reward = -510.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-16 05:55:21
Episode no = 3100; won: False; iter_time_steps = 13; Q(s,a) = -15.306829912164115; score = -512.0; mean_score/100_episodes = -509.83; reward = -512.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-16 05:55:33
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -15.507867077218783; score = -509.0; mean_score/100_episodes = -509.04; reward = -509.0; mean_reward/100_episodes = -508.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-16 05:55:45
Episode no = 3300; won: False; iter_time_steps = 12; Q(s,a) = -16.221272003274308; score = -511.0; mean_score/100_episodes = -510.07; reward = -511.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-16 05:55:58
