Episode no = 2600; won: False; iter_time_steps = 10; Q(s,a) = -0.03236795761133548; score = -509.0; mean_score/100_episodes = -509.69; reward = -509.0; mean_reward/100_episodes = -509.45; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-24 06:10:15
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -0.034915182118248435; score = -508.0; mean_score/100_episodes = -509.13; reward = -508.0; mean_reward/100_episodes = -509.18; and epsilon = 0.64, win percentage = 0.0, 2024-11-24 06:10:16
Episode no = 2800; won: False; iter_time_steps = 11; Q(s,a) = -0.037699794333082765; score = -510.0; mean_score/100_episodes = -509.62; reward = -510.0; mean_reward/100_episodes = -509.25; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-24 06:10:17
Episode no = 2900; won: False; iter_time_steps = 14; Q(s,a) = -0.04007252283610159; score = -513.0; mean_score/100_episodes = -507.8; reward = -513.0; mean_reward/100_episodes = -507.5; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-24 06:10:18
Episode no = 3000; won: False; iter_time_steps = 19; Q(s,a) = -0.04270473746074757; score = -508.0; mean_score/100_episodes = -498.7; reward = -507.0; mean_reward/100_episodes = -502.41; and epsilon = 0.6, win percentage = 0.01, 2024-11-24 06:10:19
Episode no = 3100; won: False; iter_time_steps = 9; Q(s,a) = -0.0451896819341953; score = -508.0; mean_score/100_episodes = -508.35; reward = -508.0; mean_reward/100_episodes = -507.94; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-24 06:10:21
Episode no = 3200; won: False; iter_time_steps = 22; Q(s,a) = -0.04761910865098894; score = -521.0; mean_score/100_episodes = -508.78; reward = -521.0; mean_reward/100_episodes = -508.62; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-24 06:10:22
Episode no = 3300; won: False; iter_time_steps = 15; Q(s,a) = -0.050276894552299944; score = -504.0; mean_score/100_episodes = -508.16; reward = -503.0; mean_reward/100_episodes = -507.56; and epsilon = 0.56, win percentage = 0.0, 2024-11-24 06:10:23
Episode no = 3400; won: False; iter_time_steps = 10; Q(s,a) = -0.05317973499809167; score = -509.0; mean_score/100_episodes = -508.47; reward = -509.0; mean_reward/100_episodes = -508.22; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-24 06:10:24
Episode no = 3500; won: False; iter_time_steps = 9; Q(s,a) = -0.055677333065929854; score = -508.0; mean_score/100_episodes = -508.56; reward = -508.0; mean_reward/100_episodes = -508.28; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-24 06:10:25
Episode no = 3600; won: False; iter_time_steps = 10; Q(s,a) = -0.058183587252204044; score = -509.0; mean_score/100_episodes = -508.98; reward = -509.0; mean_reward/100_episodes = -508.85; and epsilon = 0.52, win percentage = 0.0, 2024-11-24 06:10:27
Episode no = 3700; won: False; iter_time_steps = 5; Q(s,a) = -0.06090954422039165; score = -504.0; mean_score/100_episodes = -508.71; reward = -504.0; mean_reward/100_episodes = -508.75; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-24 06:10:29
Episode no = 3800; won: False; iter_time_steps = 8; Q(s,a) = -0.06321701878712152; score = -507.0; mean_score/100_episodes = -507.6; reward = -507.0; mean_reward/100_episodes = -507.07; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-24 06:10:30
Episode no = 3900; won: False; iter_time_steps = 17; Q(s,a) = -0.06561149995114811; score = -506.0; mean_score/100_episodes = -508.8; reward = -505.0; mean_reward/100_episodes = -508.83; and epsilon = 0.48, win percentage = 0.0, 2024-11-24 06:10:31
Episode no = 4000; won: False; iter_time_steps = 7; Q(s,a) = -0.06804144022246035; score = -506.0; mean_score/100_episodes = -507.78; reward = -506.0; mean_reward/100_episodes = -507.44; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-24 06:10:32
Episode no = 4100; won: False; iter_time_steps = 9; Q(s,a) = -0.07059129746858415; score = -508.0; mean_score/100_episodes = -508.42; reward = -508.0; mean_reward/100_episodes = -508.17; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-24 06:10:34
Episode no = 4200; won: False; iter_time_steps = 13; Q(s,a) = -0.07313281559324168; score = -512.0; mean_score/100_episodes = -508.38; reward = -512.0; mean_reward/100_episodes = -508.17; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-24 06:10:35
