Episode no = 1900; won: False; iter_time_steps = 148; Q(s,a) = 127.8728457176185; score = -247.0; mean_score/100_episodes = -326.53; reward = -206.0; mean_reward/100_episodes = -316.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-11 03:36:40
Episode no = 2000; won: False; iter_time_steps = 132; Q(s,a) = 128.3685897405094; score = -261.0; mean_score/100_episodes = -339.01; reward = -224.0; mean_reward/100_episodes = -323.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-11 03:37:16
Episode no = 2100; won: False; iter_time_steps = 19; Q(s,a) = 140.42229634171386; score = -398.0; mean_score/100_episodes = -321.27; reward = -386.0; mean_reward/100_episodes = -309.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-11 03:37:49
Episode no = 2200; won: False; iter_time_steps = 35; Q(s,a) = 133.79941094101056; score = -374.0; mean_score/100_episodes = -315.28; reward = -358.0; mean_reward/100_episodes = -305.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-11 03:38:27
Episode no = 2300; won: False; iter_time_steps = 41; Q(s,a) = 149.28194793628217; score = -420.0; mean_score/100_episodes = -303.14; reward = -408.0; mean_reward/100_episodes = -305.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-11 03:39:05
Episode no = 2400; won: False; iter_time_steps = 47; Q(s,a) = 143.84952729995928; score = -386.0; mean_score/100_episodes = -323.12; reward = -370.0; mean_reward/100_episodes = -311.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-11 03:39:38
Episode no = 2500; won: False; iter_time_steps = 106; Q(s,a) = 147.47979009277608; score = -205.0; mean_score/100_episodes = -272.17; reward = -165.0; mean_reward/100_episodes = -277.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-11 03:40:22
Episode no = 2600; won: False; iter_time_steps = 34; Q(s,a) = 174.51018269086774; score = -383.0; mean_score/100_episodes = -299.53; reward = -367.0; mean_reward/100_episodes = -289.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-11 03:40:59
Episode no = 2700; won: False; iter_time_steps = 208; Q(s,a) = 154.0832424012901; score = 353.0; mean_score/100_episodes = -252.23; reward = 110.0; mean_reward/100_episodes = -261.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-11 03:41:38
Episode no = 2800; won: False; iter_time_steps = 79; Q(s,a) = 173.68364906598694; score = -418.0; mean_score/100_episodes = -278.29; reward = -402.0; mean_reward/100_episodes = -266.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-11 03:42:18
