Episode no = 1900; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.72; reward = -510.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-19 08:10:09
Episode no = 2000; won: False; iter_time_steps = 14; Q(s,a) = -13.71904989391356; score = -503.0; mean_score/100_episodes = -509.38; reward = -502.0; mean_reward/100_episodes = -509.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-19 08:10:13
Episode no = 2100; won: False; iter_time_steps = 8; Q(s,a) = -14.634112898294326; score = -507.0; mean_score/100_episodes = -509.55; reward = -507.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-19 08:10:17
Episode no = 2200; won: False; iter_time_steps = 7; Q(s,a) = -14.666206869571916; score = -506.0; mean_score/100_episodes = -509.41; reward = -506.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-19 08:10:21
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -14.65320577323406; score = -507.0; mean_score/100_episodes = -509.19; reward = -507.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-19 08:10:25
Episode no = 2400; won: False; iter_time_steps = 9; Q(s,a) = -15.172694969762142; score = -508.0; mean_score/100_episodes = -509.35; reward = -508.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-19 08:10:29
Episode no = 2500; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.88; reward = -505.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-19 08:10:33
Episode no = 2600; won: False; iter_time_steps = 19; Q(s,a) = -15.661486421904044; score = -518.0; mean_score/100_episodes = -509.33; reward = -518.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-19 08:10:37
Episode no = 2700; won: False; iter_time_steps = 7; Q(s,a) = -16.092329098669033; score = -506.0; mean_score/100_episodes = -509.24; reward = -506.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-19 08:10:41
Episode no = 2800; won: False; iter_time_steps = 10; Q(s,a) = -16.258734119334697; score = -509.0; mean_score/100_episodes = -508.68; reward = -509.0; mean_reward/100_episodes = -508.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-19 08:10:46
Episode no = 2900; won: False; iter_time_steps = 6; Q(s,a) = -14.923034801982947; score = -505.0; mean_score/100_episodes = -508.66; reward = -505.0; mean_reward/100_episodes = -508.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-19 08:10:50
Episode no = 3000; won: False; iter_time_steps = 15; Q(s,a) = -11.704024937157039; score = -504.0; mean_score/100_episodes = -506.84; reward = -503.0; mean_reward/100_episodes = -506.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-19 08:10:54
Episode no = 3100; won: False; iter_time_steps = 15; Q(s,a) = -10.278152270487816; score = -504.0; mean_score/100_episodes = -505.91; reward = -503.0; mean_reward/100_episodes = -505.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-19 08:10:57
Episode no = 3200; won: False; iter_time_steps = 7; Q(s,a) = -16.12628613800077; score = -506.0; mean_score/100_episodes = -506.34; reward = -506.0; mean_reward/100_episodes = -505.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-19 08:11:01
Episode no = 3300; won: False; iter_time_steps = 6; Q(s,a) = -10.706385220188071; score = -505.0; mean_score/100_episodes = -506.74; reward = -505.0; mean_reward/100_episodes = -506.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-19 08:11:06
Episode no = 3400; won: False; iter_time_steps = 5; Q(s,a) = -9.466399313723116; score = -504.0; mean_score/100_episodes = -506.41; reward = -504.0; mean_reward/100_episodes = -505.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-19 08:11:10
Episode no = 3500; won: False; iter_time_steps = 6; Q(s,a) = -10.45271818903141; score = -505.0; mean_score/100_episodes = -505.69; reward = -505.0; mean_reward/100_episodes = -505.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-19 08:11:14
Episode no = 3600; won: False; iter_time_steps = 6; Q(s,a) = -7.835892648446562; score = -505.0; mean_score/100_episodes = -505.58; reward = -505.0; mean_reward/100_episodes = -504.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-19 08:11:18
Episode no = 3700; won: False; iter_time_steps = 15; Q(s,a) = -3.869520077214746; score = -504.0; mean_score/100_episodes = -505.87; reward = -503.0; mean_reward/100_episodes = -504.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-19 08:11:23
Episode no = 3800; won: False; iter_time_steps = 15; Q(s,a) = -2.764910835191516; score = -504.0; mean_score/100_episodes = -505.53; reward = -503.0; mean_reward/100_episodes = -504.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-19 08:11:27
Episode no = 3900; won: False; iter_time_steps = 6; Q(s,a) = -7.801140017809128; score = -505.0; mean_score/100_episodes = -505.29; reward = -505.0; mean_reward/100_episodes = -504.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-19 08:11:31
Episode no = 4000; won: False; iter_time_steps = 18; Q(s,a) = 1.3753358191346674; score = -507.0; mean_score/100_episodes = -505.92; reward = -506.0; mean_reward/100_episodes = -505.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-19 08:11:35
Episode no = 4100; won: False; iter_time_steps = 15; Q(s,a) = 1.4362129592142494; score = -504.0; mean_score/100_episodes = -504.82; reward = -503.0; mean_reward/100_episodes = -504.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-19 08:11:39
Episode no = 4200; won: False; iter_time_steps = 17; Q(s,a) = 0.8300851441108295; score = -506.0; mean_score/100_episodes = -505.0; reward = -505.0; mean_reward/100_episodes = -504.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-19 08:11:42
Episode no = 4300; won: False; iter_time_steps = 6; Q(s,a) = -0.6848402444870892; score = -505.0; mean_score/100_episodes = -504.76; reward = -505.0; mean_reward/100_episodes = -504.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-19 08:11:46
Episode no = 4400; won: False; iter_time_steps = 14; Q(s,a) = 0.9262238943252303; score = -503.0; mean_score/100_episodes = -504.85; reward = -502.0; mean_reward/100_episodes = -504.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-19 08:11:50
Episode no = 4500; won: False; iter_time_steps = 12; Q(s,a) = 0.25291351315173016; score = -501.0; mean_score/100_episodes = -504.87; reward = -500.0; mean_reward/100_episodes = -504.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-19 08:11:54
Episode no = 4600; won: False; iter_time_steps = 16; Q(s,a) = -0.7885439811896938; score = -505.0; mean_score/100_episodes = -504.29; reward = -504.0; mean_reward/100_episodes = -503.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-19 08:11:57
Episode no = 4700; won: False; iter_time_steps = 6; Q(s,a) = -2.2020114153744297; score = -505.0; mean_score/100_episodes = -504.41; reward = -505.0; mean_reward/100_episodes = -503.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-19 08:12:01
Episode no = 4800; won: False; iter_time_steps = 19; Q(s,a) = -0.11848998820962774; score = -508.0; mean_score/100_episodes = -504.22; reward = -507.0; mean_reward/100_episodes = -503.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-19 08:12:05
Episode no = 4900; won: False; iter_time_steps = 5; Q(s,a) = -1.3574879449670272; score = -504.0; mean_score/100_episodes = -504.44; reward = -504.0; mean_reward/100_episodes = -503.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-19 08:12:08
Episode no = 5000; won: False; iter_time_steps = 5; Q(s,a) = -2.364120317132218; score = -504.0; mean_score/100_episodes = -504.03; reward = -504.0; mean_reward/100_episodes = -503.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-19 08:12:12
Episode no = 5100; won: False; iter_time_steps = 5; Q(s,a) = -2.4942610612007696; score = -504.0; mean_score/100_episodes = -504.39; reward = -504.0; mean_reward/100_episodes = -503.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-19 08:12:16
Episode no = 5200; won: False; iter_time_steps = 5; Q(s,a) = -2.8266798052851136; score = -504.0; mean_score/100_episodes = -504.46; reward = -504.0; mean_reward/100_episodes = -504.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-19 08:12:19
Episode no = 5300; won: False; iter_time_steps = 5; Q(s,a) = -3.4809752899762136; score = -504.0; mean_score/100_episodes = -504.52; reward = -504.0; mean_reward/100_episodes = -504.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-19 08:12:23
Episode no = 5400; won: False; iter_time_steps = 15; Q(s,a) = -3.519028220119497; score = -504.0; mean_score/100_episodes = -504.51; reward = -503.0; mean_reward/100_episodes = -503.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-19 08:12:27
Episode no = 5500; won: False; iter_time_steps = 14; Q(s,a) = -3.078920050890618; score = -503.0; mean_score/100_episodes = -504.41; reward = -502.0; mean_reward/100_episodes = -503.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-19 08:12:31
Episode no = 5600; won: False; iter_time_steps = 14; Q(s,a) = -3.222558386814989; score = -503.0; mean_score/100_episodes = -504.58; reward = -502.0; mean_reward/100_episodes = -504.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-19 08:12:35
Episode no = 5700; won: False; iter_time_steps = 5; Q(s,a) = -4.826092864932016; score = -504.0; mean_score/100_episodes = -504.75; reward = -504.0; mean_reward/100_episodes = -504.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-19 08:12:39
Episode no = 5800; won: False; iter_time_steps = 13; Q(s,a) = -4.271410431392584; score = -502.0; mean_score/100_episodes = -504.67; reward = -501.0; mean_reward/100_episodes = -503.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-19 08:12:44
Episode no = 5900; won: False; iter_time_steps = 19; Q(s,a) = -4.335355684877003; score = -508.0; mean_score/100_episodes = -504.54; reward = -507.0; mean_reward/100_episodes = -504.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-19 08:12:47
Episode no = 6000; won: False; iter_time_steps = 5; Q(s,a) = -5.129059271237926; score = -504.0; mean_score/100_episodes = -504.69; reward = -504.0; mean_reward/100_episodes = -504.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-19 08:12:51
Episode no = 6100; won: False; iter_time_steps = 15; Q(s,a) = -4.726924240608357; score = -504.0; mean_score/100_episodes = -504.37; reward = -503.0; mean_reward/100_episodes = -503.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-19 08:12:56
Episode no = 6200; won: False; iter_time_steps = 14; Q(s,a) = -5.005186610061292; score = -503.0; mean_score/100_episodes = -504.17; reward = -502.0; mean_reward/100_episodes = -503.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-19 08:13:00
