Episode no = 2600; won: False; iter_time_steps = 17; Q(s,a) = -14.012408151343656; score = -516.0; mean_score/100_episodes = -508.14; reward = -516.0; mean_reward/100_episodes = -508.08; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-25 05:40:55
Episode no = 2700; won: False; iter_time_steps = 10; Q(s,a) = -15.377766450253528; score = -509.0; mean_score/100_episodes = -508.86; reward = -509.0; mean_reward/100_episodes = -508.72; and epsilon = 0.64, win percentage = 0.0, 2024-11-25 05:41:14
Episode no = 2800; won: False; iter_time_steps = 40; Q(s,a) = -14.902921967966323; score = -529.0; mean_score/100_episodes = -508.06; reward = -528.0; mean_reward/100_episodes = -508.29; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-25 05:41:32
Episode no = 2900; won: False; iter_time_steps = 8; Q(s,a) = -15.64468877087753; score = -507.0; mean_score/100_episodes = -508.29; reward = -507.0; mean_reward/100_episodes = -507.97; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-25 05:41:51
Episode no = 3000; won: False; iter_time_steps = 10; Q(s,a) = -16.608227936019382; score = -509.0; mean_score/100_episodes = -508.45; reward = -509.0; mean_reward/100_episodes = -508.27; and epsilon = 0.6, win percentage = 0.0, 2024-11-25 05:42:09
Episode no = 3100; won: False; iter_time_steps = 13; Q(s,a) = -15.114235040100443; score = -512.0; mean_score/100_episodes = -508.06; reward = -512.0; mean_reward/100_episodes = -508.12; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-25 05:42:26
Episode no = 3200; won: False; iter_time_steps = 9; Q(s,a) = -16.858362701479418; score = -508.0; mean_score/100_episodes = -508.33; reward = -508.0; mean_reward/100_episodes = -508.37; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-25 05:42:45
Episode no = 3300; won: False; iter_time_steps = 4; Q(s,a) = -16.894787320003868; score = -503.0; mean_score/100_episodes = -508.87; reward = -503.0; mean_reward/100_episodes = -508.7; and epsilon = 0.56, win percentage = 0.0, 2024-11-25 05:43:04
Episode no = 3400; won: False; iter_time_steps = 11; Q(s,a) = -18.53607022778235; score = -510.0; mean_score/100_episodes = -508.05; reward = -510.0; mean_reward/100_episodes = -508.06; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-25 05:43:22
Episode no = 3500; won: False; iter_time_steps = 13; Q(s,a) = -16.568202176563116; score = -512.0; mean_score/100_episodes = -508.95; reward = -512.0; mean_reward/100_episodes = -509.0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-25 05:43:41
Episode no = 3600; won: False; iter_time_steps = 8; Q(s,a) = -19.23787502272036; score = -507.0; mean_score/100_episodes = -508.36; reward = -507.0; mean_reward/100_episodes = -508.31; and epsilon = 0.52, win percentage = 0.0, 2024-11-25 05:43:59
Episode no = 3700; won: False; iter_time_steps = 18; Q(s,a) = -16.464681618552454; score = -517.0; mean_score/100_episodes = -508.81; reward = -517.0; mean_reward/100_episodes = -508.75; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-25 05:44:18
Episode no = 3800; won: False; iter_time_steps = 7; Q(s,a) = -18.617254005699245; score = -506.0; mean_score/100_episodes = -509.31; reward = -506.0; mean_reward/100_episodes = -509.34; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-25 05:44:38
Episode no = 3900; won: False; iter_time_steps = 6; Q(s,a) = -22.93865298366371; score = -505.0; mean_score/100_episodes = -509.2; reward = -505.0; mean_reward/100_episodes = -509.23; and epsilon = 0.48, win percentage = 0.0, 2024-11-25 05:44:58
Episode no = 4000; won: False; iter_time_steps = 8; Q(s,a) = -17.210785917808778; score = -507.0; mean_score/100_episodes = -508.02; reward = -507.0; mean_reward/100_episodes = -507.69; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-25 05:45:16
Episode no = 4100; won: False; iter_time_steps = 10; Q(s,a) = -20.213982712001105; score = -509.0; mean_score/100_episodes = -508.45; reward = -509.0; mean_reward/100_episodes = -508.37; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-25 05:45:37
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -17.814077903186043; score = -509.0; mean_score/100_episodes = -509.72; reward = -509.0; mean_reward/100_episodes = -509.7; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-25 05:45:59
Episode no = 4300; won: False; iter_time_steps = 18; Q(s,a) = -16.242129725558105; score = -517.0; mean_score/100_episodes = -469.93; reward = -517.0; mean_reward/100_episodes = -486.4; and epsilon = 0.42666666666666664, win percentage = 0.04, 2024-11-25 05:46:26
Episode no = 4400; won: False; iter_time_steps = 20; Q(s,a) = -15.697867044564347; score = -519.0; mean_score/100_episodes = -478.95; reward = -519.0; mean_reward/100_episodes = -491.32; and epsilon = 0.41333333333333333, win percentage = 0.03, 2024-11-25 05:46:50
Episode no = 4500; won: False; iter_time_steps = 8; Q(s,a) = -16.92110914801287; score = -507.0; mean_score/100_episodes = -489.24; reward = -507.0; mean_reward/100_episodes = -497.15; and epsilon = 0.4, win percentage = 0.02, 2024-11-25 05:47:15
Episode no = 4600; won: False; iter_time_steps = 11; Q(s,a) = -18.23686199700255; score = -510.0; mean_score/100_episodes = -500.31; reward = -510.0; mean_reward/100_episodes = -503.58; and epsilon = 0.3866666666666667, win percentage = 0.01, 2024-11-25 05:47:42
Episode no = 4700; won: False; iter_time_steps = 41; Q(s,a) = -13.02716304970926; score = -530.0; mean_score/100_episodes = -511.84; reward = -529.0; mean_reward/100_episodes = -511.01; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-25 05:48:11
Episode no = 4800; won: False; iter_time_steps = 12; Q(s,a) = -11.95226436431283; score = -501.0; mean_score/100_episodes = -509.59; reward = -500.0; mean_reward/100_episodes = -509.22; and epsilon = 0.36, win percentage = 0.0, 2024-11-25 05:48:36
