Episode no = 1900; won: False; iter_time_steps = 81; Q(s,a) = -9.099113637256725; score = -420.0; mean_score/100_episodes = -438.42; reward = -415.0; mean_reward/100_episodes = -432.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-15 07:05:36
Episode no = 2000; won: False; iter_time_steps = 82; Q(s,a) = -9.393979767185396; score = -391.0; mean_score/100_episodes = -450.7; reward = -372.0; mean_reward/100_episodes = -443.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-15 07:06:38
Episode no = 2100; won: False; iter_time_steps = 37; Q(s,a) = -9.62303646104193; score = -406.0; mean_score/100_episodes = -434.82; reward = -404.0; mean_reward/100_episodes = -425.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-15 07:07:44
Episode no = 2200; won: False; iter_time_steps = 50; Q(s,a) = -9.755405718551396; score = -449.0; mean_score/100_episodes = -437.49; reward = -439.0; mean_reward/100_episodes = -426.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-15 07:08:42
Episode no = 2300; won: False; iter_time_steps = 30; Q(s,a) = -9.871839850578667; score = -459.0; mean_score/100_episodes = -434.66; reward = -452.0; mean_reward/100_episodes = -425.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-15 07:09:43
Episode no = 2400; won: False; iter_time_steps = 73; Q(s,a) = -10.332777058809583; score = -492.0; mean_score/100_episodes = -453.8; reward = -495.0; mean_reward/100_episodes = -451.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-15 07:10:46
Episode no = 2500; won: False; iter_time_steps = 25; Q(s,a) = -10.535564069255974; score = -434.0; mean_score/100_episodes = -432.86; reward = -425.0; mean_reward/100_episodes = -435.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-15 07:11:53
Episode no = 2600; won: False; iter_time_steps = 19; Q(s,a) = -10.695590015690186; score = -448.0; mean_score/100_episodes = -429.16; reward = -441.0; mean_reward/100_episodes = -418.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-15 07:12:54
Episode no = 2700; won: False; iter_time_steps = 44; Q(s,a) = -10.751895984982593; score = -373.0; mean_score/100_episodes = -420.44; reward = -367.0; mean_reward/100_episodes = -420.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-15 07:13:52
Episode no = 2800; won: False; iter_time_steps = 181; Q(s,a) = -10.909303800249434; score = -440.0; mean_score/100_episodes = -437.33; reward = -416.0; mean_reward/100_episodes = -428.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-15 07:14:59
