Episode no = 1900; won: False; iter_time_steps = 11; Q(s,a) = -15.048114270832622; score = -510.0; mean_score/100_episodes = -509.93; reward = -510.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 8.517851942400124; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 03:40:34
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -12.661853602629947; score = -507.0; mean_score/100_episodes = -510.22; reward = -507.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 9.57170649599992; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 03:40:41
Episode no = 2100; won: False; iter_time_steps = 12; Q(s,a) = -10.7978902048251; score = -511.0; mean_score/100_episodes = -509.99; reward = -511.0; mean_reward/100_episodes = -509.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 10.522431551999734; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 03:40:48
Episode no = 2200; won: False; iter_time_steps = 9; Q(s,a) = -12.357235809067523; score = -508.0; mean_score/100_episodes = -510.75; reward = -508.0; mean_reward/100_episodes = -510.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 11.598845683199524; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-02 03:40:55
Episode no = 2300; won: False; iter_time_steps = 23; Q(s,a) = -6.244771756408368; score = -522.0; mean_score/100_episodes = -510.58; reward = -522.0; mean_reward/100_episodes = -510.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 12.80094888959929; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-02 03:41:03
Episode no = 2400; won: False; iter_time_steps = 10; Q(s,a) = -9.189447522960108; score = -509.0; mean_score/100_episodes = -499.97; reward = -509.0; mean_reward/100_episodes = -503.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 14.015943283199054; and epsilon = 0.6799999999999999, win percentage = 0.01, 2024-12-02 03:41:10
Episode no = 2500; won: False; iter_time_steps = 8; Q(s,a) = -6.633679796889894; score = -507.0; mean_score/100_episodes = -510.81; reward = -507.0; mean_reward/100_episodes = -510.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 15.3179531903988; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-02 03:41:19
Episode no = 2600; won: False; iter_time_steps = 14; Q(s,a) = 36.569861505686006; score = -513.0; mean_score/100_episodes = -510.46; reward = -513.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 16.54906156799856; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-02 03:41:27
Episode no = 2700; won: False; iter_time_steps = 15; Q(s,a) = 79.3189170632593; score = -504.0; mean_score/100_episodes = -511.4; reward = -492.0; mean_reward/100_episodes = -510.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 18.108895219198256; and epsilon = 0.64, win percentage = 0.0, 2024-12-02 03:41:36
Episode no = 2800; won: False; iter_time_steps = 12; Q(s,a) = -391.91424238097375; score = -511.0; mean_score/100_episodes = -513.02; reward = -511.0; mean_reward/100_episodes = -512.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 19.73963039999794; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-02 03:41:47
