Episode no = 2000; won: False; iter_time_steps = 44; Q(s,a) = 35.285015303305684; score = -183.0; mean_score/100_episodes = -232.12; reward = -147.0; mean_reward/100_episodes = -204.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:07:00
Episode no = 2100; won: False; iter_time_steps = 351; Q(s,a) = 34.4707006585005; score = -30.0; mean_score/100_episodes = -200.63; reward = -117.0; mean_reward/100_episodes = -176.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:07:50
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = 26.133726874730776; score = -429.0; mean_score/100_episodes = -244.31; reward = -421.0; mean_reward/100_episodes = -216.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:08:25
Episode no = 2300; won: False; iter_time_steps = 15; Q(s,a) = 26.228364920503537; score = -384.0; mean_score/100_episodes = -139.85; reward = -371.0; mean_reward/100_episodes = -113.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:09:16
Episode no = 2400; won: False; iter_time_steps = 26; Q(s,a) = 25.390867158659805; score = -295.0; mean_score/100_episodes = -143.23; reward = -272.0; mean_reward/100_episodes = -112.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:10:06
Episode no = 2500; won: False; iter_time_steps = 60; Q(s,a) = 21.266568845292703; score = -69.0; mean_score/100_episodes = -145.99; reward = -20.0; mean_reward/100_episodes = -115.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:11:02
Episode no = 2600; won: False; iter_time_steps = 100; Q(s,a) = 23.993475365960013; score = -259.0; mean_score/100_episodes = -130.09; reward = -225.0; mean_reward/100_episodes = -95.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:12:03
Episode no = 2700; won: False; iter_time_steps = 68; Q(s,a) = 17.646777710079498; score = -267.0; mean_score/100_episodes = -80.16; reward = -237.0; mean_reward/100_episodes = -75.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:13:08
Episode no = 2800; won: False; iter_time_steps = 77; Q(s,a) = 18.830630591261425; score = -346.0; mean_score/100_episodes = -57.98; reward = -323.0; mean_reward/100_episodes = -54.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:14:16
Episode no = 2900; won: False; iter_time_steps = 84; Q(s,a) = 18.595416339147295; score = 467.0; mean_score/100_episodes = -20.59; reward = 223.0; mean_reward/100_episodes = -56.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:15:28
Episode no = 3000; won: False; iter_time_steps = 84; Q(s,a) = 16.15896046043732; score = 17.0; mean_score/100_episodes = -50.15; reward = -92.0; mean_reward/100_episodes = -89.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:16:42
Episode no = 3100; won: False; iter_time_steps = 117; Q(s,a) = 14.105535889743017; score = 34.0; mean_score/100_episodes = 16.67; reward = 99.0; mean_reward/100_episodes = -29.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:17:51
Episode no = 3200; won: False; iter_time_steps = 141; Q(s,a) = 16.00928287302434; score = 190.0; mean_score/100_episodes = -8.39; reward = 273.0; mean_reward/100_episodes = -42.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:18:47
Episode no = 3300; won: False; iter_time_steps = 208; Q(s,a) = 14.30265283546996; score = 163.0; mean_score/100_episodes = 90.83; reward = 250.0; mean_reward/100_episodes = 54.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:20:22
Episode no = 3400; won: False; iter_time_steps = 52; Q(s,a) = 13.077263383893257; score = -131.0; mean_score/100_episodes = 38.17; reward = -89.0; mean_reward/100_episodes = 6.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:21:38
Episode no = 3500; won: False; iter_time_steps = 108; Q(s,a) = 12.86396112714117; score = 93.0; mean_score/100_episodes = 54.63; reward = 163.0; mean_reward/100_episodes = 10.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:22:53
Episode no = 3600; won: False; iter_time_steps = 24; Q(s,a) = 10.494802473419902; score = -303.0; mean_score/100_episodes = 26.02; reward = -270.0; mean_reward/100_episodes = 6.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:24:10
Episode no = 3700; won: False; iter_time_steps = 162; Q(s,a) = 10.74424396782478; score = 249.0; mean_score/100_episodes = 127.79; reward = 340.0; mean_reward/100_episodes = 53.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:25:40
Episode no = 3800; won: False; iter_time_steps = 60; Q(s,a) = 9.390830472782275; score = 181.0; mean_score/100_episodes = 117.92; reward = 86.0; mean_reward/100_episodes = 30.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:26:56
Episode no = 3900; won: False; iter_time_steps = 101; Q(s,a) = 12.19040180008065; score = 150.0; mean_score/100_episodes = 117.13; reward = 45.0; mean_reward/100_episodes = 26.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:28:20
Episode no = 4000; won: False; iter_time_steps = 159; Q(s,a) = 4.455138314249339; score = 32.0; mean_score/100_episodes = 21.78; reward = 101.0; mean_reward/100_episodes = -31.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:29:30
Episode no = 4100; won: False; iter_time_steps = 196; Q(s,a) = 8.177453271826744; score = -155.0; mean_score/100_episodes = 21.87; reward = -101.0; mean_reward/100_episodes = -32.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:30:49
Episode no = 4200; won: False; iter_time_steps = 21; Q(s,a) = 6.461208099807635; score = -330.0; mean_score/100_episodes = -37.87; reward = -300.0; mean_reward/100_episodes = -69.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:32:00
Episode no = 4300; won: False; iter_time_steps = 96; Q(s,a) = 8.914145188392327; score = -105.0; mean_score/100_episodes = 12.9; reward = -56.0; mean_reward/100_episodes = -18.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:33:27
Episode no = 4400; won: False; iter_time_steps = 132; Q(s,a) = 4.4198046645823705; score = 119.0; mean_score/100_episodes = -47.15; reward = 194.0; mean_reward/100_episodes = -71.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:34:43
Episode no = 4500; won: False; iter_time_steps = 30; Q(s,a) = 3.9863197057525483; score = -259.0; mean_score/100_episodes = -99.09; reward = -232.0; mean_reward/100_episodes = -107.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:35:48
Episode no = 4600; won: False; iter_time_steps = 17; Q(s,a) = 4.301066963687801; score = -406.0; mean_score/100_episodes = -130.62; reward = -395.0; mean_reward/100_episodes = -137.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:36:58
