Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -14.180897171497326; score = -507.0; mean_score/100_episodes = -509.98; reward = -507.0; mean_reward/100_episodes = -509.83; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-29 09:16:49
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -14.451291483405683; score = -507.0; mean_score/100_episodes = -510.31; reward = -507.0; mean_reward/100_episodes = -510.25; and epsilon = 0.64, win percentage = 0.0, 2024-11-29 09:16:57
Episode no = 2800; won: False; iter_time_steps = 15; Q(s,a) = -14.627956895894776; score = -504.0; mean_score/100_episodes = -509.92; reward = -503.0; mean_reward/100_episodes = -509.76; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-29 09:17:04
Episode no = 2900; won: False; iter_time_steps = 10; Q(s,a) = -15.097358377264563; score = -509.0; mean_score/100_episodes = -510.09; reward = -509.0; mean_reward/100_episodes = -509.91; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-29 09:17:12
Episode no = 3000; won: False; iter_time_steps = 9; Q(s,a) = -15.412394026511326; score = -508.0; mean_score/100_episodes = -510.29; reward = -508.0; mean_reward/100_episodes = -510.11; and epsilon = 0.6, win percentage = 0.0, 2024-11-29 09:17:19
Episode no = 3100; won: False; iter_time_steps = 17; Q(s,a) = -15.514624119408548; score = -516.0; mean_score/100_episodes = -511.4; reward = -516.0; mean_reward/100_episodes = -511.46; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-29 09:17:28
Episode no = 3200; won: False; iter_time_steps = 9; Q(s,a) = -15.6928680598991; score = -508.0; mean_score/100_episodes = -510.53; reward = -508.0; mean_reward/100_episodes = -510.34; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-29 09:17:35
Episode no = 3300; won: False; iter_time_steps = 8; Q(s,a) = -16.435947302083875; score = -507.0; mean_score/100_episodes = -510.23; reward = -507.0; mean_reward/100_episodes = -510.25; and epsilon = 0.56, win percentage = 0.0, 2024-11-29 09:17:43
Episode no = 3400; won: False; iter_time_steps = 6; Q(s,a) = -16.072740073987088; score = -505.0; mean_score/100_episodes = -510.51; reward = -505.0; mean_reward/100_episodes = -510.36; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-29 09:17:51
Episode no = 3500; won: False; iter_time_steps = 7; Q(s,a) = -16.38397546736439; score = -506.0; mean_score/100_episodes = -510.6; reward = -506.0; mean_reward/100_episodes = -510.42; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-29 09:17:59
