Episode no = 1900; won: False; iter_time_steps = 13; Q(s,a) = -10.191060276895861; score = -512.0; mean_score/100_episodes = -509.5; reward = -512.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-12 03:01:38
Episode no = 2000; won: False; iter_time_steps = 21; Q(s,a) = -10.62136889549885; score = -520.0; mean_score/100_episodes = -509.49; reward = -520.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-12 03:01:46
Episode no = 2100; won: False; iter_time_steps = 8; Q(s,a) = -11.125811348069554; score = -507.0; mean_score/100_episodes = -508.96; reward = -507.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-12 03:01:53
Episode no = 2200; won: False; iter_time_steps = 15; Q(s,a) = -11.69335377803024; score = -514.0; mean_score/100_episodes = -509.86; reward = -514.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-12 03:02:02
Episode no = 2300; won: False; iter_time_steps = 11; Q(s,a) = -12.289606802591356; score = -510.0; mean_score/100_episodes = -510.66; reward = -510.0; mean_reward/100_episodes = -510.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-12 03:02:11
Episode no = 2400; won: False; iter_time_steps = 9; Q(s,a) = -12.52552130815985; score = -508.0; mean_score/100_episodes = -509.7; reward = -508.0; mean_reward/100_episodes = -509.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-12 03:02:20
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -12.934204520849898; score = -509.0; mean_score/100_episodes = -509.18; reward = -509.0; mean_reward/100_episodes = -509.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-12 03:02:29
Episode no = 2600; won: False; iter_time_steps = 24; Q(s,a) = -13.339531370807888; score = -523.0; mean_score/100_episodes = -509.71; reward = -523.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-12 03:02:38
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -13.740384386775332; score = -508.0; mean_score/100_episodes = -509.18; reward = -508.0; mean_reward/100_episodes = -509.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-12 03:02:46
Episode no = 2800; won: False; iter_time_steps = 8; Q(s,a) = -14.160498059684253; score = -507.0; mean_score/100_episodes = -509.72; reward = -507.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-12 03:02:54
Episode no = 2900; won: False; iter_time_steps = 10; Q(s,a) = -14.4110212742284; score = -509.0; mean_score/100_episodes = -510.16; reward = -509.0; mean_reward/100_episodes = -510.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-12 03:03:03
Episode no = 3000; won: False; iter_time_steps = 7; Q(s,a) = -14.801628374337714; score = -506.0; mean_score/100_episodes = -509.86; reward = -506.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-12 03:03:11
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = -15.4243646754471; score = -511.0; mean_score/100_episodes = -510.23; reward = -511.0; mean_reward/100_episodes = -509.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-12 03:03:21
Episode no = 3200; won: False; iter_time_steps = 8; Q(s,a) = -15.745618105837474; score = -507.0; mean_score/100_episodes = -509.91; reward = -507.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-12 03:03:31
Episode no = 3300; won: False; iter_time_steps = 10; Q(s,a) = -15.472068256405231; score = -509.0; mean_score/100_episodes = -509.15; reward = -509.0; mean_reward/100_episodes = -509.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-12 03:03:40
Episode no = 3400; won: False; iter_time_steps = 6; Q(s,a) = -16.331982080006696; score = -505.0; mean_score/100_episodes = -510.36; reward = -505.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-12 03:03:50
Episode no = 3500; won: False; iter_time_steps = 11; Q(s,a) = -16.169440635858663; score = -510.0; mean_score/100_episodes = -510.58; reward = -510.0; mean_reward/100_episodes = -510.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-12 03:04:01
Episode no = 3600; won: False; iter_time_steps = 16; Q(s,a) = -15.77693681219916; score = -505.0; mean_score/100_episodes = -509.89; reward = -504.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-12 03:04:11
Episode no = 3700; won: False; iter_time_steps = 13; Q(s,a) = -16.491522254289364; score = -512.0; mean_score/100_episodes = -510.45; reward = -512.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-12 03:04:22
Episode no = 3800; won: False; iter_time_steps = 7; Q(s,a) = -17.21373185983073; score = -506.0; mean_score/100_episodes = -509.12; reward = -506.0; mean_reward/100_episodes = -508.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-12 03:04:32
Episode no = 3900; won: False; iter_time_steps = 8; Q(s,a) = -17.205678998272496; score = -507.0; mean_score/100_episodes = -509.72; reward = -507.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-12 03:04:42
Episode no = 4000; won: False; iter_time_steps = 10; Q(s,a) = -17.49173776973678; score = -509.0; mean_score/100_episodes = -509.86; reward = -509.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-12 03:04:52
Episode no = 4100; won: False; iter_time_steps = 12; Q(s,a) = -16.996685201501045; score = -511.0; mean_score/100_episodes = -509.66; reward = -511.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-12 03:05:03
Episode no = 4200; won: False; iter_time_steps = 9; Q(s,a) = -17.416969963811454; score = -508.0; mean_score/100_episodes = -509.99; reward = -508.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-12 03:05:13
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = -16.943368473829544; score = -507.0; mean_score/100_episodes = -509.62; reward = -507.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-12 03:05:23
Episode no = 4400; won: False; iter_time_steps = 10; Q(s,a) = -17.409087638220463; score = -509.0; mean_score/100_episodes = -510.56; reward = -509.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-12 03:05:35
Episode no = 4500; won: False; iter_time_steps = 5; Q(s,a) = -18.525969513814836; score = -504.0; mean_score/100_episodes = -510.96; reward = -504.0; mean_reward/100_episodes = -510.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-12 03:05:49
Episode no = 4600; won: False; iter_time_steps = 12; Q(s,a) = -17.7208999156002; score = -511.0; mean_score/100_episodes = -510.12; reward = -511.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-12 03:05:58
Episode no = 4700; won: False; iter_time_steps = 13; Q(s,a) = -17.78941887225676; score = -512.0; mean_score/100_episodes = -510.47; reward = -512.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-12 03:06:09
Episode no = 4800; won: False; iter_time_steps = 14; Q(s,a) = -17.768390054850155; score = -513.0; mean_score/100_episodes = -511.29; reward = -513.0; mean_reward/100_episodes = -511.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-12 03:06:21
Episode no = 4900; won: False; iter_time_steps = 9; Q(s,a) = -18.09104513763144; score = -508.0; mean_score/100_episodes = -510.45; reward = -508.0; mean_reward/100_episodes = -510.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-12 03:06:31
Episode no = 5000; won: False; iter_time_steps = 13; Q(s,a) = -18.567511258553154; score = -512.0; mean_score/100_episodes = -510.4; reward = -512.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-12 03:06:43
Episode no = 5100; won: False; iter_time_steps = 9; Q(s,a) = -18.887720530997488; score = -508.0; mean_score/100_episodes = -510.91; reward = -508.0; mean_reward/100_episodes = -510.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-12 03:06:56
Episode no = 5200; won: False; iter_time_steps = 22; Q(s,a) = -18.49890362261884; score = -521.0; mean_score/100_episodes = -511.12; reward = -521.0; mean_reward/100_episodes = -511.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-12 03:07:11
Episode no = 5300; won: False; iter_time_steps = 21; Q(s,a) = -18.739211860051576; score = -520.0; mean_score/100_episodes = -511.66; reward = -520.0; mean_reward/100_episodes = -511.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-12 03:07:24
Episode no = 5400; won: False; iter_time_steps = 18; Q(s,a) = -18.7284949208709; score = -517.0; mean_score/100_episodes = -502.84; reward = -517.0; mean_reward/100_episodes = -506.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.01, 2024-12-12 03:07:42
Episode no = 5500; won: False; iter_time_steps = 8; Q(s,a) = -20.123642889622616; score = -507.0; mean_score/100_episodes = -500.03; reward = -507.0; mean_reward/100_episodes = -503.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.01, 2024-12-12 03:07:55
Episode no = 5600; won: False; iter_time_steps = 8; Q(s,a) = -19.45546481883415; score = -507.0; mean_score/100_episodes = -511.05; reward = -507.0; mean_reward/100_episodes = -510.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-12 03:08:11
Episode no = 5700; won: False; iter_time_steps = 12; Q(s,a) = -19.263661524845805; score = -511.0; mean_score/100_episodes = -512.06; reward = -511.0; mean_reward/100_episodes = -511.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-12 03:08:27
Episode no = 5800; won: False; iter_time_steps = 11; Q(s,a) = -19.62316194217074; score = -510.0; mean_score/100_episodes = -512.02; reward = -510.0; mean_reward/100_episodes = -512.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-12 03:08:44
Episode no = 5900; won: False; iter_time_steps = 19; Q(s,a) = -17.91881585133556; score = -518.0; mean_score/100_episodes = -511.69; reward = -518.0; mean_reward/100_episodes = -511.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-12 03:09:02
Episode no = 6000; won: False; iter_time_steps = 29; Q(s,a) = -17.808357184571914; score = -528.0; mean_score/100_episodes = -512.26; reward = -528.0; mean_reward/100_episodes = -511.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-12 03:09:18
Episode no = 6100; won: False; iter_time_steps = 17; Q(s,a) = -18.787574492764286; score = -516.0; mean_score/100_episodes = -502.43; reward = -516.0; mean_reward/100_episodes = -506.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.01, 2024-12-12 03:09:34
Episode no = 6200; won: False; iter_time_steps = 11; Q(s,a) = -19.31350755156396; score = -510.0; mean_score/100_episodes = -512.38; reward = -510.0; mean_reward/100_episodes = -512.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-12 03:09:51
Episode no = 6300; won: False; iter_time_steps = 13; Q(s,a) = -18.390273000397187; score = -512.0; mean_score/100_episodes = -510.85; reward = -512.0; mean_reward/100_episodes = -510.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-12 03:10:09
Episode no = 6400; won: False; iter_time_steps = 15; Q(s,a) = -12.983903399575922; score = -504.0; mean_score/100_episodes = -489.02; reward = -503.0; mean_reward/100_episodes = -496.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.02, 2024-12-12 03:10:27
Episode no = 6500; won: False; iter_time_steps = 6; Q(s,a) = -17.643680027335492; score = -505.0; mean_score/100_episodes = -506.18; reward = -505.0; mean_reward/100_episodes = -505.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-12 03:10:40
Episode no = 6600; won: False; iter_time_steps = 5; Q(s,a) = -17.23148986863489; score = -504.0; mean_score/100_episodes = -506.39; reward = -504.0; mean_reward/100_episodes = -505.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-12 03:10:54
Episode no = 6700; won: False; iter_time_steps = 17; Q(s,a) = -9.096872082274691; score = -506.0; mean_score/100_episodes = -497.36; reward = -505.0; mean_reward/100_episodes = -500.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.01, 2024-12-12 03:11:09
Episode no = 6800; won: False; iter_time_steps = 5; Q(s,a) = -17.021801648858236; score = -504.0; mean_score/100_episodes = -499.45; reward = -504.0; mean_reward/100_episodes = -503.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-12 03:11:25
Episode no = 6900; won: False; iter_time_steps = 14; Q(s,a) = -15.075342725313922; score = -513.0; mean_score/100_episodes = -489.72; reward = -513.0; mean_reward/100_episodes = -497.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-12 03:11:44
Episode no = 7000; won: False; iter_time_steps = 14; Q(s,a) = -6.10486158413579; score = -503.0; mean_score/100_episodes = -470.4; reward = -502.0; mean_reward/100_episodes = -485.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.04, 2024-12-12 03:12:05
Episode no = 7100; won: False; iter_time_steps = 17; Q(s,a) = -6.878228241255766; score = -506.0; mean_score/100_episodes = -494.64; reward = -505.0; mean_reward/100_episodes = -501.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-12 03:12:30
Episode no = 7200; won: False; iter_time_steps = 15; Q(s,a) = -10.745370428404062; score = -504.0; mean_score/100_episodes = -464.86; reward = -503.0; mean_reward/100_episodes = -483.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.05, 2024-12-12 03:12:56
Episode no = 7300; won: False; iter_time_steps = 12; Q(s,a) = -12.557334567577696; score = -511.0; mean_score/100_episodes = -441.68; reward = -511.0; mean_reward/100_episodes = -469.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.07, 2024-12-12 03:13:18
Episode no = 7400; won: False; iter_time_steps = 15; Q(s,a) = -7.300110981473669; score = -504.0; mean_score/100_episodes = -412.59; reward = -503.0; mean_reward/100_episodes = -452.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.1, 2024-12-12 03:13:44
Episode no = 7500; won: False; iter_time_steps = 28; Q(s,a) = -3.7377798370102617; score = -517.0; mean_score/100_episodes = -289.95; reward = -516.0; mean_reward/100_episodes = -378.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.22, 2024-12-12 03:14:06
Episode no = 7600; won: False; iter_time_steps = 31; Q(s,a) = -5.956367641968551; score = -520.0; mean_score/100_episodes = -262.38; reward = -519.0; mean_reward/100_episodes = -362.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.25, 2024-12-12 03:14:33
Episode no = 7700; won: False; iter_time_steps = 31; Q(s,a) = -6.943180852867667; score = -520.0; mean_score/100_episodes = -323.14; reward = -519.0; mean_reward/100_episodes = -398.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.19, 2024-12-12 03:15:01
Episode no = 7800; won: False; iter_time_steps = 15; Q(s,a) = -6.337887734707566; score = -504.0; mean_score/100_episodes = -312.77; reward = -492.0; mean_reward/100_episodes = -392.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.2, 2024-12-12 03:15:26
Episode no = 7900; won: False; iter_time_steps = 17; Q(s,a) = 1.6488035747969771; score = -506.0; mean_score/100_episodes = -270.2; reward = -505.0; mean_reward/100_episodes = -365.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.24, 2024-12-12 03:15:49
Episode no = 8000; won: True; iter_time_steps = 21; Q(s,a) = 1.1102259124993434; score = 500.0; mean_score/100_episodes = -271.85; reward = 91.0; mean_reward/100_episodes = -368.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.24, 2024-12-12 03:16:14
Episode no = 8100; won: False; iter_time_steps = 15; Q(s,a) = -3.3048893010311966; score = -504.0; mean_score/100_episodes = -285.24; reward = -503.0; mean_reward/100_episodes = -377.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.23, 2024-12-12 03:16:42
Episode no = 8200; won: False; iter_time_steps = 15; Q(s,a) = -2.097789551285174; score = -504.0; mean_score/100_episodes = -271.67; reward = -492.0; mean_reward/100_episodes = -367.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.24, 2024-12-12 03:17:06
