Episode no = 1900; won: False; iter_time_steps = 98; Q(s,a) = 31.88213949107504; score = -317.0; mean_score/100_episodes = -390.93; reward = -289.0; mean_reward/100_episodes = -373.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-07 09:54:37
Episode no = 2000; won: False; iter_time_steps = 43; Q(s,a) = 39.87789245126822; score = -352.0; mean_score/100_episodes = -385.04; reward = -344.0; mean_reward/100_episodes = -369.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-07 09:55:36
Episode no = 2100; won: False; iter_time_steps = 96; Q(s,a) = 39.41671190938361; score = -375.0; mean_score/100_episodes = -372.33; reward = -353.0; mean_reward/100_episodes = -356.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-07 09:56:40
Episode no = 2200; won: False; iter_time_steps = 93; Q(s,a) = 54.42193439152198; score = -282.0; mean_score/100_episodes = -364.85; reward = -251.0; mean_reward/100_episodes = -344.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-07 09:57:51
Episode no = 2300; won: False; iter_time_steps = 264; Q(s,a) = 51.34622480665865; score = -393.0; mean_score/100_episodes = -378.58; reward = -356.0; mean_reward/100_episodes = -361.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-07 09:58:45
Episode no = 2400; won: False; iter_time_steps = 35; Q(s,a) = 63.07886403635787; score = -424.0; mean_score/100_episodes = -361.1; reward = -413.0; mean_reward/100_episodes = -344.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-07 09:59:47
Episode no = 2500; won: False; iter_time_steps = 46; Q(s,a) = 68.57396622293865; score = -375.0; mean_score/100_episodes = -322.86; reward = -358.0; mean_reward/100_episodes = -304.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-07 10:01:06
Episode no = 2600; won: False; iter_time_steps = 32; Q(s,a) = 75.29333971213121; score = -381.0; mean_score/100_episodes = -349.14; reward = -366.0; mean_reward/100_episodes = -327.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-07 10:02:09
Episode no = 2700; won: False; iter_time_steps = 62; Q(s,a) = 82.49715125620028; score = -261.0; mean_score/100_episodes = -330.05; reward = -231.0; mean_reward/100_episodes = -308.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-07 10:03:15
Episode no = 2800; won: False; iter_time_steps = 42; Q(s,a) = 82.19470268297799; score = -311.0; mean_score/100_episodes = -322.0; reward = -288.0; mean_reward/100_episodes = -298.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-07 10:04:17
Episode no = 2900; won: False; iter_time_steps = 22; Q(s,a) = 88.42837273648438; score = -451.0; mean_score/100_episodes = -312.34; reward = -433.0; mean_reward/100_episodes = -293.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-07 10:05:26
Episode no = 3000; won: False; iter_time_steps = 68; Q(s,a) = 93.25964231776297; score = -257.0; mean_score/100_episodes = -326.37; reward = -226.0; mean_reward/100_episodes = -303.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-07 10:06:27
Episode no = 3100; won: False; iter_time_steps = 30; Q(s,a) = 105.41828452095139; score = -429.0; mean_score/100_episodes = -301.36; reward = -419.0; mean_reward/100_episodes = -276.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-07 10:07:35
Episode no = 3200; won: False; iter_time_steps = 55; Q(s,a) = 109.61020379810176; score = -294.0; mean_score/100_episodes = -301.54; reward = -268.0; mean_reward/100_episodes = -278.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-07 10:08:44
Episode no = 3300; won: False; iter_time_steps = 184; Q(s,a) = 108.7052299171572; score = -13.0; mean_score/100_episodes = -287.12; reward = 54.0; mean_reward/100_episodes = -265.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-07 10:09:59
Episode no = 3400; won: False; iter_time_steps = 41; Q(s,a) = 113.77070336128261; score = -420.0; mean_score/100_episodes = -305.3; reward = -408.0; mean_reward/100_episodes = -280.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-07 10:11:06
Episode no = 3500; won: False; iter_time_steps = 142; Q(s,a) = 116.1020301447328; score = -71.0; mean_score/100_episodes = -282.12; reward = -14.0; mean_reward/100_episodes = -259.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-07 10:12:17
Episode no = 3600; won: False; iter_time_steps = 22; Q(s,a) = 121.05773326891243; score = -391.0; mean_score/100_episodes = -272.44; reward = -378.0; mean_reward/100_episodes = -250.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-07 10:13:29
