Episode no = 1900; won: False; iter_time_steps = 76; Q(s,a) = 30.498390850936126; score = -475.0; mean_score/100_episodes = -404.02; reward = -465.0; mean_reward/100_episodes = -390.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-13 04:11:45
Episode no = 2000; won: False; iter_time_steps = 65; Q(s,a) = 34.85856136300855; score = -394.0; mean_score/100_episodes = -400.82; reward = -377.0; mean_reward/100_episodes = -386.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-13 04:13:09
Episode no = 2100; won: False; iter_time_steps = 172; Q(s,a) = 31.757924969193702; score = -321.0; mean_score/100_episodes = -390.84; reward = -286.0; mean_reward/100_episodes = -375.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-13 04:14:36
Episode no = 100; won: False; iter_time_steps = 821; Q(s,a) = -0.7531013149502482; score = -90.0; mean_score/100_episodes = -310.53; reward = 44.0; mean_reward/100_episodes = -257.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-13 04:16:01
Episode no = 2200; won: False; iter_time_steps = 30; Q(s,a) = 45.64449919126931; score = -409.0; mean_score/100_episodes = -377.49; reward = -408.0; mean_reward/100_episodes = -360.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-13 04:16:01
Episode no = 2300; won: False; iter_time_steps = 43; Q(s,a) = 49.99624326026142; score = -472.0; mean_score/100_episodes = -368.68; reward = -454.0; mean_reward/100_episodes = -351.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-13 04:17:26
Episode no = 2400; won: False; iter_time_steps = 49; Q(s,a) = 48.37990830917795; score = -378.0; mean_score/100_episodes = -353.32; reward = -361.0; mean_reward/100_episodes = -336.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-13 04:18:55
Episode no = 2500; won: False; iter_time_steps = 23; Q(s,a) = 56.86557086030785; score = -432.0; mean_score/100_episodes = -352.18; reward = -423.0; mean_reward/100_episodes = -336.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-13 04:20:09
Episode no = 2600; won: False; iter_time_steps = 30; Q(s,a) = 62.46999558801293; score = -449.0; mean_score/100_episodes = -336.14; reward = -452.0; mean_reward/100_episodes = -317.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-13 04:21:36
Episode no = 2700; won: False; iter_time_steps = 298; Q(s,a) = 67.59233968903227; score = -87.0; mean_score/100_episodes = -319.92; reward = -16.0; mean_reward/100_episodes = -302.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-13 04:23:07
Episode no = 2800; won: False; iter_time_steps = 203; Q(s,a) = 71.85890246190877; score = -212.0; mean_score/100_episodes = -324.31; reward = -163.0; mean_reward/100_episodes = -306.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-13 04:24:26
Episode no = 2900; won: False; iter_time_steps = 47; Q(s,a) = 77.12656899346776; score = -366.0; mean_score/100_episodes = -316.65; reward = -348.0; mean_reward/100_episodes = -295.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-13 04:25:52
Episode no = 3000; won: False; iter_time_steps = 123; Q(s,a) = 83.2780253936032; score = -192.0; mean_score/100_episodes = -303.1; reward = -149.0; mean_reward/100_episodes = -282.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-13 04:27:21
Episode no = 200; won: False; iter_time_steps = 450; Q(s,a) = -1.524760771872701; score = -239.0; mean_score/100_episodes = -364.99; reward = -168.0; mean_reward/100_episodes = -318.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-13 04:27:33
Episode no = 3100; won: False; iter_time_steps = 54; Q(s,a) = 86.66237699544301; score = -233.0; mean_score/100_episodes = -305.63; reward = -212.0; mean_reward/100_episodes = -281.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-13 04:28:37
Episode no = 3200; won: False; iter_time_steps = 15; Q(s,a) = 93.32463889608574; score = -454.0; mean_score/100_episodes = -309.11; reward = -448.0; mean_reward/100_episodes = -285.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-13 04:30:04
Episode no = 3300; won: False; iter_time_steps = 22; Q(s,a) = 96.69244636008537; score = -391.0; mean_score/100_episodes = -300.07; reward = -378.0; mean_reward/100_episodes = -284.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-13 04:31:23
Episode no = 3400; won: False; iter_time_steps = 42; Q(s,a) = 100.34347112965695; score = -351.0; mean_score/100_episodes = -263.59; reward = -332.0; mean_reward/100_episodes = -241.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-13 04:32:59
Episode no = 3500; won: False; iter_time_steps = 25; Q(s,a) = 107.96794231263723; score = -364.0; mean_score/100_episodes = -262.61; reward = -348.0; mean_reward/100_episodes = -233.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-13 04:34:49
Episode no = 3600; won: False; iter_time_steps = 32; Q(s,a) = 109.87087168083033; score = -381.0; mean_score/100_episodes = -284.43; reward = -366.0; mean_reward/100_episodes = -262.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-13 04:36:13
Episode no = 3700; won: False; iter_time_steps = 96; Q(s,a) = 111.67274105319208; score = -215.0; mean_score/100_episodes = -267.82; reward = -177.0; mean_reward/100_episodes = -244.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-13 04:37:50
Episode no = 300; won: False; iter_time_steps = 387; Q(s,a) = -2.2403788844045067; score = -146.0; mean_score/100_episodes = -316.54; reward = -72.0; mean_reward/100_episodes = -264.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-13 04:39:02
Episode no = 3800; won: False; iter_time_steps = 56; Q(s,a) = 112.58216750271212; score = -285.0; mean_score/100_episodes = -275.34; reward = -247.0; mean_reward/100_episodes = -251.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-13 04:39:14
Episode no = 3900; won: False; iter_time_steps = 17; Q(s,a) = 117.71152136006393; score = -426.0; mean_score/100_episodes = -255.44; reward = -417.0; mean_reward/100_episodes = -239.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-13 04:40:45
Episode no = 4000; won: False; iter_time_steps = 19; Q(s,a) = 120.2343885231866; score = -418.0; mean_score/100_episodes = -232.52; reward = -408.0; mean_reward/100_episodes = -216.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-13 04:42:23
Episode no = 4100; won: False; iter_time_steps = 20; Q(s,a) = 120.65336081706182; score = -389.0; mean_score/100_episodes = -233.54; reward = -365.0; mean_reward/100_episodes = -209.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-13 04:44:02
Episode no = 4200; won: False; iter_time_steps = 38; Q(s,a) = 125.88228893983985; score = -277.0; mean_score/100_episodes = -221.79; reward = -240.0; mean_reward/100_episodes = -194.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-13 04:45:49
Episode no = 4300; won: False; iter_time_steps = 50; Q(s,a) = 125.20105402872818; score = -269.0; mean_score/100_episodes = -266.28; reward = -230.0; mean_reward/100_episodes = -240.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-13 04:47:06
Episode no = 4400; won: False; iter_time_steps = 66; Q(s,a) = 125.12518275354195; score = -175.0; mean_score/100_episodes = -171.61; reward = -125.0; mean_reward/100_episodes = -158.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-13 04:49:05
Episode no = 4500; won: False; iter_time_steps = 111; Q(s,a) = 130.3860565153783; score = -160.0; mean_score/100_episodes = -207.51; reward = -115.0; mean_reward/100_episodes = -183.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-13 04:50:46
Episode no = 4600; won: False; iter_time_steps = 140; Q(s,a) = 132.49795078953434; score = -19.0; mean_score/100_episodes = -176.83; reward = 43.0; mean_reward/100_episodes = -154.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-13 04:52:38
Episode no = 400; won: False; iter_time_steps = 466; Q(s,a) = -2.9297846027072634; score = -665.0; mean_score/100_episodes = -346.45; reward = -635.0; mean_reward/100_episodes = -290.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-13 04:52:40
Episode no = 4700; won: False; iter_time_steps = 20; Q(s,a) = 133.33664537355878; score = -429.0; mean_score/100_episodes = -130.61; reward = -420.0; mean_reward/100_episodes = -121.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.01, 2024-12-13 04:54:44
Episode no = 4800; won: False; iter_time_steps = 30; Q(s,a) = 135.50121909934907; score = -289.0; mean_score/100_episodes = -194.96; reward = -276.0; mean_reward/100_episodes = -172.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-13 04:56:32
Episode no = 4900; won: False; iter_time_steps = 32; Q(s,a) = 137.00239142611036; score = -291.0; mean_score/100_episodes = -182.95; reward = -256.0; mean_reward/100_episodes = -156.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-13 04:58:20
Episode no = 5000; won: False; iter_time_steps = 11; Q(s,a) = 133.65476515818185; score = -440.0; mean_score/100_episodes = -176.91; reward = -422.0; mean_reward/100_episodes = -157.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-13 04:59:54
Episode no = 5100; won: False; iter_time_steps = 66; Q(s,a) = 141.85703881686158; score = -155.0; mean_score/100_episodes = -137.91; reward = -114.0; mean_reward/100_episodes = -118.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-13 05:01:42
Episode no = 5200; won: False; iter_time_steps = 91; Q(s,a) = 138.68383399114344; score = -170.0; mean_score/100_episodes = -109.73; reward = -128.0; mean_reward/100_episodes = -86.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-13 05:03:47
Episode no = 500; won: False; iter_time_steps = 139; Q(s,a) = -3.4944530204612967; score = -458.0; mean_score/100_episodes = -297.23; reward = -440.0; mean_reward/100_episodes = -243.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-13 05:04:36
Episode no = 5300; won: False; iter_time_steps = 292; Q(s,a) = 140.06477350347657; score = 299.0; mean_score/100_episodes = -152.84; reward = 239.0; mean_reward/100_episodes = -131.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-13 05:05:52
Episode no = 5400; won: False; iter_time_steps = 73; Q(s,a) = 143.03690551967455; score = -92.0; mean_score/100_episodes = -130.64; reward = -44.0; mean_reward/100_episodes = -109.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-13 05:07:42
Episode no = 5500; won: False; iter_time_steps = 49; Q(s,a) = 141.38056076139722; score = -258.0; mean_score/100_episodes = -133.35; reward = -229.0; mean_reward/100_episodes = -108.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-13 05:09:25
Episode no = 5600; won: False; iter_time_steps = 215; Q(s,a) = 143.2861780320793; score = 96.0; mean_score/100_episodes = -65.96; reward = 177.0; mean_reward/100_episodes = -60.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-13 05:11:32
Episode no = 5700; won: False; iter_time_steps = 46; Q(s,a) = 143.34428458721092; score = -165.0; mean_score/100_episodes = -91.97; reward = -127.0; mean_reward/100_episodes = -71.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-13 05:13:53
Episode no = 5800; won: False; iter_time_steps = 151; Q(s,a) = 143.62392579191385; score = 570.0; mean_score/100_episodes = -32.67; reward = 343.0; mean_reward/100_episodes = -30.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-13 05:16:11
Episode no = 600; won: False; iter_time_steps = 566; Q(s,a) = -3.935041750842786; score = -345.0; mean_score/100_episodes = -323.38; reward = -273.0; mean_reward/100_episodes = -269.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-13 05:16:38
Episode no = 5900; won: False; iter_time_steps = 112; Q(s,a) = 144.61305985613703; score = -1.0; mean_score/100_episodes = -32.9; reward = 60.0; mean_reward/100_episodes = -28.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-13 05:18:34
Episode no = 6000; won: False; iter_time_steps = 32; Q(s,a) = 142.00004537141757; score = -291.0; mean_score/100_episodes = -31.75; reward = -267.0; mean_reward/100_episodes = -24.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-13 05:21:01
Episode no = 6100; won: False; iter_time_steps = 34; Q(s,a) = 143.00009038661872; score = -283.0; mean_score/100_episodes = 35.46; reward = -258.0; mean_reward/100_episodes = 13.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-13 05:23:42
Episode no = 6200; won: False; iter_time_steps = 51; Q(s,a) = 145.42512225345297; score = -90.0; mean_score/100_episodes = 22.26; reward = -33.0; mean_reward/100_episodes = 33.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-13 05:26:29
Episode no = 700; won: False; iter_time_steps = 189; Q(s,a) = -4.395405620783976; score = -418.0; mean_score/100_episodes = -283.38; reward = -391.0; mean_reward/100_episodes = -232.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-13 05:26:50
Episode no = 6300; won: False; iter_time_steps = 49; Q(s,a) = 144.71955404591614; score = -128.0; mean_score/100_episodes = 43.5; reward = -86.0; mean_reward/100_episodes = 22.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-13 05:29:28
Episode no = 6400; won: False; iter_time_steps = 215; Q(s,a) = 144.75175487798543; score = 386.0; mean_score/100_episodes = 35.32; reward = 327.0; mean_reward/100_episodes = 18.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-13 05:32:03
Episode no = 6500; won: False; iter_time_steps = 21; Q(s,a) = 145.76349612153726; score = -380.0; mean_score/100_episodes = 62.42; reward = -377.0; mean_reward/100_episodes = 31.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-13 05:35:03
Episode no = 6600; won: False; iter_time_steps = 128; Q(s,a) = 142.8204482910004; score = 193.0; mean_score/100_episodes = 36.69; reward = 106.0; mean_reward/100_episodes = 22.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-13 05:37:33
Episode no = 800; won: False; iter_time_steps = 77; Q(s,a) = -4.829227289819931; score = -456.0; mean_score/100_episodes = -281.37; reward = -444.0; mean_reward/100_episodes = -227.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-13 05:38:01
Episode no = 6700; won: False; iter_time_steps = 22; Q(s,a) = 145.19393972708048; score = -331.0; mean_score/100_episodes = 114.35; reward = -301.0; mean_reward/100_episodes = 66.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-13 05:40:24
Episode no = 6800; won: False; iter_time_steps = 120; Q(s,a) = 148.85213094730597; score = 281.0; mean_score/100_episodes = 148.83; reward = 191.0; mean_reward/100_episodes = 97.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-13 05:43:05
Episode no = 6900; won: False; iter_time_steps = 103; Q(s,a) = 146.28256990409758; score = 118.0; mean_score/100_episodes = 73.04; reward = 190.0; mean_reward/100_episodes = 41.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-13 05:45:32
Episode no = 7000; won: False; iter_time_steps = 274; Q(s,a) = 147.0424973630395; score = 117.0; mean_score/100_episodes = 181.81; reward = 206.0; mean_reward/100_episodes = 98.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-13 05:48:20
Episode no = 900; won: False; iter_time_steps = 175; Q(s,a) = -5.268844073012252; score = -364.0; mean_score/100_episodes = -282.73; reward = -333.0; mean_reward/100_episodes = -226.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-13 05:49:35
Episode no = 7100; won: False; iter_time_steps = 81; Q(s,a) = 150.3910980226351; score = 30.0; mean_score/100_episodes = 170.65; reward = -78.0; mean_reward/100_episodes = 111.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-13 05:50:56
Episode no = 7200; won: False; iter_time_steps = 22; Q(s,a) = 151.68456399072272; score = -351.0; mean_score/100_episodes = 143.12; reward = -334.0; mean_reward/100_episodes = 89.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-13 05:53:43
