Episode no = 1900; won: False; iter_time_steps = 14; Q(s,a) = -0.9999959201923386; score = -513.0; mean_score/100_episodes = -509.28; reward = -513.0; mean_reward/100_episodes = -509.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-08 14:05:55
Episode no = 2000; won: False; iter_time_steps = 21; Q(s,a) = -0.9999959459751132; score = -520.0; mean_score/100_episodes = -509.09; reward = -520.0; mean_reward/100_episodes = -509.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-08 14:06:00
Episode no = 2100; won: False; iter_time_steps = 8; Q(s,a) = -0.9999958752628019; score = -507.0; mean_score/100_episodes = -499.68; reward = -507.0; mean_reward/100_episodes = -503.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.01, 2024-12-08 14:06:05
Episode no = 2200; won: False; iter_time_steps = 14; Q(s,a) = -0.9999962506881754; score = -513.0; mean_score/100_episodes = -510.31; reward = -513.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-08 14:06:11
Episode no = 2300; won: False; iter_time_steps = 12; Q(s,a) = -0.9999967366200293; score = -511.0; mean_score/100_episodes = -509.44; reward = -511.0; mean_reward/100_episodes = -509.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-08 14:06:17
Episode no = 2400; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -508.65; reward = -505.0; mean_reward/100_episodes = -508.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-08 14:06:22
Episode no = 2500; won: False; iter_time_steps = 7; Q(s,a) = -0.9999972663414661; score = -506.0; mean_score/100_episodes = -509.54; reward = -506.0; mean_reward/100_episodes = -509.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-08 14:06:28
Episode no = 2600; won: False; iter_time_steps = 7; Q(s,a) = -0.9999972152482792; score = -506.0; mean_score/100_episodes = -509.94; reward = -506.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-08 14:06:34
Episode no = 2700; won: False; iter_time_steps = 5; Q(s,a) = -0.9999973074763506; score = -504.0; mean_score/100_episodes = -509.39; reward = -504.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-08 14:06:39
Episode no = 2800; won: False; iter_time_steps = 10; Q(s,a) = -0.9999974355650517; score = -509.0; mean_score/100_episodes = -509.98; reward = -509.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-08 14:06:45
Episode no = 2900; won: False; iter_time_steps = 8; Q(s,a) = -0.9999974655454067; score = -507.0; mean_score/100_episodes = -509.53; reward = -507.0; mean_reward/100_episodes = -509.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-08 14:06:51
Episode no = 3000; won: False; iter_time_steps = 13; Q(s,a) = -0.9999975060078552; score = -512.0; mean_score/100_episodes = -509.35; reward = -512.0; mean_reward/100_episodes = -509.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-08 14:06:57
Episode no = 3100; won: False; iter_time_steps = 9; Q(s,a) = -0.999997522173808; score = -508.0; mean_score/100_episodes = -509.15; reward = -508.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-08 14:07:02
Episode no = 3200; won: False; iter_time_steps = 9; Q(s,a) = -0.9999977375183541; score = -508.0; mean_score/100_episodes = -509.08; reward = -508.0; mean_reward/100_episodes = -509.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-08 14:07:08
Episode no = 3300; won: False; iter_time_steps = 6; Q(s,a) = -0.9999978857416044; score = -505.0; mean_score/100_episodes = -508.43; reward = -505.0; mean_reward/100_episodes = -508.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-08 14:07:13
Episode no = 3400; won: False; iter_time_steps = 13; Q(s,a) = -0.9999979608222735; score = -512.0; mean_score/100_episodes = -509.52; reward = -512.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-08 14:07:19
Episode no = 3500; won: False; iter_time_steps = 14; Q(s,a) = -0.9999980322422278; score = -513.0; mean_score/100_episodes = -508.61; reward = -513.0; mean_reward/100_episodes = -508.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-08 14:07:24
