Episode no = 1900; won: False; iter_time_steps = 24; Q(s,a) = -10.869403205870281; score = -523.0; mean_score/100_episodes = -510.17; reward = -523.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 05:45:38
Episode no = 2000; won: False; iter_time_steps = 12; Q(s,a) = -11.328488631970826; score = -511.0; mean_score/100_episodes = -510.41; reward = -511.0; mean_reward/100_episodes = -510.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 05:45:49
Episode no = 2100; won: False; iter_time_steps = 20; Q(s,a) = -11.719409345242838; score = -519.0; mean_score/100_episodes = -509.98; reward = -519.0; mean_reward/100_episodes = -509.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 05:45:59
Episode no = 2200; won: False; iter_time_steps = 16; Q(s,a) = -12.22629953181044; score = -505.0; mean_score/100_episodes = -508.85; reward = -504.0; mean_reward/100_episodes = -508.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 05:46:08
Episode no = 2300; won: False; iter_time_steps = 10; Q(s,a) = -12.721161172724427; score = -509.0; mean_score/100_episodes = -510.71; reward = -509.0; mean_reward/100_episodes = -510.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-16 05:46:19
Episode no = 2400; won: False; iter_time_steps = 9; Q(s,a) = -13.203446606368553; score = -508.0; mean_score/100_episodes = -509.46; reward = -508.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 05:46:28
Episode no = 2500; won: False; iter_time_steps = 11; Q(s,a) = -13.573333258553099; score = -510.0; mean_score/100_episodes = -509.59; reward = -510.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 05:46:38
Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -14.039005665266881; score = -507.0; mean_score/100_episodes = -510.53; reward = -507.0; mean_reward/100_episodes = -510.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 05:46:50
Episode no = 2700; won: False; iter_time_steps = 15; Q(s,a) = -14.111617641345735; score = -504.0; mean_score/100_episodes = -509.46; reward = -514.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-16 05:47:01
Episode no = 2800; won: False; iter_time_steps = 7; Q(s,a) = -14.72594677516366; score = -506.0; mean_score/100_episodes = -510.2; reward = -506.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-16 05:47:11
Episode no = 2900; won: False; iter_time_steps = 9; Q(s,a) = -14.886456017941214; score = -508.0; mean_score/100_episodes = -508.98; reward = -508.0; mean_reward/100_episodes = -508.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-16 05:47:21
Episode no = 3000; won: False; iter_time_steps = 25; Q(s,a) = -15.028292942966988; score = -524.0; mean_score/100_episodes = -509.89; reward = -524.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-16 05:47:31
Episode no = 3100; won: False; iter_time_steps = 10; Q(s,a) = -15.649648994983401; score = -509.0; mean_score/100_episodes = -510.05; reward = -509.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-16 05:47:42
Episode no = 3200; won: False; iter_time_steps = 15; Q(s,a) = -15.360248008028647; score = -514.0; mean_score/100_episodes = -509.72; reward = -514.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-16 05:47:53
Episode no = 3300; won: False; iter_time_steps = 6; Q(s,a) = -16.05879345451559; score = -505.0; mean_score/100_episodes = -510.18; reward = -505.0; mean_reward/100_episodes = -510.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-16 05:48:03
Episode no = 3400; won: False; iter_time_steps = 24; Q(s,a) = -16.089171267254176; score = -523.0; mean_score/100_episodes = -510.94; reward = -523.0; mean_reward/100_episodes = -511.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-16 05:48:14
Episode no = 3500; won: False; iter_time_steps = 10; Q(s,a) = -16.540322449381353; score = -509.0; mean_score/100_episodes = -510.26; reward = -509.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-16 05:48:26
Episode no = 3600; won: False; iter_time_steps = 11; Q(s,a) = -16.571307066089023; score = -510.0; mean_score/100_episodes = -510.12; reward = -510.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-16 05:48:37
Episode no = 3700; won: False; iter_time_steps = 7; Q(s,a) = -16.825239251531396; score = -506.0; mean_score/100_episodes = -510.28; reward = -506.0; mean_reward/100_episodes = -510.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-16 05:48:49
Episode no = 3800; won: False; iter_time_steps = 10; Q(s,a) = -17.176808368502854; score = -509.0; mean_score/100_episodes = -500.87; reward = -509.0; mean_reward/100_episodes = -504.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.01, 2024-12-16 05:49:02
Episode no = 3900; won: False; iter_time_steps = 13; Q(s,a) = -17.38182413711273; score = -512.0; mean_score/100_episodes = -510.32; reward = -512.0; mean_reward/100_episodes = -510.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-16 05:49:14
Episode no = 4000; won: False; iter_time_steps = 9; Q(s,a) = -17.31356999714249; score = -508.0; mean_score/100_episodes = -500.42; reward = -508.0; mean_reward/100_episodes = -504.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.01, 2024-12-16 05:49:28
Episode no = 4100; won: False; iter_time_steps = 20; Q(s,a) = -17.306056031927376; score = -519.0; mean_score/100_episodes = -511.26; reward = -519.0; mean_reward/100_episodes = -511.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-16 05:49:42
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -17.406026131972663; score = -509.0; mean_score/100_episodes = -510.51; reward = -509.0; mean_reward/100_episodes = -510.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-16 05:49:53
Episode no = 4300; won: False; iter_time_steps = 17; Q(s,a) = -17.7356268315192; score = -516.0; mean_score/100_episodes = -510.26; reward = -516.0; mean_reward/100_episodes = -509.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-16 05:50:06
Episode no = 4400; won: False; iter_time_steps = 15; Q(s,a) = -17.815459807344233; score = -514.0; mean_score/100_episodes = -510.94; reward = -514.0; mean_reward/100_episodes = -510.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-16 05:50:21
Episode no = 4500; won: False; iter_time_steps = 9; Q(s,a) = -18.1138825161193; score = -508.0; mean_score/100_episodes = -511.38; reward = -508.0; mean_reward/100_episodes = -511.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-16 05:50:37
Episode no = 4600; won: False; iter_time_steps = 6; Q(s,a) = -18.680458132720098; score = -505.0; mean_score/100_episodes = -511.76; reward = -505.0; mean_reward/100_episodes = -511.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-16 05:50:53
Episode no = 4700; won: False; iter_time_steps = 10; Q(s,a) = -18.50441069461367; score = -509.0; mean_score/100_episodes = -511.36; reward = -509.0; mean_reward/100_episodes = -510.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-16 05:51:10
Episode no = 4800; won: False; iter_time_steps = 10; Q(s,a) = -18.419765804761223; score = -509.0; mean_score/100_episodes = -511.76; reward = -509.0; mean_reward/100_episodes = -511.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-16 05:51:27
Episode no = 4900; won: False; iter_time_steps = 13; Q(s,a) = -18.367258332898363; score = -512.0; mean_score/100_episodes = -512.72; reward = -512.0; mean_reward/100_episodes = -512.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-16 05:51:44
Episode no = 5000; won: False; iter_time_steps = 17; Q(s,a) = -18.719953354335562; score = -506.0; mean_score/100_episodes = -511.83; reward = -505.0; mean_reward/100_episodes = -511.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-16 05:52:01
Episode no = 5100; won: False; iter_time_steps = 15; Q(s,a) = -18.924926851317434; score = -514.0; mean_score/100_episodes = -503.63; reward = -514.0; mean_reward/100_episodes = -507.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.01, 2024-12-16 05:52:21
Episode no = 5200; won: False; iter_time_steps = 7; Q(s,a) = -18.713572834457175; score = -506.0; mean_score/100_episodes = -511.36; reward = -506.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-16 05:52:37
Episode no = 5300; won: False; iter_time_steps = 14; Q(s,a) = -19.021682905928266; score = -513.0; mean_score/100_episodes = -511.87; reward = -513.0; mean_reward/100_episodes = -511.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-16 05:52:56
Episode no = 5400; won: False; iter_time_steps = 10; Q(s,a) = -18.52513745413903; score = -509.0; mean_score/100_episodes = -511.1; reward = -509.0; mean_reward/100_episodes = -510.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-16 05:53:12
Episode no = 5500; won: False; iter_time_steps = 17; Q(s,a) = -18.324899137365385; score = -506.0; mean_score/100_episodes = -502.66; reward = -505.0; mean_reward/100_episodes = -506.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.01, 2024-12-16 05:53:33
Episode no = 5600; won: False; iter_time_steps = 15; Q(s,a) = -18.92965897494113; score = -504.0; mean_score/100_episodes = -511.56; reward = -503.0; mean_reward/100_episodes = -510.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-16 05:53:51
Episode no = 5700; won: False; iter_time_steps = 19; Q(s,a) = -18.178850488272502; score = -508.0; mean_score/100_episodes = -502.16; reward = -507.0; mean_reward/100_episodes = -505.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.01, 2024-12-16 05:54:12
Episode no = 5800; won: False; iter_time_steps = 5; Q(s,a) = -18.148619647995012; score = -504.0; mean_score/100_episodes = -511.29; reward = -504.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-16 05:54:31
Episode no = 5900; won: False; iter_time_steps = 22; Q(s,a) = -17.146432024073714; score = -511.0; mean_score/100_episodes = -512.36; reward = -510.0; mean_reward/100_episodes = -511.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-16 05:54:53
Episode no = 6000; won: False; iter_time_steps = 19; Q(s,a) = -17.344671155319624; score = -508.0; mean_score/100_episodes = -513.02; reward = -507.0; mean_reward/100_episodes = -511.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-16 05:55:18
Episode no = 6100; won: False; iter_time_steps = 13; Q(s,a) = -17.19037999944755; score = -502.0; mean_score/100_episodes = -502.98; reward = -501.0; mean_reward/100_episodes = -506.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.01, 2024-12-16 05:55:44
