Episode no = 2600; won: False; iter_time_steps = 56; Q(s,a) = 74.2001573959208; score = -315.0; mean_score/100_episodes = -357.88; reward = -302.0; mean_reward/100_episodes = -343.77; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-27 14:21:59
Episode no = 2700; won: False; iter_time_steps = 39; Q(s,a) = 76.73518181854035; score = -388.0; mean_score/100_episodes = -368.79; reward = -384.0; mean_reward/100_episodes = -352.15; and epsilon = 0.64, win percentage = 0.0, 2024-11-27 14:22:46
Episode no = 2800; won: False; iter_time_steps = 24; Q(s,a) = 84.91888931676377; score = -353.0; mean_score/100_episodes = -330.58; reward = -336.0; mean_reward/100_episodes = -313.55; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-27 14:23:37
Episode no = 2900; won: False; iter_time_steps = 59; Q(s,a) = 84.03895908295884; score = -308.0; mean_score/100_episodes = -346.31; reward = -283.0; mean_reward/100_episodes = -326.99; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-27 14:24:23
Episode no = 3000; won: False; iter_time_steps = 88; Q(s,a) = 90.97471627624903; score = -187.0; mean_score/100_episodes = -335.4; reward = -147.0; mean_reward/100_episodes = -315.96; and epsilon = 0.6, win percentage = 0.0, 2024-11-27 14:25:13
Episode no = 3100; won: False; iter_time_steps = 16; Q(s,a) = 90.4739768028008; score = -465.0; mean_score/100_episodes = -330.03; reward = -460.0; mean_reward/100_episodes = -307.5; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-27 14:26:02
Episode no = 3200; won: False; iter_time_steps = 63; Q(s,a) = 93.82013207521496; score = -302.0; mean_score/100_episodes = -328.67; reward = -287.0; mean_reward/100_episodes = -305.79; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-27 14:26:47
Episode no = 3300; won: False; iter_time_steps = 14; Q(s,a) = 103.58372345530093; score = -473.0; mean_score/100_episodes = -316.88; reward = -469.0; mean_reward/100_episodes = -292.87; and epsilon = 0.56, win percentage = 0.0, 2024-11-27 14:27:35
Episode no = 3400; won: False; iter_time_steps = 28; Q(s,a) = 106.63997816990168; score = -387.0; mean_score/100_episodes = -305.77; reward = -373.0; mean_reward/100_episodes = -282.89; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-27 14:28:29
Episode no = 3500; won: False; iter_time_steps = 58; Q(s,a) = 112.27339123448307; score = -297.0; mean_score/100_episodes = -317.64; reward = -260.0; mean_reward/100_episodes = -296.09; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-27 14:29:15
Episode no = 3600; won: False; iter_time_steps = 31; Q(s,a) = 109.43583960920287; score = -380.0; mean_score/100_episodes = -303.5; reward = -365.0; mean_reward/100_episodes = -278.08; and epsilon = 0.52, win percentage = 0.0, 2024-11-27 14:30:03
Episode no = 3700; won: False; iter_time_steps = 39; Q(s,a) = 117.80649496022671; score = -358.0; mean_score/100_episodes = -294.2; reward = -329.0; mean_reward/100_episodes = -271.91; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-27 14:30:53
Episode no = 3800; won: False; iter_time_steps = 42; Q(s,a) = 122.09748269082932; score = -261.0; mean_score/100_episodes = -302.26; reward = -233.0; mean_reward/100_episodes = -278.15; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-27 14:31:37
Episode no = 3900; won: False; iter_time_steps = 35; Q(s,a) = 125.13690286128332; score = -334.0; mean_score/100_episodes = -270.29; reward = -314.0; mean_reward/100_episodes = -241.4; and epsilon = 0.48, win percentage = 0.0, 2024-11-27 14:32:32
Episode no = 4000; won: False; iter_time_steps = 24; Q(s,a) = 126.26743016608964; score = -393.0; mean_score/100_episodes = -269.2; reward = -380.0; mean_reward/100_episodes = -240.02; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-27 14:33:29
Episode no = 4100; won: False; iter_time_steps = 48; Q(s,a) = 130.67855466923172; score = -277.0; mean_score/100_episodes = -264.55; reward = -250.0; mean_reward/100_episodes = -238.15; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-27 14:34:17
Episode no = 4200; won: False; iter_time_steps = 23; Q(s,a) = 132.37141230124627; score = -372.0; mean_score/100_episodes = -268.29; reward = -357.0; mean_reward/100_episodes = -240.49; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-27 14:35:07
