Episode no = 2600; won: False; iter_time_steps = 11; Q(s,a) = -14.422465405252126; score = -510.0; mean_score/100_episodes = -511.48; reward = -510.0; mean_reward/100_episodes = -511.48; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-19 06:18:06
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -14.939818496938194; score = -508.0; mean_score/100_episodes = -510.55; reward = -508.0; mean_reward/100_episodes = -510.55; and epsilon = 0.64, win percentage = 0.0, 2024-11-19 06:18:30
Episode no = 2800; won: False; iter_time_steps = 22; Q(s,a) = -15.09797055854866; score = -521.0; mean_score/100_episodes = -509.8; reward = -521.0; mean_reward/100_episodes = -509.8; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-19 06:18:51
Episode no = 2900; won: False; iter_time_steps = 12; Q(s,a) = -15.384183820946632; score = -511.0; mean_score/100_episodes = -511.71; reward = -511.0; mean_reward/100_episodes = -511.71; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-19 06:19:16
Episode no = 3000; won: False; iter_time_steps = 9; Q(s,a) = -15.849233499999023; score = -508.0; mean_score/100_episodes = -511.21; reward = -508.0; mean_reward/100_episodes = -511.21; and epsilon = 0.6, win percentage = 0.0, 2024-11-19 06:19:40
Episode no = 3100; won: False; iter_time_steps = 21; Q(s,a) = -15.531045337913469; score = -510.0; mean_score/100_episodes = -509.83; reward = -509.0; mean_reward/100_episodes = -509.83; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-19 06:20:02
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -16.127142590940892; score = -509.0; mean_score/100_episodes = -509.68; reward = -509.0; mean_reward/100_episodes = -509.68; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-19 06:20:26
Episode no = 3300; won: False; iter_time_steps = 17; Q(s,a) = -16.2060802661047; score = -516.0; mean_score/100_episodes = -504.07; reward = -516.0; mean_reward/100_episodes = -504.07; and epsilon = 0.56, win percentage = 0.01, 2024-11-19 06:20:50
Episode no = 3400; won: False; iter_time_steps = 10; Q(s,a) = -16.42710069842147; score = -509.0; mean_score/100_episodes = -509.76; reward = -509.0; mean_reward/100_episodes = -509.76; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-19 06:21:13
Episode no = 3500; won: False; iter_time_steps = 18; Q(s,a) = -16.814085796602885; score = -517.0; mean_score/100_episodes = -511.27; reward = -517.0; mean_reward/100_episodes = -511.27; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-19 06:21:37
