Episode no = 1900; won: False; iter_time_steps = 22; Q(s,a) = -9.099652374560947; score = -521.0; mean_score/100_episodes = -510.81; reward = -521.0; mean_reward/100_episodes = -510.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-11 04:11:33
Episode no = 2000; won: False; iter_time_steps = 13; Q(s,a) = -9.770239318511026; score = -512.0; mean_score/100_episodes = -509.66; reward = -512.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-11 04:11:42
Episode no = 2100; won: False; iter_time_steps = 11; Q(s,a) = -10.311072682160495; score = -510.0; mean_score/100_episodes = -510.01; reward = -510.0; mean_reward/100_episodes = -509.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-11 04:11:51
Episode no = 2200; won: False; iter_time_steps = 22; Q(s,a) = -10.862947856922881; score = -521.0; mean_score/100_episodes = -510.0; reward = -521.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-11 04:12:01
Episode no = 2300; won: False; iter_time_steps = 9; Q(s,a) = -11.44046840372543; score = -508.0; mean_score/100_episodes = -510.51; reward = -508.0; mean_reward/100_episodes = -510.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-11 04:12:10
Episode no = 2400; won: False; iter_time_steps = 7; Q(s,a) = -11.924700707193617; score = -506.0; mean_score/100_episodes = -510.15; reward = -506.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-11 04:12:20
Episode no = 2500; won: False; iter_time_steps = 7; Q(s,a) = -12.422977306951068; score = -506.0; mean_score/100_episodes = -510.29; reward = -506.0; mean_reward/100_episodes = -510.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-11 04:12:29
Episode no = 2600; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.87; reward = -506.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-11 04:12:38
Episode no = 2700; won: False; iter_time_steps = 10; Q(s,a) = -13.262255013910199; score = -509.0; mean_score/100_episodes = -509.64; reward = -509.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-11 04:12:47
Episode no = 2800; won: False; iter_time_steps = 10; Q(s,a) = -13.615056854142104; score = -509.0; mean_score/100_episodes = -509.88; reward = -509.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-11 04:12:57
Episode no = 2900; won: False; iter_time_steps = 12; Q(s,a) = -14.060940315614591; score = -511.0; mean_score/100_episodes = -509.61; reward = -511.0; mean_reward/100_episodes = -509.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-11 04:13:05
Episode no = 3000; won: False; iter_time_steps = 8; Q(s,a) = -14.435202178446437; score = -507.0; mean_score/100_episodes = -509.95; reward = -507.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-11 04:13:15
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = -14.792494678786987; score = -511.0; mean_score/100_episodes = -510.59; reward = -511.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-11 04:13:25
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -15.115755580993806; score = -509.0; mean_score/100_episodes = -510.68; reward = -509.0; mean_reward/100_episodes = -510.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-11 04:13:36
Episode no = 3300; won: False; iter_time_steps = 6; Q(s,a) = -15.388072476728109; score = -505.0; mean_score/100_episodes = -509.16; reward = -505.0; mean_reward/100_episodes = -509.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-11 04:13:44
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -15.752107081641995; score = -508.0; mean_score/100_episodes = -509.85; reward = -508.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-11 04:13:54
