Episode no = 1900; won: False; iter_time_steps = 18; Q(s,a) = -8.998303804115327; score = -507.0; mean_score/100_episodes = -442.66; reward = -506.0; mean_reward/100_episodes = -439.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-14 11:35:41
Episode no = 2000; won: False; iter_time_steps = 22; Q(s,a) = -9.288035143440133; score = -501.0; mean_score/100_episodes = -446.95; reward = -499.0; mean_reward/100_episodes = -437.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-14 11:36:58
Episode no = 2100; won: False; iter_time_steps = 54; Q(s,a) = -9.568761810795515; score = -353.0; mean_score/100_episodes = -443.09; reward = -333.0; mean_reward/100_episodes = -435.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-14 11:38:11
Episode no = 2200; won: False; iter_time_steps = 54; Q(s,a) = -9.843001977167908; score = -433.0; mean_score/100_episodes = -454.13; reward = -421.0; mean_reward/100_episodes = -449.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-14 11:39:30
Episode no = 2300; won: False; iter_time_steps = 54; Q(s,a) = -10.124894565471916; score = -403.0; mean_score/100_episodes = -447.01; reward = -388.0; mean_reward/100_episodes = -445.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-14 11:40:42
Episode no = 2400; won: False; iter_time_steps = 63; Q(s,a) = -10.406351224427905; score = -532.0; mean_score/100_episodes = -443.72; reward = -529.0; mean_reward/100_episodes = -440.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-14 11:42:07
Episode no = 2500; won: False; iter_time_steps = 55; Q(s,a) = -10.638360494039112; score = -424.0; mean_score/100_episodes = -452.19; reward = -411.0; mean_reward/100_episodes = -444.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-14 11:43:24
Episode no = 2600; won: False; iter_time_steps = 143; Q(s,a) = -10.850398729783462; score = -362.0; mean_score/100_episodes = -427.04; reward = -345.0; mean_reward/100_episodes = -421.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-14 11:44:48
Episode no = 2700; won: False; iter_time_steps = 108; Q(s,a) = -11.08602231916728; score = -567.0; mean_score/100_episodes = -466.22; reward = -563.0; mean_reward/100_episodes = -457.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-14 11:46:11
Episode no = 2800; won: False; iter_time_steps = 112; Q(s,a) = -11.296553126698912; score = -441.0; mean_score/100_episodes = -441.25; reward = -424.0; mean_reward/100_episodes = -436.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-14 11:47:38
Episode no = 2900; won: False; iter_time_steps = 14; Q(s,a) = -11.503505825287672; score = -453.0; mean_score/100_episodes = -452.2; reward = -447.0; mean_reward/100_episodes = -444.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-14 11:48:53
Episode no = 3000; won: False; iter_time_steps = 78; Q(s,a) = -11.719432931568061; score = -397.0; mean_score/100_episodes = -454.3; reward = -379.0; mean_reward/100_episodes = -447.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-14 11:50:06
Episode no = 3100; won: False; iter_time_steps = 60; Q(s,a) = -11.880819383423276; score = -439.0; mean_score/100_episodes = -444.71; reward = -416.0; mean_reward/100_episodes = -433.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-14 11:51:35
Episode no = 3200; won: False; iter_time_steps = 42; Q(s,a) = -11.999250041440664; score = -391.0; mean_score/100_episodes = -449.53; reward = -376.0; mean_reward/100_episodes = -441.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-14 11:52:46
Episode no = 3300; won: False; iter_time_steps = 54; Q(s,a) = -12.243947405376755; score = -513.0; mean_score/100_episodes = -464.02; reward = -509.0; mean_reward/100_episodes = -457.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-14 11:53:53
Episode no = 3400; won: False; iter_time_steps = 137; Q(s,a) = -12.412022698198886; score = -406.0; mean_score/100_episodes = -456.58; reward = -383.0; mean_reward/100_episodes = -448.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-14 11:55:20
Episode no = 3500; won: False; iter_time_steps = 18; Q(s,a) = -12.570154901958759; score = -497.0; mean_score/100_episodes = -448.11; reward = -506.0; mean_reward/100_episodes = -446.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-14 11:56:38
Episode no = 3600; won: False; iter_time_steps = 33; Q(s,a) = -12.691192136596403; score = -472.0; mean_score/100_episodes = -454.54; reward = -477.0; mean_reward/100_episodes = -450.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-14 11:58:02
