Episode no = 1900; won: False; iter_time_steps = 8; Q(s,a) = -9.478808742643821; score = -507.0; mean_score/100_episodes = -509.47; reward = -507.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-10 14:20:56
Episode no = 2000; won: False; iter_time_steps = 7; Q(s,a) = -10.574502266764773; score = -506.0; mean_score/100_episodes = -510.87; reward = -506.0; mean_reward/100_episodes = -510.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-10 14:21:04
Episode no = 2100; won: False; iter_time_steps = 9; Q(s,a) = -10.8626934150065; score = -508.0; mean_score/100_episodes = -509.64; reward = -508.0; mean_reward/100_episodes = -509.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-10 14:21:11
Episode no = 2200; won: False; iter_time_steps = 8; Q(s,a) = -11.138524343328731; score = -507.0; mean_score/100_episodes = -509.09; reward = -507.0; mean_reward/100_episodes = -509.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-10 14:21:18
Episode no = 2300; won: False; iter_time_steps = 7; Q(s,a) = -11.937819244883816; score = -506.0; mean_score/100_episodes = -509.38; reward = -506.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-10 14:21:24
Episode no = 2400; won: False; iter_time_steps = 5; Q(s,a) = -11.487029344776687; score = -504.0; mean_score/100_episodes = -509.29; reward = -504.0; mean_reward/100_episodes = -509.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-10 14:21:31
Episode no = 2500; won: False; iter_time_steps = 12; Q(s,a) = -12.661496353248474; score = -511.0; mean_score/100_episodes = -508.95; reward = -511.0; mean_reward/100_episodes = -508.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-10 14:21:38
Episode no = 2600; won: False; iter_time_steps = 10; Q(s,a) = -13.609137757188506; score = -509.0; mean_score/100_episodes = -509.26; reward = -509.0; mean_reward/100_episodes = -509.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-10 14:21:44
Episode no = 2700; won: False; iter_time_steps = 17; Q(s,a) = -13.142314215970265; score = -516.0; mean_score/100_episodes = -509.14; reward = -516.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-10 14:21:51
Episode no = 2800; won: False; iter_time_steps = 26; Q(s,a) = -12.795406280780004; score = -525.0; mean_score/100_episodes = -510.13; reward = -525.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-10 14:21:59
