Episode no = 1900; won: False; iter_time_steps = 26; Q(s,a) = 2.541687146356188; score = -415.0; mean_score/100_episodes = -415.58; reward = -404.0; mean_reward/100_episodes = -403.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-15 09:50:33
Episode no = 2000; won: False; iter_time_steps = 52; Q(s,a) = 18.048037548320263; score = -471.0; mean_score/100_episodes = -419.5; reward = -463.0; mean_reward/100_episodes = -406.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-15 09:51:28
Episode no = 2100; won: False; iter_time_steps = 34; Q(s,a) = 32.4899299626681; score = -383.0; mean_score/100_episodes = -406.45; reward = -368.0; mean_reward/100_episodes = -393.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-15 09:52:30
Episode no = 2200; won: False; iter_time_steps = 34; Q(s,a) = 36.44107970192307; score = -423.0; mean_score/100_episodes = -399.81; reward = -423.0; mean_reward/100_episodes = -385.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-15 09:53:38
Episode no = 2300; won: False; iter_time_steps = 22; Q(s,a) = 41.96839202178726; score = -451.0; mean_score/100_episodes = -384.55; reward = -444.0; mean_reward/100_episodes = -368.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-15 09:54:47
Episode no = 2400; won: False; iter_time_steps = 88; Q(s,a) = 50.36965303655836; score = -257.0; mean_score/100_episodes = -382.93; reward = -213.0; mean_reward/100_episodes = -364.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-15 09:56:02
Episode no = 2500; won: False; iter_time_steps = 41; Q(s,a) = 49.98345432904451; score = -400.0; mean_score/100_episodes = -368.95; reward = -397.0; mean_reward/100_episodes = -357.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-15 09:57:14
Episode no = 2600; won: False; iter_time_steps = 131; Q(s,a) = 61.12980784318208; score = -300.0; mean_score/100_episodes = -363.52; reward = -267.0; mean_reward/100_episodes = -348.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-15 09:58:22
Episode no = 2700; won: False; iter_time_steps = 95; Q(s,a) = 65.10641859306108; score = -404.0; mean_score/100_episodes = -367.46; reward = -385.0; mean_reward/100_episodes = -349.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-15 09:59:24
Episode no = 2800; won: False; iter_time_steps = 125; Q(s,a) = 65.33805027162485; score = -394.0; mean_score/100_episodes = -342.17; reward = -371.0; mean_reward/100_episodes = -322.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-15 10:00:35
Episode no = 2900; won: False; iter_time_steps = 60; Q(s,a) = 71.46203805047567; score = -259.0; mean_score/100_episodes = -345.08; reward = -229.0; mean_reward/100_episodes = -329.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-15 10:01:37
Episode no = 3000; won: False; iter_time_steps = 23; Q(s,a) = 75.41348394811791; score = -472.0; mean_score/100_episodes = -340.25; reward = -456.0; mean_reward/100_episodes = -319.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-15 10:02:41
Episode no = 3100; won: False; iter_time_steps = 36; Q(s,a) = 78.3187305107672; score = -345.0; mean_score/100_episodes = -343.4; reward = -315.0; mean_reward/100_episodes = -322.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-15 10:03:39
Episode no = 3200; won: False; iter_time_steps = 141; Q(s,a) = 84.83963178001954; score = -200.0; mean_score/100_episodes = -296.34; reward = -156.0; mean_reward/100_episodes = -274.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-15 10:04:56
Episode no = 3300; won: False; iter_time_steps = 28; Q(s,a) = 87.1548420673624; score = -377.0; mean_score/100_episodes = -298.8; reward = -362.0; mean_reward/100_episodes = -273.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-15 10:06:06
Episode no = 3400; won: False; iter_time_steps = 121; Q(s,a) = 82.82772344179155; score = -260.0; mean_score/100_episodes = -303.21; reward = -224.0; mean_reward/100_episodes = -280.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-15 10:07:15
Episode no = 3500; won: False; iter_time_steps = 64; Q(s,a) = 90.64842214206192; score = -283.0; mean_score/100_episodes = -257.27; reward = -244.0; mean_reward/100_episodes = -238.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-15 10:08:41
Episode no = 3600; won: False; iter_time_steps = 84; Q(s,a) = 97.39193310560132; score = -113.0; mean_score/100_episodes = -289.08; reward = -55.0; mean_reward/100_episodes = -263.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-15 10:09:50
Episode no = 3700; won: False; iter_time_steps = 14; Q(s,a) = 102.58621012167843; score = -453.0; mean_score/100_episodes = -273.61; reward = -447.0; mean_reward/100_episodes = -257.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-15 10:10:59
Episode no = 3800; won: False; iter_time_steps = 27; Q(s,a) = 107.14899825694297; score = -356.0; mean_score/100_episodes = -276.36; reward = -328.0; mean_reward/100_episodes = -253.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-15 10:12:06
Episode no = 3900; won: False; iter_time_steps = 24; Q(s,a) = 98.10305105756608; score = -413.0; mean_score/100_episodes = -251.26; reward = -402.0; mean_reward/100_episodes = -234.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-15 10:13:22
Episode no = 4000; won: False; iter_time_steps = 41; Q(s,a) = 110.62556869809592; score = -270.0; mean_score/100_episodes = -235.07; reward = -243.0; mean_reward/100_episodes = -211.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-15 10:14:40
Episode no = 4100; won: False; iter_time_steps = 37; Q(s,a) = 100.17456057114019; score = -366.0; mean_score/100_episodes = -248.13; reward = -349.0; mean_reward/100_episodes = -221.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-15 10:16:00
Episode no = 4200; won: False; iter_time_steps = 56; Q(s,a) = 119.3012619714384; score = -235.0; mean_score/100_episodes = -214.44; reward = -192.0; mean_reward/100_episodes = -189.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-15 10:17:19
