Episode no = 1900; won: False; iter_time_steps = 40; Q(s,a) = 23.440927613263014; score = -399.0; mean_score/100_episodes = -413.85; reward = -385.0; mean_reward/100_episodes = -400.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-04 06:37:26
Episode no = 2000; won: False; iter_time_steps = 71; Q(s,a) = 23.78900671992225; score = -370.0; mean_score/100_episodes = -405.44; reward = -350.0; mean_reward/100_episodes = -393.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-04 06:38:28
Episode no = 2100; won: False; iter_time_steps = 36; Q(s,a) = 20.48206260460988; score = -425.0; mean_score/100_episodes = -393.05; reward = -414.0; mean_reward/100_episodes = -379.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-04 06:39:39
Episode no = 2200; won: False; iter_time_steps = 18; Q(s,a) = 16.130590787565453; score = -457.0; mean_score/100_episodes = -389.69; reward = -451.0; mean_reward/100_episodes = -374.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-04 06:40:41
Episode no = 2300; won: False; iter_time_steps = 78; Q(s,a) = 40.755719779458914; score = -267.0; mean_score/100_episodes = -384.83; reward = -236.0; mean_reward/100_episodes = -369.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-04 06:41:40
Episode no = 2400; won: False; iter_time_steps = 26; Q(s,a) = 48.678268019212084; score = -405.0; mean_score/100_episodes = -383.85; reward = -382.0; mean_reward/100_episodes = -366.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-04 06:42:37
Episode no = 2500; won: False; iter_time_steps = 74; Q(s,a) = 48.817608373980526; score = -283.0; mean_score/100_episodes = -374.52; reward = -254.0; mean_reward/100_episodes = -356.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-04 06:43:51
Episode no = 2600; won: False; iter_time_steps = 24; Q(s,a) = 50.76415943090906; score = -353.0; mean_score/100_episodes = -345.61; reward = -336.0; mean_reward/100_episodes = -330.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-04 06:44:50
Episode no = 2700; won: False; iter_time_steps = 82; Q(s,a) = 63.43379019259239; score = -241.0; mean_score/100_episodes = -355.12; reward = -196.0; mean_reward/100_episodes = -341.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-04 06:45:44
Episode no = 2800; won: False; iter_time_steps = 32; Q(s,a) = 61.67150179355785; score = -421.0; mean_score/100_episodes = -355.73; reward = -410.0; mean_reward/100_episodes = -338.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-04 06:46:40
Episode no = 2900; won: False; iter_time_steps = 80; Q(s,a) = 73.09178535629015; score = -179.0; mean_score/100_episodes = -311.98; reward = -139.0; mean_reward/100_episodes = -300.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-04 06:47:45
Episode no = 3000; won: False; iter_time_steps = 76; Q(s,a) = 78.08862368178123; score = -245.0; mean_score/100_episodes = -340.45; reward = -212.0; mean_reward/100_episodes = -318.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-04 06:48:34
Episode no = 3100; won: False; iter_time_steps = 20; Q(s,a) = 80.6307081455077; score = -379.0; mean_score/100_episodes = -305.16; reward = -376.0; mean_reward/100_episodes = -285.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-04 06:49:38
Episode no = 3200; won: False; iter_time_steps = 65; Q(s,a) = 84.121302256592; score = -264.0; mean_score/100_episodes = -284.09; reward = -234.0; mean_reward/100_episodes = -267.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-04 06:50:50
Episode no = 3300; won: False; iter_time_steps = 92; Q(s,a) = 89.69512695586381; score = -281.0; mean_score/100_episodes = -288.27; reward = -250.0; mean_reward/100_episodes = -263.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-04 06:52:02
Episode no = 3400; won: False; iter_time_steps = 187; Q(s,a) = 90.74168691977884; score = -36.0; mean_score/100_episodes = -269.34; reward = -140.0; mean_reward/100_episodes = -244.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-04 06:53:25
Episode no = 3500; won: False; iter_time_steps = 44; Q(s,a) = 96.42856554318172; score = -323.0; mean_score/100_episodes = -266.59; reward = -301.0; mean_reward/100_episodes = -245.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-04 06:54:37
