Episode no = 1900; won: False; iter_time_steps = 8; Q(s,a) = -9.47742416311953; score = -507.0; mean_score/100_episodes = -509.88; reward = -507.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-11 07:05:05
Episode no = 2000; won: False; iter_time_steps = 13; Q(s,a) = -10.082089103530876; score = -512.0; mean_score/100_episodes = -509.91; reward = -512.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-11 07:05:14
Episode no = 2100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -511.06; reward = -506.0; mean_reward/100_episodes = -511.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-11 07:05:24
Episode no = 2200; won: False; iter_time_steps = 12; Q(s,a) = -11.001006411768401; score = -511.0; mean_score/100_episodes = -509.52; reward = -511.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-11 07:05:34
Episode no = 2300; won: False; iter_time_steps = 10; Q(s,a) = -11.449417628579114; score = -509.0; mean_score/100_episodes = -510.35; reward = -509.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-11 07:05:43
Episode no = 2400; won: False; iter_time_steps = 9; Q(s,a) = -12.14550159923063; score = -508.0; mean_score/100_episodes = -510.46; reward = -508.0; mean_reward/100_episodes = -510.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-11 07:05:53
Episode no = 2500; won: False; iter_time_steps = 23; Q(s,a) = -12.297233180178319; score = -522.0; mean_score/100_episodes = -510.63; reward = -522.0; mean_reward/100_episodes = -510.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-11 07:06:04
Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = -12.687838518974898; score = -511.0; mean_score/100_episodes = -510.11; reward = -511.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-11 07:06:13
Episode no = 2700; won: False; iter_time_steps = 11; Q(s,a) = -13.420638221644763; score = -510.0; mean_score/100_episodes = -510.92; reward = -510.0; mean_reward/100_episodes = -511.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-11 07:06:23
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -13.799928571721924; score = -508.0; mean_score/100_episodes = -509.58; reward = -508.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-11 07:06:32
Episode no = 2900; won: False; iter_time_steps = 12; Q(s,a) = -14.145337018412025; score = -511.0; mean_score/100_episodes = -509.99; reward = -511.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-11 07:06:42
Episode no = 3000; won: False; iter_time_steps = 14; Q(s,a) = -14.488992437506766; score = -513.0; mean_score/100_episodes = -510.98; reward = -513.0; mean_reward/100_episodes = -510.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-11 07:06:53
Episode no = 3100; won: False; iter_time_steps = 10; Q(s,a) = -14.854340692461667; score = -509.0; mean_score/100_episodes = -510.33; reward = -509.0; mean_reward/100_episodes = -510.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-11 07:07:03
Episode no = 3200; won: False; iter_time_steps = 23; Q(s,a) = -14.799715918278203; score = -522.0; mean_score/100_episodes = -509.72; reward = -522.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-11 07:07:12
Episode no = 3300; won: False; iter_time_steps = 14; Q(s,a) = -15.096197443508157; score = -513.0; mean_score/100_episodes = -509.39; reward = -513.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-11 07:07:21
Episode no = 3400; won: False; iter_time_steps = 10; Q(s,a) = -15.611966420245409; score = -509.0; mean_score/100_episodes = -510.83; reward = -509.0; mean_reward/100_episodes = -510.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-11 07:07:31
Episode no = 3500; won: False; iter_time_steps = 8; Q(s,a) = -15.915626419696604; score = -507.0; mean_score/100_episodes = -510.53; reward = -507.0; mean_reward/100_episodes = -510.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-11 07:07:41
Episode no = 3600; won: False; iter_time_steps = 8; Q(s,a) = -16.12920492008976; score = -507.0; mean_score/100_episodes = -509.53; reward = -507.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-11 07:07:51
Episode no = 3700; won: False; iter_time_steps = 6; Q(s,a) = -16.349801159248074; score = -505.0; mean_score/100_episodes = -509.66; reward = -505.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-11 07:08:00
Episode no = 3800; won: False; iter_time_steps = 6; Q(s,a) = -16.57872423188363; score = -505.0; mean_score/100_episodes = -510.57; reward = -505.0; mean_reward/100_episodes = -510.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-11 07:08:12
Episode no = 3900; won: False; iter_time_steps = 7; Q(s,a) = -16.77141149724784; score = -506.0; mean_score/100_episodes = -510.23; reward = -506.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-11 07:08:23
Episode no = 4000; won: False; iter_time_steps = 17; Q(s,a) = -16.95591533345063; score = -506.0; mean_score/100_episodes = -509.12; reward = -505.0; mean_reward/100_episodes = -508.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-11 07:08:34
Episode no = 4100; won: False; iter_time_steps = 8; Q(s,a) = -17.165739211625528; score = -507.0; mean_score/100_episodes = -509.96; reward = -507.0; mean_reward/100_episodes = -509.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-11 07:08:45
Episode no = 4200; won: False; iter_time_steps = 8; Q(s,a) = -17.348258607523146; score = -507.0; mean_score/100_episodes = -509.63; reward = -507.0; mean_reward/100_episodes = -509.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-11 07:08:56
Episode no = 4300; won: False; iter_time_steps = 10; Q(s,a) = -17.508957959021743; score = -509.0; mean_score/100_episodes = -510.73; reward = -509.0; mean_reward/100_episodes = -510.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-11 07:09:09
Episode no = 4400; won: False; iter_time_steps = 13; Q(s,a) = -17.22098542203638; score = -512.0; mean_score/100_episodes = -509.89; reward = -512.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-11 07:09:19
Episode no = 4500; won: False; iter_time_steps = 10; Q(s,a) = -17.523062028305137; score = -509.0; mean_score/100_episodes = -509.75; reward = -509.0; mean_reward/100_episodes = -509.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-11 07:09:30
Episode no = 4600; won: False; iter_time_steps = 8; Q(s,a) = -18.190099105054866; score = -507.0; mean_score/100_episodes = -510.82; reward = -507.0; mean_reward/100_episodes = -510.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-11 07:09:44
Episode no = 4700; won: False; iter_time_steps = 8; Q(s,a) = -18.25158624030286; score = -507.0; mean_score/100_episodes = -510.83; reward = -507.0; mean_reward/100_episodes = -510.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-11 07:09:56
Episode no = 4800; won: False; iter_time_steps = 11; Q(s,a) = -16.986519656393313; score = -510.0; mean_score/100_episodes = -510.89; reward = -510.0; mean_reward/100_episodes = -510.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-11 07:10:09
Episode no = 4900; won: False; iter_time_steps = 8; Q(s,a) = -18.705856797059045; score = -507.0; mean_score/100_episodes = -509.33; reward = -507.0; mean_reward/100_episodes = -509.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-11 07:10:19
Episode no = 5000; won: False; iter_time_steps = 10; Q(s,a) = -18.24763864954533; score = -509.0; mean_score/100_episodes = -510.24; reward = -509.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-11 07:10:33
Episode no = 5100; won: False; iter_time_steps = 11; Q(s,a) = -18.287290908248583; score = -510.0; mean_score/100_episodes = -510.88; reward = -510.0; mean_reward/100_episodes = -510.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-11 07:10:45
Episode no = 5200; won: False; iter_time_steps = 12; Q(s,a) = -19.00304251012557; score = -511.0; mean_score/100_episodes = -510.35; reward = -511.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-11 07:10:57
Episode no = 5300; won: False; iter_time_steps = 8; Q(s,a) = -18.50444384853305; score = -507.0; mean_score/100_episodes = -509.8; reward = -507.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-11 07:11:08
Episode no = 5400; won: False; iter_time_steps = 7; Q(s,a) = -18.435139659194345; score = -506.0; mean_score/100_episodes = -510.0; reward = -506.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-11 07:11:19
Episode no = 5500; won: False; iter_time_steps = 10; Q(s,a) = -18.541669923333075; score = -509.0; mean_score/100_episodes = -510.37; reward = -509.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-11 07:11:32
Episode no = 5600; won: False; iter_time_steps = 25; Q(s,a) = -18.960774758138136; score = -524.0; mean_score/100_episodes = -509.66; reward = -524.0; mean_reward/100_episodes = -509.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-11 07:11:45
Episode no = 5700; won: False; iter_time_steps = 9; Q(s,a) = -18.799805612623523; score = -508.0; mean_score/100_episodes = -510.56; reward = -508.0; mean_reward/100_episodes = -510.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-11 07:11:59
Episode no = 5800; won: False; iter_time_steps = 9; Q(s,a) = -19.2133468623177; score = -508.0; mean_score/100_episodes = -511.2; reward = -508.0; mean_reward/100_episodes = -511.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-11 07:12:11
Episode no = 5900; won: False; iter_time_steps = 9; Q(s,a) = -19.75155952304183; score = -508.0; mean_score/100_episodes = -509.52; reward = -508.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-11 07:12:23
Episode no = 6000; won: False; iter_time_steps = 9; Q(s,a) = -19.4258572363249; score = -508.0; mean_score/100_episodes = -510.09; reward = -508.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-11 07:12:38
Episode no = 6100; won: False; iter_time_steps = 17; Q(s,a) = -19.968598543007563; score = -516.0; mean_score/100_episodes = -509.62; reward = -516.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-11 07:12:49
Episode no = 6200; won: False; iter_time_steps = 8; Q(s,a) = -19.79068271083686; score = -507.0; mean_score/100_episodes = -511.67; reward = -507.0; mean_reward/100_episodes = -511.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-11 07:13:04
Episode no = 6300; won: False; iter_time_steps = 9; Q(s,a) = -19.819834116406234; score = -508.0; mean_score/100_episodes = -510.91; reward = -508.0; mean_reward/100_episodes = -510.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-11 07:13:16
