Episode no = 1900; won: False; iter_time_steps = 128; Q(s,a) = 28.53644002587115; score = -417.0; mean_score/100_episodes = -402.16; reward = -396.0; mean_reward/100_episodes = -386.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-11 04:30:12
Episode no = 2000; won: False; iter_time_steps = 22; Q(s,a) = 35.51901990214367; score = -431.0; mean_score/100_episodes = -386.6; reward = -422.0; mean_reward/100_episodes = -372.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-11 04:31:10
Episode no = 2100; won: False; iter_time_steps = 43; Q(s,a) = 38.36823332433385; score = -362.0; mean_score/100_episodes = -385.71; reward = -344.0; mean_reward/100_episodes = -367.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-11 04:31:57
Episode no = 2200; won: False; iter_time_steps = 18; Q(s,a) = 44.5361494161212; score = -407.0; mean_score/100_episodes = -378.28; reward = -385.0; mean_reward/100_episodes = -362.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-11 04:32:45
Episode no = 2300; won: False; iter_time_steps = 26; Q(s,a) = 50.99705674488208; score = -445.0; mean_score/100_episodes = -359.88; reward = -437.0; mean_reward/100_episodes = -341.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-11 04:33:41
Episode no = 2400; won: False; iter_time_steps = 117; Q(s,a) = 58.91961603139988; score = -266.0; mean_score/100_episodes = -344.87; reward = -242.0; mean_reward/100_episodes = -335.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-11 04:34:44
Episode no = 2500; won: False; iter_time_steps = 52; Q(s,a) = 61.87792437400263; score = -341.0; mean_score/100_episodes = -366.48; reward = -331.0; mean_reward/100_episodes = -347.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-11 04:35:33
Episode no = 2600; won: False; iter_time_steps = 94; Q(s,a) = 67.96558936482405; score = -343.0; mean_score/100_episodes = -317.35; reward = -307.0; mean_reward/100_episodes = -299.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-11 04:36:39
Episode no = 2700; won: False; iter_time_steps = 37; Q(s,a) = 72.10126355461212; score = -456.0; mean_score/100_episodes = -339.18; reward = -448.0; mean_reward/100_episodes = -320.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-11 04:37:41
Episode no = 2800; won: False; iter_time_steps = 113; Q(s,a) = 76.6938272665292; score = -152.0; mean_score/100_episodes = -315.15; reward = -106.0; mean_reward/100_episodes = -295.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-11 04:38:44
