Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = -13.791477850939785; score = -511.0; mean_score/100_episodes = -510.05; reward = -511.0; mean_reward/100_episodes = -509.9; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-20 08:48:46
Episode no = 2700; won: False; iter_time_steps = 11; Q(s,a) = -14.278090875593103; score = -510.0; mean_score/100_episodes = -509.22; reward = -510.0; mean_reward/100_episodes = -509.0; and epsilon = 0.64, win percentage = 0.0, 2024-11-20 08:49:07
Episode no = 2800; won: False; iter_time_steps = 8; Q(s,a) = -14.724414803991493; score = -507.0; mean_score/100_episodes = -510.26; reward = -507.0; mean_reward/100_episodes = -509.98; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-20 08:49:31
Episode no = 2900; won: False; iter_time_steps = 6; Q(s,a) = -15.144328363441243; score = -505.0; mean_score/100_episodes = -508.7; reward = -505.0; mean_reward/100_episodes = -508.62; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-20 08:49:50
Episode no = 3000; won: False; iter_time_steps = 10; Q(s,a) = -15.535788630599214; score = -509.0; mean_score/100_episodes = -508.86; reward = -509.0; mean_reward/100_episodes = -508.61; and epsilon = 0.6, win percentage = 0.0, 2024-11-20 08:50:10
Episode no = 3100; won: False; iter_time_steps = 6; Q(s,a) = -15.860223199840734; score = -505.0; mean_score/100_episodes = -509.72; reward = -505.0; mean_reward/100_episodes = -509.38; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-20 08:50:32
Episode no = 3200; won: False; iter_time_steps = 15; Q(s,a) = -16.171088680755247; score = -504.0; mean_score/100_episodes = -509.53; reward = -503.0; mean_reward/100_episodes = -509.45; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-20 08:50:53
Episode no = 3300; won: False; iter_time_steps = 9; Q(s,a) = -16.462729776237396; score = -508.0; mean_score/100_episodes = -508.96; reward = -508.0; mean_reward/100_episodes = -508.83; and epsilon = 0.56, win percentage = 0.0, 2024-11-20 08:51:13
Episode no = 3400; won: False; iter_time_steps = 23; Q(s,a) = -16.77147085338407; score = -522.0; mean_score/100_episodes = -508.81; reward = -522.0; mean_reward/100_episodes = -508.75; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-20 08:51:34
Episode no = 3500; won: False; iter_time_steps = 16; Q(s,a) = -17.063419466481637; score = -505.0; mean_score/100_episodes = -508.79; reward = -504.0; mean_reward/100_episodes = -508.84; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-20 08:51:53
Episode no = 3600; won: False; iter_time_steps = 7; Q(s,a) = -17.380121770777098; score = -506.0; mean_score/100_episodes = -509.52; reward = -506.0; mean_reward/100_episodes = -509.3; and epsilon = 0.52, win percentage = 0.0, 2024-11-20 08:52:14
Episode no = 3700; won: False; iter_time_steps = 10; Q(s,a) = -17.635428377001887; score = -509.0; mean_score/100_episodes = -509.64; reward = -509.0; mean_reward/100_episodes = -509.3; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-20 08:52:36
Episode no = 3800; won: False; iter_time_steps = 5; Q(s,a) = -17.915629814742964; score = -504.0; mean_score/100_episodes = -509.37; reward = -504.0; mean_reward/100_episodes = -509.0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-20 08:52:58
Episode no = 3900; won: False; iter_time_steps = 6; Q(s,a) = -18.181700545475195; score = -505.0; mean_score/100_episodes = -509.07; reward = -505.0; mean_reward/100_episodes = -508.89; and epsilon = 0.48, win percentage = 0.0, 2024-11-20 08:53:17
Episode no = 4000; won: False; iter_time_steps = 9; Q(s,a) = -18.43697758928442; score = -508.0; mean_score/100_episodes = -509.18; reward = -508.0; mean_reward/100_episodes = -508.83; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-20 08:53:38
Episode no = 4100; won: False; iter_time_steps = 7; Q(s,a) = -18.664466869350946; score = -506.0; mean_score/100_episodes = -509.68; reward = -506.0; mean_reward/100_episodes = -509.44; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-20 08:54:00
Episode no = 4200; won: False; iter_time_steps = 28; Q(s,a) = -18.918289766401607; score = -527.0; mean_score/100_episodes = -508.65; reward = -527.0; mean_reward/100_episodes = -508.43; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-20 08:54:20
Episode no = 4300; won: False; iter_time_steps = 10; Q(s,a) = -19.140092425140516; score = -509.0; mean_score/100_episodes = -508.94; reward = -509.0; mean_reward/100_episodes = -508.74; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-20 08:54:40
Episode no = 4400; won: False; iter_time_steps = 9; Q(s,a) = -19.347518003852105; score = -508.0; mean_score/100_episodes = -510.45; reward = -508.0; mean_reward/100_episodes = -510.25; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-20 08:55:02
Episode no = 4500; won: False; iter_time_steps = 11; Q(s,a) = -19.551855030929733; score = -510.0; mean_score/100_episodes = -509.23; reward = -510.0; mean_reward/100_episodes = -509.12; and epsilon = 0.4, win percentage = 0.0, 2024-11-20 08:55:23
Episode no = 4600; won: False; iter_time_steps = 12; Q(s,a) = -19.712449294542232; score = -511.0; mean_score/100_episodes = -510.41; reward = -511.0; mean_reward/100_episodes = -510.36; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-20 08:55:45
Episode no = 4700; won: False; iter_time_steps = 8; Q(s,a) = -19.887631252898064; score = -507.0; mean_score/100_episodes = -509.17; reward = -507.0; mean_reward/100_episodes = -508.89; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-20 08:56:07
Episode no = 4800; won: False; iter_time_steps = 8; Q(s,a) = -20.073255785649472; score = -507.0; mean_score/100_episodes = -509.93; reward = -507.0; mean_reward/100_episodes = -509.55; and epsilon = 0.36, win percentage = 0.0, 2024-11-20 08:56:29
Episode no = 4900; won: False; iter_time_steps = 9; Q(s,a) = -20.201092998520984; score = -508.0; mean_score/100_episodes = -509.98; reward = -508.0; mean_reward/100_episodes = -509.89; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-20 08:56:51
Episode no = 5000; won: False; iter_time_steps = 5; Q(s,a) = -20.318608167478956; score = -504.0; mean_score/100_episodes = -509.01; reward = -504.0; mean_reward/100_episodes = -508.94; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-20 08:57:10
Episode no = 5100; won: False; iter_time_steps = 23; Q(s,a) = -20.44071330912535; score = -522.0; mean_score/100_episodes = -509.49; reward = -522.0; mean_reward/100_episodes = -509.39; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-20 08:57:31
Episode no = 5200; won: False; iter_time_steps = 32; Q(s,a) = -20.52953140871453; score = -531.0; mean_score/100_episodes = -510.6; reward = -531.0; mean_reward/100_episodes = -510.59; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-20 08:57:53
Episode no = 5300; won: False; iter_time_steps = 13; Q(s,a) = -20.650579396943563; score = -502.0; mean_score/100_episodes = -509.44; reward = -501.0; mean_reward/100_episodes = -509.34; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-20 08:58:14
Episode no = 5400; won: False; iter_time_steps = 15; Q(s,a) = -20.679550587132304; score = -504.0; mean_score/100_episodes = -509.16; reward = -514.0; mean_reward/100_episodes = -509.13; and epsilon = 0.28, win percentage = 0.0, 2024-11-20 08:58:35
Episode no = 5500; won: False; iter_time_steps = 9; Q(s,a) = -20.83967826814667; score = -508.0; mean_score/100_episodes = -511.62; reward = -508.0; mean_reward/100_episodes = -511.5; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-20 08:59:00
Episode no = 5600; won: False; iter_time_steps = 13; Q(s,a) = -20.540800943846975; score = -512.0; mean_score/100_episodes = -509.97; reward = -512.0; mean_reward/100_episodes = -510.0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-20 08:59:22
Episode no = 5700; won: False; iter_time_steps = 9; Q(s,a) = -21.07771316319748; score = -508.0; mean_score/100_episodes = -508.66; reward = -508.0; mean_reward/100_episodes = -508.57; and epsilon = 0.24, win percentage = 0.0, 2024-11-20 08:59:41
