Episode no = 1900; won: False; iter_time_steps = 20; Q(s,a) = 119.70481390265995; score = -429.0; mean_score/100_episodes = -350.66; reward = -420.0; mean_reward/100_episodes = -330.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 450.1847075326728; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 04:08:22
Episode no = 2000; won: False; iter_time_steps = 121; Q(s,a) = 127.71124636294678; score = -330.0; mean_score/100_episodes = -335.68; reward = -301.0; mean_reward/100_episodes = -320.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 507.5010119422485; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 04:09:30
Episode no = 2100; won: False; iter_time_steps = 100; Q(s,a) = 129.94402120632725; score = -359.0; mean_score/100_episodes = -342.71; reward = -335.0; mean_reward/100_episodes = -324.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 561.0482780159293; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 04:10:31
Episode no = 2200; won: False; iter_time_steps = 12; Q(s,a) = 130.45783097778798; score = -441.0; mean_score/100_episodes = -326.18; reward = -423.0; mean_reward/100_episodes = -304.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 626.5487799552399; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-02 04:11:44
Episode no = 2300; won: False; iter_time_steps = 73; Q(s,a) = 132.04195104925415; score = -242.0; mean_score/100_episodes = -325.78; reward = -209.0; mean_reward/100_episodes = -308.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 691.6454563585497; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-02 04:12:52
Episode no = 2400; won: False; iter_time_steps = 44; Q(s,a) = 137.7280211404895; score = -393.0; mean_score/100_episodes = -319.14; reward = -378.0; mean_reward/100_episodes = -297.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 758.4382000130624; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-02 04:14:01
Episode no = 2500; won: False; iter_time_steps = 99; Q(s,a) = 142.27986083689729; score = -118.0; mean_score/100_episodes = -312.53; reward = -250.0; mean_reward/100_episodes = -298.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 822.2964781059702; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-02 04:15:05
Episode no = 2600; won: False; iter_time_steps = 27; Q(s,a) = 139.21650277443658; score = -416.0; mean_score/100_episodes = -296.81; reward = -394.0; mean_reward/100_episodes = -283.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 900.1809631493016; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-02 04:16:13
Episode no = 2700; won: False; iter_time_steps = 46; Q(s,a) = 139.6122032919948; score = -395.0; mean_score/100_episodes = -290.26; reward = -380.0; mean_reward/100_episodes = -279.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 973.8118192134259; and epsilon = 0.64, win percentage = 0.0, 2024-12-02 04:17:14
Episode no = 2800; won: False; iter_time_steps = 63; Q(s,a) = 174.693621268942; score = -342.0; mean_score/100_episodes = -308.52; reward = -331.0; mean_reward/100_episodes = -285.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1047.8195791110502; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-02 04:18:11
Episode no = 2900; won: False; iter_time_steps = 206; Q(s,a) = 194.55994234091196; score = -195.0; mean_score/100_episodes = -264.65; reward = -144.0; mean_reward/100_episodes = -258.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 1127.534739917248; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-02 04:19:12
Episode no = 3000; won: False; iter_time_steps = 182; Q(s,a) = 162.74124190221914; score = -111.0; mean_score/100_episodes = -257.33; reward = -54.0; mean_reward/100_episodes = -245.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 1214.2226216450283; and epsilon = 0.6, win percentage = 0.0, 2024-12-02 04:20:17
Episode no = 3100; won: False; iter_time_steps = 56; Q(s,a) = 160.55825123453505; score = -355.0; mean_score/100_episodes = -273.35; reward = -335.0; mean_reward/100_episodes = -267.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1292.5109322240298; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-02 04:21:15
Episode no = 3200; won: False; iter_time_steps = 40; Q(s,a) = 158.7378199715271; score = -269.0; mean_score/100_episodes = -196.8; reward = -231.0; mean_reward/100_episodes = -204.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1388.675253196586; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-02 04:22:21
Episode no = 3300; won: False; iter_time_steps = 81; Q(s,a) = 163.47527165625684; score = -200.0; mean_score/100_episodes = -231.95; reward = -162.0; mean_reward/100_episodes = -223.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1481.6897349883502; and epsilon = 0.56, win percentage = 0.0, 2024-12-02 04:23:24
Episode no = 3400; won: False; iter_time_steps = 30; Q(s,a) = 209.95325458011908; score = -369.0; mean_score/100_episodes = -230.56; reward = -353.0; mean_reward/100_episodes = -223.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1573.1158363385184; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-02 04:24:20
Episode no = 3500; won: False; iter_time_steps = 80; Q(s,a) = 174.98729546701622; score = -189.0; mean_score/100_episodes = -224.28; reward = -139.0; mean_reward/100_episodes = -213.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1666.1572398326825; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-02 04:25:21
Episode no = 3600; won: False; iter_time_steps = 168; Q(s,a) = 171.04143665284488; score = -47.0; mean_score/100_episodes = -153.05; reward = 15.0; mean_reward/100_episodes = -164.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 1777.8284613875994; and epsilon = 0.52, win percentage = 0.0, 2024-12-02 04:26:31
Episode no = 3700; won: False; iter_time_steps = 136; Q(s,a) = 163.56259990177466; score = -65.0; mean_score/100_episodes = -173.15; reward = -8.0; mean_reward/100_episodes = -168.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1890.2804123121143; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-02 04:27:43
Episode no = 3800; won: False; iter_time_steps = 164; Q(s,a) = 249.67876356519304; score = 127.0; mean_score/100_episodes = -175.7; reward = 37.0; mean_reward/100_episodes = -192.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1992.179055895856; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-02 04:28:44
Episode no = 3900; won: False; iter_time_steps = 118; Q(s,a) = 318.34759617246976; score = -207.0; mean_score/100_episodes = -132.09; reward = -166.0; mean_reward/100_episodes = -141.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2115.5612179953137; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 04:29:57
Episode no = 4000; won: False; iter_time_steps = 154; Q(s,a) = 183.8985344622651; score = 37.0; mean_score/100_episodes = -129.64; reward = 106.0; mean_reward/100_episodes = -156.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2231.7822072568006; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 04:31:05
Episode no = 4100; won: False; iter_time_steps = 122; Q(s,a) = 177.5246176652258; score = -51.0; mean_score/100_episodes = -92.24; reward = 6.0; mean_reward/100_episodes = -125.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 2356.2681591551363; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-02 04:32:14
Episode no = 4200; won: False; iter_time_steps = 32; Q(s,a) = 187.40585210444823; score = -371.0; mean_score/100_episodes = -123.34; reward = -355.0; mean_reward/100_episodes = -128.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2483.984715341491; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-02 04:33:27
Episode no = 4300; won: False; iter_time_steps = 104; Q(s,a) = 180.70684508634494; score = -3.0; mean_score/100_episodes = -121.11; reward = 57.0; mean_reward/100_episodes = -162.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2597.5673777677625; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-02 04:34:33
Episode no = 4400; won: False; iter_time_steps = 129; Q(s,a) = 179.98248649425577; score = -28.0; mean_score/100_episodes = -116.67; reward = 43.0; mean_reward/100_episodes = -126.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 2721.7841126420967; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-02 04:35:39
Episode no = 4500; won: False; iter_time_steps = 50; Q(s,a) = 212.45509763790943; score = -379.0; mean_score/100_episodes = -85.41; reward = -362.0; mean_reward/100_episodes = -107.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2858.680969346906; and epsilon = 0.4, win percentage = 0.0, 2024-12-02 04:36:50
Episode no = 4600; won: False; iter_time_steps = 25; Q(s,a) = 193.70812114675195; score = -394.0; mean_score/100_episodes = -97.5; reward = -370.0; mean_reward/100_episodes = -129.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2979.694021635621; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-02 04:37:53
Episode no = 4700; won: False; iter_time_steps = 19; Q(s,a) = 178.60365767945632; score = -408.0; mean_score/100_episodes = -100.46; reward = -397.0; mean_reward/100_episodes = -125.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 3106.226022916369; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-02 04:38:54
Episode no = 4800; won: False; iter_time_steps = 108; Q(s,a) = 197.5626873937774; score = -87.0; mean_score/100_episodes = -61.17; reward = -24.0; mean_reward/100_episodes = -90.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 3242.072933227572; and epsilon = 0.36, win percentage = 0.0, 2024-12-02 04:40:00
Episode no = 4900; won: False; iter_time_steps = 114; Q(s,a) = 187.8482173769905; score = 217.0; mean_score/100_episodes = 23.09; reward = 131.0; mean_reward/100_episodes = -37.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 3391.353773036454; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-02 04:41:12
Episode no = 5000; won: False; iter_time_steps = 114; Q(s,a) = 211.26609505183023; score = 387.0; mean_score/100_episodes = 3.49; reward = 127.0; mean_reward/100_episodes = -61.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 3537.9693643077208; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-02 04:42:22
Episode no = 5100; won: False; iter_time_steps = 24; Q(s,a) = 193.01599967167314; score = -373.0; mean_score/100_episodes = -1.44; reward = -358.0; mean_reward/100_episodes = -57.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 3683.535009185381; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-02 04:43:35
Episode no = 5200; won: False; iter_time_steps = 17; Q(s,a) = 185.45713982140725; score = -396.0; mean_score/100_episodes = -1.3; reward = -373.0; mean_reward/100_episodes = -49.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 3827.512273621432; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-02 04:44:41
Episode no = 5300; won: False; iter_time_steps = 10; Q(s,a) = 188.63854913164343; score = -429.0; mean_score/100_episodes = -45.39; reward = -421.0; mean_reward/100_episodes = -84.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 3969.3896452702706; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-02 04:45:44
