Episode no = 2600; won: False; iter_time_steps = 103; Q(s,a) = 111.19949120216964; score = -332.0; mean_score/100_episodes = -321.26; reward = -294.0; mean_reward/100_episodes = -296.19; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-24 17:17:47
Episode no = 2700; won: False; iter_time_steps = 95; Q(s,a) = 113.74005094921532; score = -164.0; mean_score/100_episodes = -312.97; reward = -121.0; mean_reward/100_episodes = -285.78; and epsilon = 0.64, win percentage = 0.0, 2024-11-24 17:20:09
Episode no = 2800; won: False; iter_time_steps = 34; Q(s,a) = 115.75399361349902; score = -413.0; mean_score/100_episodes = -319.61; reward = -390.0; mean_reward/100_episodes = -294.29; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-24 17:22:20
Episode no = 2900; won: False; iter_time_steps = 44; Q(s,a) = 122.56315871140694; score = -373.0; mean_score/100_episodes = -291.2; reward = -367.0; mean_reward/100_episodes = -270.62; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-24 17:24:44
Episode no = 3000; won: False; iter_time_steps = 31; Q(s,a) = 124.81178787759924; score = -290.0; mean_score/100_episodes = -281.07; reward = -266.0; mean_reward/100_episodes = -253.19; and epsilon = 0.6, win percentage = 0.0, 2024-11-24 17:27:35
Episode no = 3100; won: False; iter_time_steps = 30; Q(s,a) = 130.85189010185147; score = -419.0; mean_score/100_episodes = -278.31; reward = -419.0; mean_reward/100_episodes = -252.76; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-24 17:30:12
Episode no = 3200; won: False; iter_time_steps = 61; Q(s,a) = 130.88338303660043; score = -320.0; mean_score/100_episodes = -284.7; reward = -285.0; mean_reward/100_episodes = -256.7; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-24 17:32:37
Episode no = 3300; won: False; iter_time_steps = 61; Q(s,a) = 135.34070389453717; score = -340.0; mean_score/100_episodes = -257.2; reward = -318.0; mean_reward/100_episodes = -230.09; and epsilon = 0.56, win percentage = 0.0, 2024-11-24 17:35:05
Episode no = 3400; won: False; iter_time_steps = 31; Q(s,a) = 136.44471876685046; score = -340.0; mean_score/100_episodes = -289.45; reward = -310.0; mean_reward/100_episodes = -266.09; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-24 17:37:09
Episode no = 3500; won: False; iter_time_steps = 83; Q(s,a) = 134.74369365113213; score = -182.0; mean_score/100_episodes = -224.6; reward = -131.0; mean_reward/100_episodes = -205.96; and epsilon = 0.5333333333333333, win percentage = 0.01, 2024-11-24 17:40:01
Episode no = 3600; won: False; iter_time_steps = 178; Q(s,a) = 137.98734758253818; score = 183.0; mean_score/100_episodes = -228.46; reward = 100.0; mean_reward/100_episodes = -204.95; and epsilon = 0.52, win percentage = 0.0, 2024-11-24 17:42:35
Episode no = 3700; won: False; iter_time_steps = 47; Q(s,a) = 139.80116972083425; score = -346.0; mean_score/100_episodes = -210.28; reward = -326.0; mean_reward/100_episodes = -196.98; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-24 17:45:29
Episode no = 3800; won: False; iter_time_steps = 31; Q(s,a) = 142.79070412125012; score = -300.0; mean_score/100_episodes = -196.07; reward = -266.0; mean_reward/100_episodes = -171.85; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-24 17:48:11
Episode no = 3900; won: False; iter_time_steps = 173; Q(s,a) = 149.54320828916008; score = 288.0; mean_score/100_episodes = -172.57; reward = 204.0; mean_reward/100_episodes = -159.56; and epsilon = 0.48, win percentage = 0.0, 2024-11-24 17:51:08
Episode no = 4000; won: False; iter_time_steps = 90; Q(s,a) = 151.50548528027264; score = -129.0; mean_score/100_episodes = -136.23; reward = -72.0; mean_reward/100_episodes = -105.58; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-24 17:54:37
Episode no = 4100; won: False; iter_time_steps = 107; Q(s,a) = 154.14152449847774; score = -156.0; mean_score/100_episodes = -176.27; reward = -111.0; mean_reward/100_episodes = -153.19; and epsilon = 0.45333333333333337, win percentage = 0.01, 2024-11-24 17:57:31
Episode no = 4200; won: False; iter_time_steps = 51; Q(s,a) = 154.15270781528454; score = -260.0; mean_score/100_episodes = -160.67; reward = -231.0; mean_reward/100_episodes = -139.13; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-24 18:00:28
Episode no = 4300; won: False; iter_time_steps = 51; Q(s,a) = 157.05430920722154; score = -320.0; mean_score/100_episodes = -111.03; reward = -297.0; mean_reward/100_episodes = -102.54; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-24 18:03:30
Episode no = 4400; won: False; iter_time_steps = 38; Q(s,a) = 158.38837732343453; score = -337.0; mean_score/100_episodes = -59.82; reward = -317.0; mean_reward/100_episodes = -68.36; and epsilon = 0.41333333333333333, win percentage = 0.01, 2024-11-24 18:07:07
Episode no = 4500; won: False; iter_time_steps = 54; Q(s,a) = 160.36729489641147; score = -193.0; mean_score/100_episodes = -69.08; reward = -157.0; mean_reward/100_episodes = -75.74; and epsilon = 0.4, win percentage = 0.0, 2024-11-24 18:10:41
Episode no = 4600; won: False; iter_time_steps = 85; Q(s,a) = 161.62331444662135; score = -234.0; mean_score/100_episodes = -14.22; reward = -199.0; mean_reward/100_episodes = -31.76; and epsilon = 0.3866666666666667, win percentage = 0.01, 2024-11-24 18:14:29
Episode no = 4700; won: False; iter_time_steps = 18; Q(s,a) = 162.03719143254136; score = -417.0; mean_score/100_episodes = 48.71; reward = -396.0; mean_reward/100_episodes = 24.12; and epsilon = 0.3733333333333333, win percentage = 0.01, 2024-11-24 18:18:25
Episode no = 4800; won: False; iter_time_steps = 214; Q(s,a) = 163.41600844108223; score = 287.0; mean_score/100_episodes = -1.56; reward = 218.0; mean_reward/100_episodes = -40.07; and epsilon = 0.36, win percentage = 0.02, 2024-11-24 18:21:59
