Episode no = 2600; won: False; iter_time_steps = 15; Q(s,a) = -13.756036332232012; score = -504.0; mean_score/100_episodes = -509.47; reward = -503.0; mean_reward/100_episodes = -509.38; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-22 03:54:22
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -14.686622681866083; score = -508.0; mean_score/100_episodes = -510.13; reward = -508.0; mean_reward/100_episodes = -510.18; and epsilon = 0.64, win percentage = 0.0, 2024-11-22 03:54:29
Episode no = 2800; won: False; iter_time_steps = 13; Q(s,a) = -14.8533402473187; score = -512.0; mean_score/100_episodes = -509.45; reward = -512.0; mean_reward/100_episodes = -509.48; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-22 03:54:35
Episode no = 2900; won: False; iter_time_steps = 6; Q(s,a) = -15.103048731524673; score = -505.0; mean_score/100_episodes = -510.01; reward = -505.0; mean_reward/100_episodes = -509.96; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-22 03:54:41
Episode no = 3000; won: False; iter_time_steps = 11; Q(s,a) = -15.447238468253294; score = -510.0; mean_score/100_episodes = -509.24; reward = -510.0; mean_reward/100_episodes = -509.07; and epsilon = 0.6, win percentage = 0.0, 2024-11-22 03:54:47
Episode no = 3100; won: False; iter_time_steps = 10; Q(s,a) = -15.99290247827571; score = -509.0; mean_score/100_episodes = -509.53; reward = -509.0; mean_reward/100_episodes = -509.45; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-22 03:54:54
Episode no = 3200; won: False; iter_time_steps = 17; Q(s,a) = -15.716225142723825; score = -516.0; mean_score/100_episodes = -510.42; reward = -516.0; mean_reward/100_episodes = -510.38; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-22 03:55:00
Episode no = 3300; won: False; iter_time_steps = 10; Q(s,a) = -16.107426117512926; score = -509.0; mean_score/100_episodes = -489.93; reward = -509.0; mean_reward/100_episodes = -497.92; and epsilon = 0.56, win percentage = 0.02, 2024-11-22 03:55:07
Episode no = 3400; won: False; iter_time_steps = 18; Q(s,a) = -16.28284881294693; score = -507.0; mean_score/100_episodes = -509.53; reward = -506.0; mean_reward/100_episodes = -509.16; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-22 03:55:14
Episode no = 3500; won: False; iter_time_steps = 17; Q(s,a) = -16.276799637052687; score = -516.0; mean_score/100_episodes = -510.82; reward = -516.0; mean_reward/100_episodes = -510.63; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-22 03:55:21
Episode no = 3600; won: False; iter_time_steps = 7; Q(s,a) = -17.086477156347655; score = -506.0; mean_score/100_episodes = -510.64; reward = -506.0; mean_reward/100_episodes = -510.69; and epsilon = 0.52, win percentage = 0.0, 2024-11-22 03:55:27
Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -17.28648992693527; score = -507.0; mean_score/100_episodes = -510.01; reward = -507.0; mean_reward/100_episodes = -509.82; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-22 03:55:34
Episode no = 3800; won: False; iter_time_steps = 6; Q(s,a) = -17.54329382586847; score = -505.0; mean_score/100_episodes = -510.6; reward = -505.0; mean_reward/100_episodes = -510.54; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-22 03:55:41
Episode no = 3900; won: False; iter_time_steps = 11; Q(s,a) = -17.21081750413296; score = -510.0; mean_score/100_episodes = -510.85; reward = -510.0; mean_reward/100_episodes = -510.88; and epsilon = 0.48, win percentage = 0.0, 2024-11-22 03:55:48
Episode no = 4000; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.77; reward = -507.0; mean_reward/100_episodes = -510.71; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-22 03:55:55
Episode no = 4100; won: False; iter_time_steps = 9; Q(s,a) = -17.410188667258687; score = -508.0; mean_score/100_episodes = -510.51; reward = -508.0; mean_reward/100_episodes = -510.4; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-22 03:56:02
Episode no = 4200; won: False; iter_time_steps = 6; Q(s,a) = -17.913761049293853; score = -505.0; mean_score/100_episodes = -500.43; reward = -505.0; mean_reward/100_episodes = -504.41; and epsilon = 0.43999999999999995, win percentage = 0.01, 2024-11-22 03:56:09
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = -18.080078291049333; score = -507.0; mean_score/100_episodes = -511.25; reward = -507.0; mean_reward/100_episodes = -511.22; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-22 03:56:17
Episode no = 4400; won: False; iter_time_steps = 13; Q(s,a) = -17.787870422807426; score = -512.0; mean_score/100_episodes = -501.78; reward = -512.0; mean_reward/100_episodes = -505.4; and epsilon = 0.41333333333333333, win percentage = 0.01, 2024-11-22 03:56:26
Episode no = 4500; won: False; iter_time_steps = 21; Q(s,a) = -18.115462554256684; score = -520.0; mean_score/100_episodes = -511.02; reward = -520.0; mean_reward/100_episodes = -510.77; and epsilon = 0.4, win percentage = 0.0, 2024-11-22 03:56:33
Episode no = 4600; won: False; iter_time_steps = 6; Q(s,a) = -18.218417820754382; score = -505.0; mean_score/100_episodes = -512.61; reward = -505.0; mean_reward/100_episodes = -512.03; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-22 03:56:42
Episode no = 4700; won: False; iter_time_steps = 8; Q(s,a) = -18.65987533530625; score = -507.0; mean_score/100_episodes = -512.34; reward = -507.0; mean_reward/100_episodes = -512.23; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-22 03:56:50
Episode no = 4800; won: False; iter_time_steps = 10; Q(s,a) = -18.60905763343241; score = -509.0; mean_score/100_episodes = -509.89; reward = -509.0; mean_reward/100_episodes = -509.95; and epsilon = 0.36, win percentage = 0.0, 2024-11-22 03:56:58
Episode no = 4900; won: False; iter_time_steps = 12; Q(s,a) = -18.98166489707897; score = -511.0; mean_score/100_episodes = -510.51; reward = -511.0; mean_reward/100_episodes = -509.72; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-22 03:57:06
Episode no = 5000; won: False; iter_time_steps = 13; Q(s,a) = -18.624595370699392; score = -512.0; mean_score/100_episodes = -509.81; reward = -512.0; mean_reward/100_episodes = -509.32; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-22 03:57:13
Episode no = 5100; won: False; iter_time_steps = 14; Q(s,a) = -18.981074360464177; score = -513.0; mean_score/100_episodes = -509.95; reward = -513.0; mean_reward/100_episodes = -509.44; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-22 03:57:21
Episode no = 5200; won: False; iter_time_steps = 8; Q(s,a) = -19.157989558911844; score = -507.0; mean_score/100_episodes = -509.98; reward = -507.0; mean_reward/100_episodes = -509.24; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-22 03:57:29
Episode no = 5300; won: False; iter_time_steps = 6; Q(s,a) = -19.728635724780915; score = -505.0; mean_score/100_episodes = -508.54; reward = -505.0; mean_reward/100_episodes = -507.91; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-22 03:57:37
Episode no = 5400; won: False; iter_time_steps = 17; Q(s,a) = -19.063994857799145; score = -516.0; mean_score/100_episodes = -502.07; reward = -516.0; mean_reward/100_episodes = -505.6; and epsilon = 0.28, win percentage = 0.01, 2024-11-22 03:57:47
Episode no = 5500; won: False; iter_time_steps = 6; Q(s,a) = -19.460913250833936; score = -505.0; mean_score/100_episodes = -500.09; reward = -505.0; mean_reward/100_episodes = -503.81; and epsilon = 0.2666666666666667, win percentage = 0.01, 2024-11-22 03:57:56
Episode no = 5600; won: False; iter_time_steps = 30; Q(s,a) = -17.749867543166463; score = -519.0; mean_score/100_episodes = -510.09; reward = -518.0; mean_reward/100_episodes = -509.55; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-22 03:58:05
Episode no = 5700; won: False; iter_time_steps = 15; Q(s,a) = -16.43036409067006; score = -504.0; mean_score/100_episodes = -508.51; reward = -503.0; mean_reward/100_episodes = -507.94; and epsilon = 0.24, win percentage = 0.0, 2024-11-22 03:58:13
Episode no = 5800; won: False; iter_time_steps = 15; Q(s,a) = -17.447058398824083; score = -514.0; mean_score/100_episodes = -508.78; reward = -514.0; mean_reward/100_episodes = -508.21; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-22 03:58:21
Episode no = 5900; won: False; iter_time_steps = 15; Q(s,a) = -12.541105903287729; score = -504.0; mean_score/100_episodes = -507.81; reward = -503.0; mean_reward/100_episodes = -507.05; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-22 03:58:29
Episode no = 6000; won: False; iter_time_steps = 15; Q(s,a) = -10.415604695587875; score = -504.0; mean_score/100_episodes = -507.58; reward = -503.0; mean_reward/100_episodes = -507.1; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-22 03:58:37
Episode no = 6100; won: False; iter_time_steps = 18; Q(s,a) = -9.958983105107254; score = -507.0; mean_score/100_episodes = -497.24; reward = -506.0; mean_reward/100_episodes = -500.39; and epsilon = 0.18666666666666665, win percentage = 0.01, 2024-11-22 03:58:43
Episode no = 6200; won: False; iter_time_steps = 6; Q(s,a) = -18.996576577595174; score = -505.0; mean_score/100_episodes = -437.43; reward = -505.0; mean_reward/100_episodes = -465.5; and epsilon = 0.17333333333333334, win percentage = 0.07, 2024-11-22 03:58:51
