Episode no = 1900; won: False; iter_time_steps = 57; Q(s,a) = -9.020313457196188; score = -446.0; mean_score/100_episodes = -443.65; reward = -435.0; mean_reward/100_episodes = -436.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-13 06:49:52
Episode no = 2000; won: False; iter_time_steps = 27; Q(s,a) = -9.360661783935015; score = -476.0; mean_score/100_episodes = -446.05; reward = -471.0; mean_reward/100_episodes = -442.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-13 06:50:53
Episode no = 2100; won: False; iter_time_steps = 64; Q(s,a) = -9.647437932365342; score = -453.0; mean_score/100_episodes = -441.92; reward = -442.0; mean_reward/100_episodes = -439.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-13 06:52:06
Episode no = 2200; won: False; iter_time_steps = 71; Q(s,a) = -9.886051480712954; score = -380.0; mean_score/100_episodes = -434.94; reward = -361.0; mean_reward/100_episodes = -434.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-13 06:53:06
Episode no = 2300; won: False; iter_time_steps = 48; Q(s,a) = -10.141428971760835; score = -447.0; mean_score/100_episodes = -439.86; reward = -437.0; mean_reward/100_episodes = -436.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-13 06:54:14
Episode no = 2400; won: False; iter_time_steps = 29; Q(s,a) = -10.367502364361687; score = -448.0; mean_score/100_episodes = -444.59; reward = -451.0; mean_reward/100_episodes = -437.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-13 06:55:13
Episode no = 2500; won: False; iter_time_steps = 84; Q(s,a) = -10.59298369519849; score = -423.0; mean_score/100_episodes = -448.67; reward = -407.0; mean_reward/100_episodes = -441.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-13 06:56:23
Episode no = 2600; won: False; iter_time_steps = 106; Q(s,a) = -10.832325491498043; score = -425.0; mean_score/100_episodes = -448.08; reward = -407.0; mean_reward/100_episodes = -440.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-13 06:57:28
Episode no = 2700; won: False; iter_time_steps = 69; Q(s,a) = -11.068593770748265; score = -448.0; mean_score/100_episodes = -447.65; reward = -425.0; mean_reward/100_episodes = -443.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-13 06:58:39
Episode no = 2800; won: False; iter_time_steps = 61; Q(s,a) = -11.285666624130371; score = -540.0; mean_score/100_episodes = -454.0; reward = -538.0; mean_reward/100_episodes = -447.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-13 06:59:37
