Episode no = 1900; won: False; iter_time_steps = 51; Q(s,a) = 128.26441385724945; score = -380.0; mean_score/100_episodes = -341.68; reward = -363.0; mean_reward/100_episodes = -336.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-22 14:34:19
Episode no = 2000; won: False; iter_time_steps = 32; Q(s,a) = 134.92174867007728; score = -441.0; mean_score/100_episodes = -318.86; reward = -443.0; mean_reward/100_episodes = -311.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-22 14:34:51
Episode no = 2100; won: False; iter_time_steps = 17; Q(s,a) = 138.93338506800512; score = -456.0; mean_score/100_episodes = -336.95; reward = -450.0; mean_reward/100_episodes = -329.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-22 14:35:23
Episode no = 2200; won: False; iter_time_steps = 126; Q(s,a) = 141.89949003920944; score = -65.0; mean_score/100_episodes = -322.1; reward = 2.0; mean_reward/100_episodes = -307.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-22 14:35:59
Episode no = 2300; won: False; iter_time_steps = 87; Q(s,a) = 148.70249272468678; score = -346.0; mean_score/100_episodes = -311.02; reward = -322.0; mean_reward/100_episodes = -301.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-22 14:36:32
Episode no = 2400; won: False; iter_time_steps = 124; Q(s,a) = 150.838432893492; score = -183.0; mean_score/100_episodes = -314.5; reward = -139.0; mean_reward/100_episodes = -302.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-22 14:37:03
Episode no = 2500; won: False; iter_time_steps = 111; Q(s,a) = 157.86256714881853; score = -160.0; mean_score/100_episodes = -289.58; reward = -115.0; mean_reward/100_episodes = -274.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-22 14:37:35
Episode no = 2600; won: False; iter_time_steps = 90; Q(s,a) = 196.07245607423047; score = -69.0; mean_score/100_episodes = -263.67; reward = -197.0; mean_reward/100_episodes = -252.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-22 14:38:13
Episode no = 2700; won: False; iter_time_steps = 23; Q(s,a) = 177.32221810855543; score = -422.0; mean_score/100_episodes = -296.3; reward = -401.0; mean_reward/100_episodes = -286.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-22 14:38:49
Episode no = 2800; won: False; iter_time_steps = 35; Q(s,a) = 195.59287820645645; score = -374.0; mean_score/100_episodes = -255.56; reward = -347.0; mean_reward/100_episodes = -250.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.01, 2024-12-22 14:39:27
