Episode no = 1900; won: False; iter_time_steps = 27; Q(s,a) = -1.099505982972254; score = -526.0; mean_score/100_episodes = -509.22; reward = -526.0; mean_reward/100_episodes = -509.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-05 09:46:04
Episode no = 2000; won: False; iter_time_steps = 7; Q(s,a) = -1.1086249571766715; score = -506.0; mean_score/100_episodes = -508.19; reward = -506.0; mean_reward/100_episodes = -508.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-05 09:46:15
Episode no = 2100; won: False; iter_time_steps = 16; Q(s,a) = -1.1092177869046573; score = -515.0; mean_score/100_episodes = -508.49; reward = -515.0; mean_reward/100_episodes = -508.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-05 09:46:26
Episode no = 2200; won: False; iter_time_steps = 13; Q(s,a) = -1.1114709959121618; score = -512.0; mean_score/100_episodes = -508.98; reward = -512.0; mean_reward/100_episodes = -508.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-05 09:46:38
Episode no = 2300; won: False; iter_time_steps = 33; Q(s,a) = -1.1157799454997455; score = -532.0; mean_score/100_episodes = -508.75; reward = -532.0; mean_reward/100_episodes = -508.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-05 09:46:50
Episode no = 2400; won: False; iter_time_steps = 7; Q(s,a) = -1.1182913834789128; score = -506.0; mean_score/100_episodes = -508.63; reward = -506.0; mean_reward/100_episodes = -508.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-05 09:47:02
Episode no = 2500; won: False; iter_time_steps = 14; Q(s,a) = -1.117929947067805; score = -513.0; mean_score/100_episodes = -508.78; reward = -513.0; mean_reward/100_episodes = -508.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-05 09:47:14
Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -1.1153214394840585; score = -507.0; mean_score/100_episodes = -508.65; reward = -507.0; mean_reward/100_episodes = -508.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-05 09:47:27
Episode no = 2700; won: False; iter_time_steps = 5; Q(s,a) = -1.1198929816240721; score = -504.0; mean_score/100_episodes = -508.76; reward = -504.0; mean_reward/100_episodes = -508.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-05 09:47:38
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -1.124053198157205; score = -508.0; mean_score/100_episodes = -508.5; reward = -508.0; mean_reward/100_episodes = -508.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-05 09:47:49
Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -1.1286069272497763; score = -510.0; mean_score/100_episodes = -509.88; reward = -510.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-05 09:48:03
Episode no = 3000; won: False; iter_time_steps = 12; Q(s,a) = -1.133263503749957; score = -511.0; mean_score/100_episodes = -508.68; reward = -511.0; mean_reward/100_episodes = -508.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-05 09:48:14
Episode no = 3100; won: False; iter_time_steps = 14; Q(s,a) = -1.1282188267478859; score = -513.0; mean_score/100_episodes = -509.46; reward = -513.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-05 09:48:26
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -1.1322915877103366; score = -509.0; mean_score/100_episodes = -509.19; reward = -509.0; mean_reward/100_episodes = -508.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-05 09:48:39
