Episode no = 1900; won: False; iter_time_steps = 40; Q(s,a) = 53.94962912833635; score = -409.0; mean_score/100_episodes = -385.21; reward = -407.0; mean_reward/100_episodes = -371.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 06:45:54
Episode no = 2000; won: False; iter_time_steps = 76; Q(s,a) = 57.54037404929313; score = -315.0; mean_score/100_episodes = -381.08; reward = -289.0; mean_reward/100_episodes = -362.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 06:46:50
Episode no = 2100; won: False; iter_time_steps = 32; Q(s,a) = 56.541287043064536; score = -411.0; mean_score/100_episodes = -373.7; reward = -399.0; mean_reward/100_episodes = -356.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 06:47:48
Episode no = 2200; won: False; iter_time_steps = 14; Q(s,a) = 69.71070093492276; score = -453.0; mean_score/100_episodes = -378.6; reward = -447.0; mean_reward/100_episodes = -364.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 06:48:34
Episode no = 2300; won: False; iter_time_steps = 36; Q(s,a) = 71.45273130800845; score = -375.0; mean_score/100_episodes = -362.52; reward = -359.0; mean_reward/100_episodes = -342.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-16 06:49:31
Episode no = 2400; won: False; iter_time_steps = 124; Q(s,a) = 77.79175935304903; score = 37.0; mean_score/100_episodes = -341.81; reward = -77.0; mean_reward/100_episodes = -329.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 06:50:30
Episode no = 2500; won: False; iter_time_steps = 52; Q(s,a) = 83.08672577345348; score = -401.0; mean_score/100_episodes = -337.69; reward = -386.0; mean_reward/100_episodes = -321.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 06:51:34
Episode no = 2600; won: False; iter_time_steps = 56; Q(s,a) = 89.82276001159; score = -305.0; mean_score/100_episodes = -357.17; reward = -269.0; mean_reward/100_episodes = -339.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 06:52:24
Episode no = 2700; won: False; iter_time_steps = 94; Q(s,a) = 93.94391662618922; score = -233.0; mean_score/100_episodes = -340.11; reward = -186.0; mean_reward/100_episodes = -323.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-16 06:53:18
Episode no = 2800; won: False; iter_time_steps = 86; Q(s,a) = 98.9162062488967; score = -305.0; mean_score/100_episodes = -354.3; reward = -266.0; mean_reward/100_episodes = -338.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-16 06:54:00
Episode no = 2900; won: False; iter_time_steps = 91; Q(s,a) = 94.19166929980034; score = -220.0; mean_score/100_episodes = -347.08; reward = -183.0; mean_reward/100_episodes = -326.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-16 06:54:50
Episode no = 3000; won: False; iter_time_steps = 47; Q(s,a) = 97.1210885961082; score = -286.0; mean_score/100_episodes = -343.7; reward = -260.0; mean_reward/100_episodes = -321.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-16 06:55:37
Episode no = 3100; won: False; iter_time_steps = 62; Q(s,a) = 108.38782676931949; score = -201.0; mean_score/100_episodes = -301.16; reward = -165.0; mean_reward/100_episodes = -280.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-16 06:56:37
Episode no = 3200; won: False; iter_time_steps = 42; Q(s,a) = 102.7850191250954; score = -371.0; mean_score/100_episodes = -316.57; reward = -354.0; mean_reward/100_episodes = -296.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-16 06:57:32
Episode no = 3300; won: False; iter_time_steps = 192; Q(s,a) = 108.4469286141589; score = -141.0; mean_score/100_episodes = -324.3; reward = -86.0; mean_reward/100_episodes = -301.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-16 06:58:21
Episode no = 3400; won: False; iter_time_steps = 132; Q(s,a) = 116.2629867480504; score = -31.0; mean_score/100_episodes = -319.48; reward = 40.0; mean_reward/100_episodes = -296.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-16 06:59:06
Episode no = 3500; won: False; iter_time_steps = 48; Q(s,a) = 123.94477787365322; score = -307.0; mean_score/100_episodes = -310.48; reward = -294.0; mean_reward/100_episodes = -288.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-16 06:59:53
Episode no = 3600; won: False; iter_time_steps = 32; Q(s,a) = 130.5014231992829; score = -351.0; mean_score/100_episodes = -309.99; reward = -344.0; mean_reward/100_episodes = -287.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-16 07:00:45
Episode no = 3700; won: False; iter_time_steps = 120; Q(s,a) = 134.1459418074429; score = -139.0; mean_score/100_episodes = -306.74; reward = -91.0; mean_reward/100_episodes = -284.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-16 07:01:33
Episode no = 3800; won: False; iter_time_steps = 21; Q(s,a) = 124.84128013723026; score = -390.0; mean_score/100_episodes = -261.32; reward = -388.0; mean_reward/100_episodes = -231.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-16 07:02:32
