Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -10.252060592554244; score = -507.0; mean_score/100_episodes = -510.03; reward = -507.0; mean_reward/100_episodes = -510.0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-20 07:52:07
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -17.110317565005868; score = -507.0; mean_score/100_episodes = -509.94; reward = -507.0; mean_reward/100_episodes = -509.81; and epsilon = 0.64, win percentage = 0.0, 2024-11-20 07:52:28
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -9.898057869570161; score = -508.0; mean_score/100_episodes = -509.8; reward = -508.0; mean_reward/100_episodes = -509.53; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-20 07:52:48
Episode no = 2900; won: False; iter_time_steps = 8; Q(s,a) = -17.901671045160924; score = -507.0; mean_score/100_episodes = -509.25; reward = -507.0; mean_reward/100_episodes = -509.25; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-20 07:53:07
Episode no = 3000; won: False; iter_time_steps = 11; Q(s,a) = -18.833764040923036; score = -510.0; mean_score/100_episodes = -510.54; reward = -510.0; mean_reward/100_episodes = -510.41; and epsilon = 0.6, win percentage = 0.0, 2024-11-20 07:53:29
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = -10.988551111412669; score = -511.0; mean_score/100_episodes = -511.09; reward = -511.0; mean_reward/100_episodes = -511.08; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-20 07:53:52
Episode no = 3200; won: False; iter_time_steps = 11; Q(s,a) = -8.916249051738582; score = -510.0; mean_score/100_episodes = -510.13; reward = -510.0; mean_reward/100_episodes = -510.0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-20 07:54:13
Episode no = 3300; won: False; iter_time_steps = 11; Q(s,a) = -9.266853927492539; score = -510.0; mean_score/100_episodes = -509.54; reward = -510.0; mean_reward/100_episodes = -509.53; and epsilon = 0.56, win percentage = 0.0, 2024-11-20 07:54:32
Episode no = 3400; won: False; iter_time_steps = 10; Q(s,a) = -10.972017006157076; score = -509.0; mean_score/100_episodes = -509.82; reward = -509.0; mean_reward/100_episodes = -509.69; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-20 07:54:49
Episode no = 3500; won: False; iter_time_steps = 22; Q(s,a) = -8.358161339845115; score = -521.0; mean_score/100_episodes = -509.9; reward = -521.0; mean_reward/100_episodes = -509.9; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-20 07:55:09
Episode no = 3600; won: False; iter_time_steps = 11; Q(s,a) = -6.883479284160967; score = -510.0; mean_score/100_episodes = -510.3; reward = -510.0; mean_reward/100_episodes = -510.35; and epsilon = 0.52, win percentage = 0.0, 2024-11-20 07:55:31
Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -6.634207377329996; score = -507.0; mean_score/100_episodes = -510.7; reward = -507.0; mean_reward/100_episodes = -510.57; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-20 07:55:53
Episode no = 3800; won: False; iter_time_steps = 11; Q(s,a) = -7.745795407160663; score = -510.0; mean_score/100_episodes = -509.86; reward = -510.0; mean_reward/100_episodes = -509.74; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-20 07:56:13
Episode no = 3900; won: False; iter_time_steps = 7; Q(s,a) = -10.541082969173413; score = -506.0; mean_score/100_episodes = -511.05; reward = -506.0; mean_reward/100_episodes = -511.04; and epsilon = 0.48, win percentage = 0.0, 2024-11-20 07:56:36
Episode no = 4000; won: False; iter_time_steps = 10; Q(s,a) = -14.2404830957205; score = -509.0; mean_score/100_episodes = -509.69; reward = -509.0; mean_reward/100_episodes = -509.53; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-20 07:56:57
