Episode no = 3000; won: False; iter_time_steps = 8; Q(s,a) = 107.40741142213014; score = -507.0; reward = -507.0; mean_reward/100_episodes = -512.35; and epsilon = 0.6, win percentage = 0.0, 2024-11-16 19:40:46
Episode no = 3100; won: False; iter_time_steps = 47; Q(s,a) = 148.32380028585357; score = -536.0; reward = -535.0; mean_reward/100_episodes = -509.91; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-16 19:40:52
Episode no = 3200; won: False; iter_time_steps = 8; Q(s,a) = 119.98427948717801; score = -507.0; reward = -507.0; mean_reward/100_episodes = -511.85; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-16 19:40:59
Episode no = 3300; won: False; iter_time_steps = 16; Q(s,a) = 103.9587277556948; score = -515.0; reward = -515.0; mean_reward/100_episodes = -511.26; and epsilon = 0.56, win percentage = 0.0, 2024-11-16 19:41:05
Episode no = 3400; won: False; iter_time_steps = 45; Q(s,a) = 125.3974748866053; score = -544.0; reward = -544.0; mean_reward/100_episodes = -510.63; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-16 19:41:11
Episode no = 3500; won: False; iter_time_steps = 8; Q(s,a) = 122.02216963755234; score = -507.0; reward = -507.0; mean_reward/100_episodes = -501.27; and epsilon = 0.5333333333333333, win percentage = 0.02, 2024-11-16 19:41:18
Episode no = 3600; won: False; iter_time_steps = 15; Q(s,a) = 127.48066207513183; score = -514.0; reward = -514.0; mean_reward/100_episodes = -499.78; and epsilon = 0.52, win percentage = 0.02, 2024-11-16 19:41:25
Episode no = 3700; won: False; iter_time_steps = 16; Q(s,a) = 119.8359656144769; score = -515.0; reward = -515.0; mean_reward/100_episodes = -499.95; and epsilon = 0.5066666666666666, win percentage = 0.02, 2024-11-16 19:41:31
Episode no = 3800; won: False; iter_time_steps = 35; Q(s,a) = 91.99002189640541; score = -524.0; reward = -512.0; mean_reward/100_episodes = -495.12; and epsilon = 0.4933333333333333, win percentage = 0.03, 2024-11-16 19:41:39
Episode no = 3900; won: False; iter_time_steps = 11; Q(s,a) = 88.81563160852849; score = -510.0; reward = -510.0; mean_reward/100_episodes = -501.66; and epsilon = 0.48, win percentage = 0.02, 2024-11-16 19:41:46
Episode no = 4000; won: False; iter_time_steps = 17; Q(s,a) = 76.80411545425183; score = -516.0; reward = -516.0; mean_reward/100_episodes = -512.15; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-16 19:41:53
Episode no = 4100; won: False; iter_time_steps = 20; Q(s,a) = 97.79490512490302; score = -509.0; reward = -508.0; mean_reward/100_episodes = -500.69; and epsilon = 0.45333333333333337, win percentage = 0.02, 2024-11-16 19:42:00
Episode no = 4200; won: False; iter_time_steps = 9; Q(s,a) = 39.419697159065116; score = -508.0; reward = -508.0; mean_reward/100_episodes = -472.8; and epsilon = 0.43999999999999995, win percentage = 0.07, 2024-11-16 19:42:08
Episode no = 4300; won: False; iter_time_steps = 18; Q(s,a) = 59.32068686201307; score = -517.0; reward = -517.0; mean_reward/100_episodes = -489.89; and epsilon = 0.42666666666666664, win percentage = 0.04, 2024-11-16 19:42:15
Episode no = 4400; won: False; iter_time_steps = 22; Q(s,a) = 87.29642944072803; score = -521.0; reward = -521.0; mean_reward/100_episodes = -490.85; and epsilon = 0.41333333333333333, win percentage = 0.04, 2024-11-16 19:42:23
Episode no = 4500; won: False; iter_time_steps = 14; Q(s,a) = 45.609579944223974; score = -513.0; reward = -513.0; mean_reward/100_episodes = -492.63; and epsilon = 0.4, win percentage = 0.04, 2024-11-16 19:42:32
Episode no = 4600; won: False; iter_time_steps = 15; Q(s,a) = 55.45479610359731; score = -514.0; reward = -514.0; mean_reward/100_episodes = -450.08; and epsilon = 0.3866666666666667, win percentage = 0.11, 2024-11-16 19:42:41
Episode no = 4700; won: False; iter_time_steps = 14; Q(s,a) = 51.78006467516065; score = -513.0; reward = -513.0; mean_reward/100_episodes = -432.97; and epsilon = 0.3733333333333333, win percentage = 0.14, 2024-11-16 19:42:50
Episode no = 4800; won: False; iter_time_steps = 37; Q(s,a) = 103.2965076863766; score = -526.0; reward = -525.0; mean_reward/100_episodes = -473.3; and epsilon = 0.36, win percentage = 0.07, 2024-11-16 19:42:59
Episode no = 4900; won: False; iter_time_steps = 13; Q(s,a) = 26.435677296176557; score = -512.0; reward = -512.0; mean_reward/100_episodes = -423.77; and epsilon = 0.3466666666666667, win percentage = 0.15, 2024-11-16 19:43:08
Episode no = 5000; won: False; iter_time_steps = 8; Q(s,a) = 34.7838098705452; score = -507.0; reward = -507.0; mean_reward/100_episodes = -418.34; and epsilon = 0.33333333333333337, win percentage = 0.16, 2024-11-16 19:43:17
Episode no = 5100; won: False; iter_time_steps = 12; Q(s,a) = 47.40984873225124; score = -511.0; reward = -511.0; mean_reward/100_episodes = -380.98; and epsilon = 0.31999999999999995, win percentage = 0.22, 2024-11-16 19:43:26
Episode no = 5200; won: False; iter_time_steps = 12; Q(s,a) = -8.047495190404652; score = -511.0; reward = -511.0; mean_reward/100_episodes = -423.05; and epsilon = 0.30666666666666664, win percentage = 0.15, 2024-11-16 19:43:35
Episode no = 5300; won: False; iter_time_steps = 28; Q(s,a) = 134.06849229338425; score = -517.0; reward = -516.0; mean_reward/100_episodes = -423.67; and epsilon = 0.29333333333333333, win percentage = 0.15, 2024-11-16 19:43:45
Episode no = 5400; won: False; iter_time_steps = 22; Q(s,a) = 116.43996329859776; score = -511.0; reward = -510.0; mean_reward/100_episodes = -423.67; and epsilon = 0.28, win percentage = 0.15, 2024-11-16 19:43:55
Episode no = 5500; won: False; iter_time_steps = 22; Q(s,a) = 95.50323913251732; score = -511.0; reward = -510.0; mean_reward/100_episodes = -346.98; and epsilon = 0.2666666666666667, win percentage = 0.28, 2024-11-16 19:44:06
Episode no = 5600; won: False; iter_time_steps = 32; Q(s,a) = 104.5831465827808; score = -521.0; reward = -520.0; mean_reward/100_episodes = -424.57; and epsilon = 0.2533333333333333, win percentage = 0.15, 2024-11-16 19:44:16
Episode no = 5700; won: False; iter_time_steps = 45; Q(s,a) = 142.32009732437646; score = -534.0; reward = -533.0; mean_reward/100_episodes = -395.57; and epsilon = 0.24, win percentage = 0.2, 2024-11-16 19:44:26
Episode no = 5800; won: False; iter_time_steps = 21; Q(s,a) = 93.95929848830677; score = -510.0; reward = -509.0; mean_reward/100_episodes = -384.36; and epsilon = 0.22666666666666668, win percentage = 0.22, 2024-11-16 19:44:38
Episode no = 5900; won: False; iter_time_steps = 67; Q(s,a) = 141.6806854594629; score = -556.0; reward = -555.0; mean_reward/100_episodes = -361.03; and epsilon = 0.21333333333333337, win percentage = 0.26, 2024-11-16 19:44:51
