Episode no = 2600; won: False; iter_time_steps = 76; Q(s,a) = 40.238826888672676; score = -385.0; mean_score/100_episodes = -406.38; reward = -366.0; mean_reward/100_episodes = -394.9; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-24 16:02:09
Episode no = 2700; won: False; iter_time_steps = 126; Q(s,a) = 29.231272806851962; score = -425.0; mean_score/100_episodes = -402.9; reward = -405.0; mean_reward/100_episodes = -390.23; and epsilon = 0.64, win percentage = 0.0, 2024-11-24 16:02:29
Episode no = 2800; won: False; iter_time_steps = 47; Q(s,a) = 30.289909300198552; score = -376.0; mean_score/100_episodes = -402.29; reward = -370.0; mean_reward/100_episodes = -389.8; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-24 16:02:47
Episode no = 2900; won: False; iter_time_steps = 123; Q(s,a) = 39.56789885515656; score = -402.0; mean_score/100_episodes = -391.03; reward = -380.0; mean_reward/100_episodes = -374.41; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-24 16:03:07
Episode no = 3000; won: False; iter_time_steps = 65; Q(s,a) = 41.749043337018385; score = -344.0; mean_score/100_episodes = -385.28; reward = -322.0; mean_reward/100_episodes = -369.74; and epsilon = 0.6, win percentage = 0.0, 2024-11-24 16:03:26
Episode no = 3100; won: False; iter_time_steps = 57; Q(s,a) = 43.8727889137485; score = -376.0; mean_score/100_episodes = -391.6; reward = -358.0; mean_reward/100_episodes = -379.19; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-24 16:03:45
Episode no = 3200; won: False; iter_time_steps = 41; Q(s,a) = 48.49974639368236; score = -340.0; mean_score/100_episodes = -372.51; reward = -309.0; mean_reward/100_episodes = -356.11; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-24 16:04:08
Episode no = 3300; won: False; iter_time_steps = 19; Q(s,a) = 51.71085713469776; score = -398.0; mean_score/100_episodes = -385.25; reward = -375.0; mean_reward/100_episodes = -368.35; and epsilon = 0.56, win percentage = 0.0, 2024-11-24 16:04:27
Episode no = 3400; won: False; iter_time_steps = 185; Q(s,a) = 56.737854957648416; score = -454.0; mean_score/100_episodes = -364.91; reward = -431.0; mean_reward/100_episodes = -347.53; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-24 16:04:47
Episode no = 3500; won: False; iter_time_steps = 34; Q(s,a) = 62.322886455127275; score = -383.0; mean_score/100_episodes = -375.01; reward = -379.0; mean_reward/100_episodes = -357.83; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-24 16:05:05
Episode no = 3600; won: False; iter_time_steps = 21; Q(s,a) = 67.06245254028376; score = -400.0; mean_score/100_episodes = -367.99; reward = -388.0; mean_reward/100_episodes = -348.86; and epsilon = 0.52, win percentage = 0.0, 2024-11-24 16:05:25
Episode no = 3700; won: False; iter_time_steps = 85; Q(s,a) = 72.21682232365501; score = -384.0; mean_score/100_episodes = -363.01; reward = -364.0; mean_reward/100_episodes = -345.34; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-24 16:05:46
Episode no = 3800; won: False; iter_time_steps = 43; Q(s,a) = 77.56662064741607; score = -312.0; mean_score/100_episodes = -359.34; reward = -289.0; mean_reward/100_episodes = -340.17; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-24 16:06:03
Episode no = 3900; won: False; iter_time_steps = 19; Q(s,a) = 77.05369546336962; score = -388.0; mean_score/100_episodes = -348.9; reward = -375.0; mean_reward/100_episodes = -328.85; and epsilon = 0.48, win percentage = 0.0, 2024-11-24 16:06:22
Episode no = 4000; won: False; iter_time_steps = 13; Q(s,a) = 79.71478346933793; score = -432.0; mean_score/100_episodes = -342.01; reward = -424.0; mean_reward/100_episodes = -321.22; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-24 16:06:48
Episode no = 4100; won: False; iter_time_steps = 60; Q(s,a) = 86.97018694732951; score = -239.0; mean_score/100_episodes = -324.37; reward = -207.0; mean_reward/100_episodes = -302.19; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-24 16:07:12
Episode no = 4200; won: False; iter_time_steps = 24; Q(s,a) = 80.25312988964635; score = -443.0; mean_score/100_episodes = -339.15; reward = -435.0; mean_reward/100_episodes = -319.64; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-24 16:07:33
Episode no = 4300; won: False; iter_time_steps = 44; Q(s,a) = 86.35434248476578; score = -243.0; mean_score/100_episodes = -336.78; reward = -213.0; mean_reward/100_episodes = -321.13; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-24 16:07:54
Episode no = 4400; won: False; iter_time_steps = 73; Q(s,a) = 86.14462859888273; score = -172.0; mean_score/100_episodes = -324.51; reward = -143.0; mean_reward/100_episodes = -301.14; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-24 16:08:13
