Episode no = 1900; won: False; iter_time_steps = 21; Q(s,a) = -7.386300105128813; score = -520.0; mean_score/100_episodes = -509.88; reward = -520.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 01:47:42
Episode no = 2000; won: False; iter_time_steps = 11; Q(s,a) = -9.444270628443869; score = -510.0; mean_score/100_episodes = -509.84; reward = -510.0; mean_reward/100_episodes = -509.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 01:47:47
Episode no = 2100; won: False; iter_time_steps = 10; Q(s,a) = -185.88966351159164; score = -509.0; mean_score/100_episodes = -510.85; reward = -509.0; mean_reward/100_episodes = -510.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 01:47:52
Episode no = 2200; won: False; iter_time_steps = 7; Q(s,a) = -35.70031213294201; score = -506.0; mean_score/100_episodes = -509.8; reward = -506.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-02 01:47:57
Episode no = 2300; won: False; iter_time_steps = 14; Q(s,a) = -4.87676047655669; score = -503.0; mean_score/100_episodes = -509.44; reward = -502.0; mean_reward/100_episodes = -509.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-02 01:48:03
Episode no = 2400; won: False; iter_time_steps = 21; Q(s,a) = 19.810012081814765; score = -510.0; mean_score/100_episodes = -510.55; reward = -509.0; mean_reward/100_episodes = -510.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-02 01:48:10
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -2.76235392364732; score = -509.0; mean_score/100_episodes = -510.63; reward = -509.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-02 01:48:16
Episode no = 2600; won: False; iter_time_steps = 9; Q(s,a) = -6.212387671786819; score = -508.0; mean_score/100_episodes = -510.43; reward = -508.0; mean_reward/100_episodes = -510.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-02 01:48:22
Episode no = 2700; won: False; iter_time_steps = 6; Q(s,a) = -12.893516111781679; score = -505.0; mean_score/100_episodes = -509.59; reward = -505.0; mean_reward/100_episodes = -509.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-02 01:48:28
Episode no = 2800; won: False; iter_time_steps = 12; Q(s,a) = 61.72898316371875; score = -511.0; mean_score/100_episodes = -511.78; reward = -511.0; mean_reward/100_episodes = -511.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-02 01:48:35
