Episode no = 2600; won: False; iter_time_steps = 16; Q(s,a) = 1.4469349570909362; score = -505.0; mean_score/100_episodes = -511.69; reward = -504.0; mean_reward/100_episodes = -511.13; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-22 09:09:15
Episode no = 2700; won: False; iter_time_steps = 29; Q(s,a) = 105.53142727654549; score = -528.0; mean_score/100_episodes = -500.53; reward = -528.0; mean_reward/100_episodes = -504.16; and epsilon = 0.64, win percentage = 0.01, 2024-11-22 09:09:21
Episode no = 2800; won: False; iter_time_steps = 21; Q(s,a) = 86.44000553329205; score = -510.0; mean_score/100_episodes = -509.73; reward = -509.0; mean_reward/100_episodes = -509.48; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-22 09:09:27
Episode no = 2900; won: False; iter_time_steps = 10; Q(s,a) = 106.31397410013349; score = -509.0; mean_score/100_episodes = -511.03; reward = -509.0; mean_reward/100_episodes = -510.82; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-22 09:09:33
Episode no = 3000; won: False; iter_time_steps = 10; Q(s,a) = -113.173897261927; score = -509.0; mean_score/100_episodes = -511.5; reward = -509.0; mean_reward/100_episodes = -510.79; and epsilon = 0.6, win percentage = 0.0, 2024-11-22 09:09:40
Episode no = 3100; won: False; iter_time_steps = 15; Q(s,a) = 29.921559067048285; score = -504.0; mean_score/100_episodes = -511.47; reward = -492.0; mean_reward/100_episodes = -510.75; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-22 09:09:47
Episode no = 3200; won: False; iter_time_steps = 6; Q(s,a) = 46.43136313112841; score = -505.0; mean_score/100_episodes = -501.66; reward = -505.0; mean_reward/100_episodes = -505.16; and epsilon = 0.5733333333333333, win percentage = 0.01, 2024-11-22 09:09:54
Episode no = 3300; won: False; iter_time_steps = 9; Q(s,a) = 91.55012442183808; score = -508.0; mean_score/100_episodes = -509.48; reward = -508.0; mean_reward/100_episodes = -508.69; and epsilon = 0.56, win percentage = 0.0, 2024-11-22 09:10:00
Episode no = 3400; won: False; iter_time_steps = 14; Q(s,a) = 116.10693834349914; score = -513.0; mean_score/100_episodes = -490.0; reward = -513.0; mean_reward/100_episodes = -497.1; and epsilon = 0.5466666666666666, win percentage = 0.02, 2024-11-22 09:10:07
Episode no = 3500; won: False; iter_time_steps = 11; Q(s,a) = 58.53879528685348; score = -510.0; mean_score/100_episodes = -501.63; reward = -510.0; mean_reward/100_episodes = -504.7; and epsilon = 0.5333333333333333, win percentage = 0.01, 2024-11-22 09:10:14
Episode no = 3600; won: False; iter_time_steps = 9; Q(s,a) = 105.25345327571998; score = -508.0; mean_score/100_episodes = -501.52; reward = -508.0; mean_reward/100_episodes = -504.77; and epsilon = 0.52, win percentage = 0.01, 2024-11-22 09:10:21
Episode no = 3700; won: False; iter_time_steps = 18; Q(s,a) = 127.14583058037289; score = -507.0; mean_score/100_episodes = -492.55; reward = -506.0; mean_reward/100_episodes = -500.12; and epsilon = 0.5066666666666666, win percentage = 0.02, 2024-11-22 09:10:30
Episode no = 3800; won: False; iter_time_steps = 11; Q(s,a) = 92.34918598311785; score = -510.0; mean_score/100_episodes = -492.56; reward = -510.0; mean_reward/100_episodes = -500.12; and epsilon = 0.4933333333333333, win percentage = 0.02, 2024-11-22 09:10:37
Episode no = 3900; won: False; iter_time_steps = 14; Q(s,a) = 76.78967248583207; score = -513.0; mean_score/100_episodes = -512.04; reward = -513.0; mean_reward/100_episodes = -511.57; and epsilon = 0.48, win percentage = 0.0, 2024-11-22 09:10:44
Episode no = 4000; won: False; iter_time_steps = 8; Q(s,a) = 69.8810985306528; score = -507.0; mean_score/100_episodes = -511.59; reward = -507.0; mean_reward/100_episodes = -510.93; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-22 09:10:52
Episode no = 4100; won: False; iter_time_steps = 22; Q(s,a) = 70.07609919815671; score = -521.0; mean_score/100_episodes = -502.3; reward = -521.0; mean_reward/100_episodes = -505.84; and epsilon = 0.45333333333333337, win percentage = 0.01, 2024-11-22 09:10:59
Episode no = 4200; won: False; iter_time_steps = 12; Q(s,a) = 84.1813578637587; score = -511.0; mean_score/100_episodes = -513.45; reward = -511.0; mean_reward/100_episodes = -512.8; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-22 09:11:07
Episode no = 4300; won: False; iter_time_steps = 34; Q(s,a) = 71.35320485096571; score = -533.0; mean_score/100_episodes = -513.02; reward = -533.0; mean_reward/100_episodes = -512.47; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-22 09:11:15
Episode no = 4400; won: False; iter_time_steps = 9; Q(s,a) = 86.05860929289747; score = -508.0; mean_score/100_episodes = -483.73; reward = -508.0; mean_reward/100_episodes = -495.42; and epsilon = 0.41333333333333333, win percentage = 0.03, 2024-11-22 09:11:24
Episode no = 4500; won: False; iter_time_steps = 16; Q(s,a) = 82.39224404940946; score = -505.0; mean_score/100_episodes = -503.16; reward = -504.0; mean_reward/100_episodes = -506.59; and epsilon = 0.4, win percentage = 0.01, 2024-11-22 09:11:32
