Episode no = 1900; won: False; iter_time_steps = 51; Q(s,a) = 82.40150801758078; score = -310.0; mean_score/100_episodes = -339.93; reward = -297.0; mean_reward/100_episodes = -331.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-21 16:14:07
Episode no = 2000; won: False; iter_time_steps = 76; Q(s,a) = 89.28767811396695; score = -285.0; mean_score/100_episodes = -325.48; reward = -245.0; mean_reward/100_episodes = -323.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-21 16:14:59
Episode no = 2100; won: False; iter_time_steps = 22; Q(s,a) = 93.85343932109846; score = -431.0; mean_score/100_episodes = -329.99; reward = -422.0; mean_reward/100_episodes = -311.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-21 16:15:54
Episode no = 2200; won: False; iter_time_steps = 63; Q(s,a) = 99.05110208083093; score = -412.0; mean_score/100_episodes = -330.09; reward = -397.0; mean_reward/100_episodes = -312.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-21 16:16:51
Episode no = 2300; won: False; iter_time_steps = 38; Q(s,a) = 103.86308921112071; score = -377.0; mean_score/100_episodes = -285.27; reward = -361.0; mean_reward/100_episodes = -285.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-21 16:17:49
Episode no = 2400; won: False; iter_time_steps = 77; Q(s,a) = 109.68486350878244; score = -206.0; mean_score/100_episodes = -310.65; reward = -169.0; mean_reward/100_episodes = -300.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-21 16:18:39
Episode no = 2500; won: False; iter_time_steps = 160; Q(s,a) = 113.99079050422374; score = -89.0; mean_score/100_episodes = -256.65; reward = -32.0; mean_reward/100_episodes = -254.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-21 16:19:40
Episode no = 2600; won: False; iter_time_steps = 182; Q(s,a) = 117.3996021011041; score = -121.0; mean_score/100_episodes = -247.24; reward = -65.0; mean_reward/100_episodes = -235.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-21 16:20:53
Episode no = 2700; won: False; iter_time_steps = 66; Q(s,a) = 121.49314687023684; score = -355.0; mean_score/100_episodes = -238.92; reward = -334.0; mean_reward/100_episodes = -229.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-21 16:22:05
Episode no = 2800; won: False; iter_time_steps = 55; Q(s,a) = 124.4395619165323; score = -294.0; mean_score/100_episodes = -259.83; reward = -257.0; mean_reward/100_episodes = -243.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-21 16:23:12
Episode no = 2900; won: False; iter_time_steps = 77; Q(s,a) = 128.7335563281907; score = -316.0; mean_score/100_episodes = -229.47; reward = -290.0; mean_reward/100_episodes = -234.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-21 16:24:16
Episode no = 3000; won: False; iter_time_steps = 161; Q(s,a) = 133.32043611757388; score = 100.0; mean_score/100_episodes = -231.03; reward = 7.0; mean_reward/100_episodes = -215.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-21 16:25:28
Episode no = 3100; won: False; iter_time_steps = 46; Q(s,a) = 135.66260576413978; score = -295.0; mean_score/100_episodes = -261.4; reward = -270.0; mean_reward/100_episodes = -243.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-21 16:26:25
Episode no = 3200; won: False; iter_time_steps = 187; Q(s,a) = 139.25662320197705; score = 464.0; mean_score/100_episodes = -197.39; reward = 241.0; mean_reward/100_episodes = -203.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-21 16:27:34
Episode no = 3300; won: False; iter_time_steps = 80; Q(s,a) = 140.5658347771278; score = -269.0; mean_score/100_episodes = -210.18; reward = -249.0; mean_reward/100_episodes = -202.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-21 16:28:39
Episode no = 3400; won: False; iter_time_steps = 102; Q(s,a) = 142.81888104243183; score = -41.0; mean_score/100_episodes = -242.98; reward = -165.0; mean_reward/100_episodes = -225.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-21 16:29:38
Episode no = 3500; won: False; iter_time_steps = 19; Q(s,a) = 145.82011013078633; score = -438.0; mean_score/100_episodes = -246.6; reward = -430.0; mean_reward/100_episodes = -233.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-21 16:30:34
Episode no = 3600; won: False; iter_time_steps = 27; Q(s,a) = 148.59627344952963; score = -406.0; mean_score/100_episodes = -185.38; reward = -394.0; mean_reward/100_episodes = -173.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-21 16:31:47
Episode no = 3700; won: False; iter_time_steps = 22; Q(s,a) = 150.74493415913074; score = -381.0; mean_score/100_episodes = -186.17; reward = -356.0; mean_reward/100_episodes = -177.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-21 16:32:53
Episode no = 3800; won: False; iter_time_steps = 98; Q(s,a) = 153.29440299515994; score = -177.0; mean_score/100_episodes = -169.46; reward = -124.0; mean_reward/100_episodes = -172.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-21 16:34:02
Episode no = 3900; won: False; iter_time_steps = 28; Q(s,a) = 155.4748231278745; score = -377.0; mean_score/100_episodes = -137.93; reward = -362.0; mean_reward/100_episodes = -148.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-21 16:35:13
Episode no = 4000; won: False; iter_time_steps = 100; Q(s,a) = 157.13807245619924; score = 131.0; mean_score/100_episodes = -170.82; reward = 24.0; mean_reward/100_episodes = -162.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.01, 2024-12-21 16:36:19
Episode no = 4100; won: False; iter_time_steps = 37; Q(s,a) = 158.39270958392999; score = -416.0; mean_score/100_episodes = -200.91; reward = -404.0; mean_reward/100_episodes = -198.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.01, 2024-12-21 16:37:16
