Episode no = 2600; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.27; reward = -506.0; mean_reward/100_episodes = -509.34; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-22 08:54:31
Episode no = 2700; won: False; iter_time_steps = 13; Q(s,a) = -14.209006031515827; score = -512.0; mean_score/100_episodes = -509.93; reward = -512.0; mean_reward/100_episodes = -509.97; and epsilon = 0.64, win percentage = 0.0, 2024-11-22 08:54:39
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -14.4442609466137; score = -508.0; mean_score/100_episodes = -510.97; reward = -508.0; mean_reward/100_episodes = -510.78; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-22 08:54:46
Episode no = 2900; won: False; iter_time_steps = 7; Q(s,a) = -14.721429976948771; score = -506.0; mean_score/100_episodes = -509.06; reward = -506.0; mean_reward/100_episodes = -508.88; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-22 08:54:53
Episode no = 3000; won: False; iter_time_steps = 9; Q(s,a) = -15.448178866628732; score = -508.0; mean_score/100_episodes = -510.39; reward = -508.0; mean_reward/100_episodes = -509.96; and epsilon = 0.6, win percentage = 0.0, 2024-11-22 08:55:01
Episode no = 3100; won: False; iter_time_steps = 10; Q(s,a) = -15.124612208623489; score = -509.0; mean_score/100_episodes = -510.37; reward = -509.0; mean_reward/100_episodes = -510.2; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-22 08:55:08
Episode no = 3200; won: False; iter_time_steps = 22; Q(s,a) = -15.462850001757387; score = -521.0; mean_score/100_episodes = -509.68; reward = -521.0; mean_reward/100_episodes = -509.38; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-22 08:55:15
Episode no = 3300; won: False; iter_time_steps = 8; Q(s,a) = -16.31478882833412; score = -507.0; mean_score/100_episodes = -511.25; reward = -507.0; mean_reward/100_episodes = -511.06; and epsilon = 0.56, win percentage = 0.0, 2024-11-22 08:55:23
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -16.558788205306303; score = -508.0; mean_score/100_episodes = -511.3; reward = -508.0; mean_reward/100_episodes = -511.06; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-22 08:55:32
Episode no = 3500; won: False; iter_time_steps = 30; Q(s,a) = -16.25995107818169; score = -519.0; mean_score/100_episodes = -509.66; reward = -518.0; mean_reward/100_episodes = -509.58; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-22 08:55:39
