Episode no = 1900; won: False; iter_time_steps = 12; Q(s,a) = -1.8253115264135524; score = -511.0; mean_score/100_episodes = -510.08; reward = -511.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-11 03:21:07
Episode no = 2000; won: False; iter_time_steps = 10; Q(s,a) = -1.8729872648066754; score = -509.0; mean_score/100_episodes = -498.21; reward = -509.0; mean_reward/100_episodes = -502.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.01, 2024-12-11 03:21:14
Episode no = 2100; won: False; iter_time_steps = 13; Q(s,a) = -1.91998193113889; score = -512.0; mean_score/100_episodes = -509.28; reward = -512.0; mean_reward/100_episodes = -509.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-11 03:21:22
Episode no = 2200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.54; reward = -506.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-11 03:21:30
Episode no = 2300; won: False; iter_time_steps = 14; Q(s,a) = -2.0136828235154547; score = -513.0; mean_score/100_episodes = -508.37; reward = -513.0; mean_reward/100_episodes = -508.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-11 03:21:38
Episode no = 2400; won: False; iter_time_steps = 18; Q(s,a) = -2.0577651771791623; score = -507.0; mean_score/100_episodes = -508.05; reward = -506.0; mean_reward/100_episodes = -507.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-11 03:21:45
Episode no = 2500; won: False; iter_time_steps = 7; Q(s,a) = -2.1125821128657334; score = -506.0; mean_score/100_episodes = -509.47; reward = -506.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-11 03:21:53
Episode no = 2600; won: False; iter_time_steps = 10; Q(s,a) = -2.154262949834051; score = -509.0; mean_score/100_episodes = -510.17; reward = -509.0; mean_reward/100_episodes = -509.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-11 03:22:03
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -2.2025081226077017; score = -508.0; mean_score/100_episodes = -508.75; reward = -508.0; mean_reward/100_episodes = -508.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-11 03:22:11
Episode no = 2800; won: False; iter_time_steps = 11; Q(s,a) = -2.2568084227636445; score = -510.0; mean_score/100_episodes = -510.09; reward = -510.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-11 03:22:19
Episode no = 2900; won: False; iter_time_steps = 7; Q(s,a) = -2.297429049278406; score = -506.0; mean_score/100_episodes = -509.98; reward = -506.0; mean_reward/100_episodes = -509.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-11 03:22:28
Episode no = 3000; won: False; iter_time_steps = 9; Q(s,a) = -2.3460361608833584; score = -508.0; mean_score/100_episodes = -508.88; reward = -508.0; mean_reward/100_episodes = -508.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-11 03:22:37
Episode no = 3100; won: False; iter_time_steps = 25; Q(s,a) = -2.3912299209104972; score = -524.0; mean_score/100_episodes = -510.02; reward = -524.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-11 03:22:46
Episode no = 3200; won: False; iter_time_steps = 9; Q(s,a) = -2.435471053987158; score = -508.0; mean_score/100_episodes = -508.85; reward = -508.0; mean_reward/100_episodes = -508.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-11 03:22:56
Episode no = 3300; won: False; iter_time_steps = 19; Q(s,a) = -2.485281954255255; score = -508.0; mean_score/100_episodes = -509.02; reward = -507.0; mean_reward/100_episodes = -508.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-11 03:23:07
Episode no = 3400; won: False; iter_time_steps = 14; Q(s,a) = -2.5328616265638253; score = -503.0; mean_score/100_episodes = -508.11; reward = -502.0; mean_reward/100_episodes = -507.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-11 03:23:16
Episode no = 3500; won: False; iter_time_steps = 10; Q(s,a) = -2.574934493663061; score = -509.0; mean_score/100_episodes = -507.98; reward = -509.0; mean_reward/100_episodes = -507.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-11 03:23:25
Episode no = 3600; won: False; iter_time_steps = 14; Q(s,a) = -2.614482920917971; score = -503.0; mean_score/100_episodes = -508.04; reward = -502.0; mean_reward/100_episodes = -508.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-11 03:23:35
Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -2.668637357468185; score = -507.0; mean_score/100_episodes = -508.18; reward = -507.0; mean_reward/100_episodes = -507.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-11 03:23:43
Episode no = 3800; won: False; iter_time_steps = 20; Q(s,a) = -2.717123982323173; score = -509.0; mean_score/100_episodes = -508.36; reward = -508.0; mean_reward/100_episodes = -508.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-11 03:23:53
Episode no = 3900; won: False; iter_time_steps = 12; Q(s,a) = -2.7655449555500993; score = -511.0; mean_score/100_episodes = -510.05; reward = -511.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-11 03:24:02
Episode no = 4000; won: False; iter_time_steps = 20; Q(s,a) = -2.806407258292223; score = -509.0; mean_score/100_episodes = -509.84; reward = -508.0; mean_reward/100_episodes = -509.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-11 03:24:12
Episode no = 4100; won: False; iter_time_steps = 7; Q(s,a) = -2.852688324222614; score = -506.0; mean_score/100_episodes = -509.01; reward = -506.0; mean_reward/100_episodes = -508.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-11 03:24:22
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -2.9002760970488124; score = -509.0; mean_score/100_episodes = -510.18; reward = -509.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-11 03:24:32
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = -2.9429312759719295; score = -507.0; mean_score/100_episodes = -507.8; reward = -507.0; mean_reward/100_episodes = -507.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-11 03:24:40
Episode no = 4400; won: False; iter_time_steps = 6; Q(s,a) = -2.9958726445484736; score = -505.0; mean_score/100_episodes = -509.57; reward = -505.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-11 03:24:50
Episode no = 4500; won: False; iter_time_steps = 19; Q(s,a) = -3.039410623852774; score = -508.0; mean_score/100_episodes = -507.77; reward = -507.0; mean_reward/100_episodes = -507.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-11 03:24:58
Episode no = 4600; won: False; iter_time_steps = 9; Q(s,a) = -3.086783114794337; score = -508.0; mean_score/100_episodes = -509.87; reward = -508.0; mean_reward/100_episodes = -509.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-11 03:25:07
