Episode no = 1900; won: False; iter_time_steps = 54; Q(s,a) = 15.459328200218746; score = -443.0; mean_score/100_episodes = -400.88; reward = -443.0; mean_reward/100_episodes = -388.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-07 10:00:51
Episode no = 2000; won: False; iter_time_steps = 230; Q(s,a) = 18.31303373638642; score = -459.0; mean_score/100_episodes = -404.62; reward = -432.0; mean_reward/100_episodes = -393.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-07 10:01:42
Episode no = 2100; won: False; iter_time_steps = 191; Q(s,a) = 27.38610575668657; score = -270.0; mean_score/100_episodes = -380.81; reward = -228.0; mean_reward/100_episodes = -374.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-07 10:02:47
Episode no = 2200; won: False; iter_time_steps = 127; Q(s,a) = 35.84219025032514; score = -116.0; mean_score/100_episodes = -387.88; reward = -234.0; mean_reward/100_episodes = -375.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-07 10:03:55
Episode no = 2300; won: False; iter_time_steps = 142; Q(s,a) = 35.969558154749684; score = -311.0; mean_score/100_episodes = -361.98; reward = -278.0; mean_reward/100_episodes = -341.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-07 10:05:04
Episode no = 2400; won: False; iter_time_steps = 37; Q(s,a) = 48.418153626667994; score = -386.0; mean_score/100_episodes = -352.1; reward = -371.0; mean_reward/100_episodes = -335.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-07 10:06:13
Episode no = 2500; won: False; iter_time_steps = 24; Q(s,a) = 53.020589231080315; score = -383.0; mean_score/100_episodes = -355.83; reward = -358.0; mean_reward/100_episodes = -340.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-07 10:07:10
Episode no = 2600; won: False; iter_time_steps = 33; Q(s,a) = 62.01349432827169; score = -392.0; mean_score/100_episodes = -344.16; reward = -378.0; mean_reward/100_episodes = -327.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-07 10:08:13
Episode no = 2700; won: False; iter_time_steps = 34; Q(s,a) = 58.216580987667854; score = -343.0; mean_score/100_episodes = -332.68; reward = -324.0; mean_reward/100_episodes = -314.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-07 10:09:19
Episode no = 2800; won: False; iter_time_steps = 28; Q(s,a) = 65.30195651469394; score = -417.0; mean_score/100_episodes = -327.82; reward = -406.0; mean_reward/100_episodes = -305.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-07 10:10:28
