Episode no = 2000; won: False; iter_time_steps = 40; Q(s,a) = 90.48316477439802; score = -209.0; mean_score/100_episodes = -142.61; reward = -176.0; mean_reward/100_episodes = -108.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:44:27
Episode no = 2100; won: False; iter_time_steps = 26; Q(s,a) = 90.64226222112337; score = -325.0; mean_score/100_episodes = -106.94; reward = -305.0; mean_reward/100_episodes = -74.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:45:22
Episode no = 2200; won: False; iter_time_steps = 88; Q(s,a) = 94.11728307546706; score = 33.0; mean_score/100_episodes = -72.44; reward = 95.0; mean_reward/100_episodes = -38.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:46:22
Episode no = 2300; won: False; iter_time_steps = 48; Q(s,a) = 94.11477613822595; score = -107.0; mean_score/100_episodes = -89.69; reward = -63.0; mean_reward/100_episodes = -41.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:47:24
Episode no = 2400; won: False; iter_time_steps = 34; Q(s,a) = 96.69894994382447; score = -233.0; mean_score/100_episodes = -93.14; reward = -203.0; mean_reward/100_episodes = -52.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:48:20
Episode no = 2500; won: False; iter_time_steps = 58; Q(s,a) = 100.22378431101957; score = -67.0; mean_score/100_episodes = -97.38; reward = -7.0; mean_reward/100_episodes = -57.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:49:13
Episode no = 2600; won: False; iter_time_steps = 135; Q(s,a) = 102.7070362844281; score = 106.0; mean_score/100_episodes = -72.87; reward = 180.0; mean_reward/100_episodes = -43.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:50:10
Episode no = 2700; won: False; iter_time_steps = 57; Q(s,a) = 106.37929430091329; score = -86.0; mean_score/100_episodes = -82.67; reward = -50.0; mean_reward/100_episodes = -54.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:51:11
Episode no = 2800; won: False; iter_time_steps = 111; Q(s,a) = 116.12383565647539; score = 310.0; mean_score/100_episodes = -11.16; reward = 222.0; mean_reward/100_episodes = -2.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:52:15
Episode no = 2900; won: False; iter_time_steps = 100; Q(s,a) = 118.52972131313007; score = 531.0; mean_score/100_episodes = 117.48; reward = 295.0; mean_reward/100_episodes = 36.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:53:30
Episode no = 3000; won: False; iter_time_steps = 27; Q(s,a) = 123.1056359369389; score = -76.0; mean_score/100_episodes = 109.11; reward = -211.0; mean_reward/100_episodes = 60.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:54:41
Episode no = 3100; won: False; iter_time_steps = 109; Q(s,a) = 125.31371425323066; score = 112.0; mean_score/100_episodes = 101.38; reward = 15.0; mean_reward/100_episodes = 49.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:56:08
Episode no = 3200; won: False; iter_time_steps = 50; Q(s,a) = 122.8007760978257; score = -99.0; mean_score/100_episodes = 82.04; reward = -65.0; mean_reward/100_episodes = 35.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:57:29
Episode no = 3300; won: False; iter_time_steps = 101; Q(s,a) = 125.47194749811923; score = 140.0; mean_score/100_episodes = 46.86; reward = 214.0; mean_reward/100_episodes = 26.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:58:38
Episode no = 3400; won: False; iter_time_steps = 13; Q(s,a) = 126.27697955848336; score = -402.0; mean_score/100_episodes = -2.57; reward = -380.0; mean_reward/100_episodes = -8.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:59:41
Episode no = 3500; won: False; iter_time_steps = 36; Q(s,a) = 129.0751184881375; score = -195.0; mean_score/100_episodes = 101.3; reward = -161.0; mean_reward/100_episodes = 60.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:00:56
Episode no = 3600; won: False; iter_time_steps = 92; Q(s,a) = 132.1913017963435; score = 149.0; mean_score/100_episodes = 112.92; reward = 223.0; mean_reward/100_episodes = 56.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:02:09
Episode no = 3700; won: False; iter_time_steps = 80; Q(s,a) = 132.28348460161695; score = 151.0; mean_score/100_episodes = 189.64; reward = 235.0; mean_reward/100_episodes = 117.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:03:44
Episode no = 3800; won: False; iter_time_steps = 162; Q(s,a) = 142.70185038419075; score = 369.0; mean_score/100_episodes = 203.5; reward = 292.0; mean_reward/100_episodes = 117.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:05:06
