Episode no = 2600; won: False; iter_time_steps = 29; Q(s,a) = 86.37879606771084; score = -378.0; mean_score/100_episodes = -329.16; reward = -363.0; mean_reward/100_episodes = -315.27; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-28 13:55:05
Episode no = 2700; won: False; iter_time_steps = 48; Q(s,a) = 90.86835137264825; score = -307.0; mean_score/100_episodes = -330.93; reward = -283.0; mean_reward/100_episodes = -312.56; and epsilon = 0.64, win percentage = 0.0, 2024-11-28 13:56:13
Episode no = 2800; won: False; iter_time_steps = 77; Q(s,a) = 93.94723612597647; score = -286.0; mean_score/100_episodes = -329.62; reward = -257.0; mean_reward/100_episodes = -311.45; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-28 13:57:22
Episode no = 2900; won: False; iter_time_steps = 148; Q(s,a) = 98.43163950356043; score = -287.0; mean_score/100_episodes = -313.03; reward = -251.0; mean_reward/100_episodes = -289.91; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-28 13:58:33
Episode no = 3000; won: False; iter_time_steps = 58; Q(s,a) = 100.52766461322878; score = -267.0; mean_score/100_episodes = -308.27; reward = -227.0; mean_reward/100_episodes = -287.95; and epsilon = 0.6, win percentage = 0.0, 2024-11-28 13:59:38
Episode no = 3100; won: False; iter_time_steps = 21; Q(s,a) = 107.44379339637922; score = -410.0; mean_score/100_episodes = -314.38; reward = -399.0; mean_reward/100_episodes = -293.86; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-28 14:00:37
Episode no = 3200; won: False; iter_time_steps = 140; Q(s,a) = 109.63746564047294; score = -139.0; mean_score/100_episodes = -308.26; reward = -89.0; mean_reward/100_episodes = -284.71; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-28 14:01:36
Episode no = 3300; won: False; iter_time_steps = 47; Q(s,a) = 112.28850674585097; score = -336.0; mean_score/100_episodes = -328.73; reward = -315.0; mean_reward/100_episodes = -306.25; and epsilon = 0.56, win percentage = 0.0, 2024-11-28 14:02:28
Episode no = 3400; won: False; iter_time_steps = 82; Q(s,a) = 112.26264958657565; score = -181.0; mean_score/100_episodes = -289.05; reward = -130.0; mean_reward/100_episodes = -262.02; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-28 14:03:34
Episode no = 3500; won: False; iter_time_steps = 22; Q(s,a) = 115.49809522352086; score = -411.0; mean_score/100_episodes = -312.34; reward = -400.0; mean_reward/100_episodes = -292.32; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-28 14:04:26
Episode no = 3600; won: False; iter_time_steps = 23; Q(s,a) = 118.08934526554086; score = -382.0; mean_score/100_episodes = -304.15; reward = -357.0; mean_reward/100_episodes = -278.3; and epsilon = 0.52, win percentage = 0.0, 2024-11-28 14:05:25
Episode no = 3700; won: False; iter_time_steps = 51; Q(s,a) = 121.62327391378386; score = -330.0; mean_score/100_episodes = -312.51; reward = -308.0; mean_reward/100_episodes = -288.61; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-28 14:06:17
Episode no = 3800; won: False; iter_time_steps = 77; Q(s,a) = 124.35058312313909; score = -236.0; mean_score/100_episodes = -291.69; reward = -202.0; mean_reward/100_episodes = -267.06; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-28 14:07:20
Episode no = 3900; won: False; iter_time_steps = 79; Q(s,a) = 128.1226577141284; score = -158.0; mean_score/100_episodes = -274.74; reward = -116.0; mean_reward/100_episodes = -246.12; and epsilon = 0.48, win percentage = 0.0, 2024-11-28 14:08:27
