Episode no = 1900; won: False; iter_time_steps = 10; Q(s,a) = -10.974709413550041; score = -509.0; mean_score/100_episodes = -509.02; reward = -509.0; mean_reward/100_episodes = -508.95; snn_single_energy = 0; snn_total_energy = 0.1498739019427007; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 03:44:09
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.53; reward = -507.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0.17237584212165588; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 03:44:19
Episode no = 2100; won: False; iter_time_steps = 12; Q(s,a) = -11.964315600658495; score = -511.0; mean_score/100_episodes = -509.67; reward = -511.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0.19532372892912678; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 03:44:29
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.12; reward = -509.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0.22204170905229603; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-02 03:44:39
Episode no = 2300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.37; reward = -506.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0.24695845729607052; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-02 03:44:50
Episode no = 2400; won: False; iter_time_steps = 11; Q(s,a) = -13.253686155440432; score = -510.0; mean_score/100_episodes = -509.78; reward = -510.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0.2737950365129172; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-02 03:45:00
Episode no = 2500; won: False; iter_time_steps = 16; Q(s,a) = -13.618242446533026; score = -505.0; mean_score/100_episodes = -509.41; reward = -504.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0.2995745086067895; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-02 03:45:10
Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = -14.073594417570963; score = -511.0; mean_score/100_episodes = -510.03; reward = -511.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 0.328428775960842; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-02 03:45:20
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -14.428482245188945; score = -507.0; mean_score/100_episodes = -510.19; reward = -507.0; mean_reward/100_episodes = -510.01; snn_single_energy = 0; snn_total_energy = 0.3592236302017848; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-02 03:45:31
Episode no = 2800; won: False; iter_time_steps = 10; Q(s,a) = -14.323266825535118; score = -509.0; mean_score/100_episodes = -509.48; reward = -509.0; mean_reward/100_episodes = -509.38; snn_single_energy = 0; snn_total_energy = 0.38837945804084684; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-02 03:45:42
Episode no = 2900; won: False; iter_time_steps = 9; Q(s,a) = -15.003473719720654; score = -508.0; mean_score/100_episodes = -509.57; reward = -508.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0.41858354261096353; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-02 03:45:54
Episode no = 3000; won: False; iter_time_steps = 8; Q(s,a) = -15.035460783608336; score = -507.0; mean_score/100_episodes = -510.19; reward = -507.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0.4511203092173607; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-02 03:46:07
Episode no = 3100; won: False; iter_time_steps = 12; Q(s,a) = -15.46844293485832; score = -511.0; mean_score/100_episodes = -509.81; reward = -511.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0.4846836930510522; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-02 03:46:19
Episode no = 3200; won: False; iter_time_steps = 12; Q(s,a) = -16.111930646491906; score = -511.0; mean_score/100_episodes = -510.65; reward = -511.0; mean_reward/100_episodes = -510.59; snn_single_energy = 0; snn_total_energy = 0.5204372920813488; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-02 03:46:32
Episode no = 3300; won: False; iter_time_steps = 10; Q(s,a) = -15.963513623476334; score = -509.0; mean_score/100_episodes = -509.58; reward = -509.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0.555216098137649; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-02 03:46:45
Episode no = 3400; won: False; iter_time_steps = 18; Q(s,a) = -15.88176222976532; score = -517.0; mean_score/100_episodes = -508.9; reward = -517.0; mean_reward/100_episodes = -508.71; snn_single_energy = 0; snn_total_energy = 0.5889788105176802; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-02 03:46:57
Episode no = 3500; won: False; iter_time_steps = 9; Q(s,a) = -16.426584736697; score = -508.0; mean_score/100_episodes = -509.3; reward = -508.0; mean_reward/100_episodes = -509.33; snn_single_energy = 0; snn_total_energy = 0.6282619818112833; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-02 03:47:09
Episode no = 3600; won: False; iter_time_steps = 13; Q(s,a) = -16.378988138604107; score = -512.0; mean_score/100_episodes = -510.06; reward = -512.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 0.6679727760807891; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-02 03:47:23
Episode no = 3700; won: False; iter_time_steps = 6; Q(s,a) = -16.881023585453246; score = -505.0; mean_score/100_episodes = -509.74; reward = -505.0; mean_reward/100_episodes = -509.56; snn_single_energy = 0; snn_total_energy = 0.7078660472500501; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-02 03:47:36
Episode no = 3800; won: False; iter_time_steps = 10; Q(s,a) = -17.21991271054449; score = -509.0; mean_score/100_episodes = -510.29; reward = -509.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0.750035019326223; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-02 03:47:50
Episode no = 3900; won: False; iter_time_steps = 16; Q(s,a) = -17.40991954494277; score = -515.0; mean_score/100_episodes = -510.56; reward = -515.0; mean_reward/100_episodes = -510.43; snn_single_energy = 0; snn_total_energy = 0.7913818657083244; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 03:48:03
Episode no = 4000; won: False; iter_time_steps = 19; Q(s,a) = -17.29061937818127; score = -518.0; mean_score/100_episodes = -511.72; reward = -518.0; mean_reward/100_episodes = -511.27; snn_single_energy = 0; snn_total_energy = 0.8421804710857177; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 03:48:19
Episode no = 4100; won: False; iter_time_steps = 12; Q(s,a) = -17.29913685589585; score = -511.0; mean_score/100_episodes = -510.68; reward = -511.0; mean_reward/100_episodes = -510.62; snn_single_energy = 0; snn_total_energy = 0.8860525151053703; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-02 03:48:34
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -17.709990206640395; score = -509.0; mean_score/100_episodes = -511.68; reward = -509.0; mean_reward/100_episodes = -511.61; snn_single_energy = 0; snn_total_energy = 0.9350579293499245; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-02 03:48:48
Episode no = 4300; won: False; iter_time_steps = 9; Q(s,a) = -18.85425034763746; score = -508.0; mean_score/100_episodes = -509.89; reward = -508.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0.9792409693686741; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-02 03:49:00
Episode no = 4400; won: False; iter_time_steps = 7; Q(s,a) = -18.330542213241984; score = -506.0; mean_score/100_episodes = -490.64; reward = -506.0; mean_reward/100_episodes = -498.72; snn_single_energy = 0; snn_total_energy = 1.0275960113395732; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.02, 2024-12-02 03:49:12
