Episode no = 1900; won: False; iter_time_steps = 42; Q(s,a) = 125.97072892708285; score = -421.0; mean_score/100_episodes = -371.48; reward = -420.0; mean_reward/100_episodes = -360.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-20 14:37:21
Episode no = 2000; won: False; iter_time_steps = 172; Q(s,a) = 132.40071276278888; score = -141.0; mean_score/100_episodes = -350.4; reward = -99.0; mean_reward/100_episodes = -345.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-20 14:37:50
Episode no = 2100; won: False; iter_time_steps = 43; Q(s,a) = 132.67929019559944; score = -382.0; mean_score/100_episodes = -370.17; reward = -366.0; mean_reward/100_episodes = -357.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-20 14:38:18
Episode no = 2200; won: False; iter_time_steps = 29; Q(s,a) = 135.88017960336052; score = -438.0; mean_score/100_episodes = -356.97; reward = -429.0; mean_reward/100_episodes = -347.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-20 14:38:53
Episode no = 2300; won: False; iter_time_steps = 54; Q(s,a) = 139.36781539017625; score = -323.0; mean_score/100_episodes = -332.77; reward = -300.0; mean_reward/100_episodes = -325.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-20 14:39:25
Episode no = 2400; won: False; iter_time_steps = 18; Q(s,a) = 141.32297760709196; score = -467.0; mean_score/100_episodes = -349.72; reward = -462.0; mean_reward/100_episodes = -339.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-20 14:39:54
Episode no = 2500; won: False; iter_time_steps = 18; Q(s,a) = 144.6851672027106; score = -407.0; mean_score/100_episodes = -327.73; reward = -396.0; mean_reward/100_episodes = -319.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-20 14:40:24
Episode no = 2600; won: False; iter_time_steps = 184; Q(s,a) = 148.4458301149374; score = -263.0; mean_score/100_episodes = -302.47; reward = -221.0; mean_reward/100_episodes = -291.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-20 14:41:05
Episode no = 2700; won: False; iter_time_steps = 33; Q(s,a) = 150.6898104028238; score = -362.0; mean_score/100_episodes = -309.58; reward = -356.0; mean_reward/100_episodes = -304.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-20 14:41:45
Episode no = 2800; won: False; iter_time_steps = 48; Q(s,a) = 153.01835247752553; score = -337.0; mean_score/100_episodes = -309.66; reward = -316.0; mean_reward/100_episodes = -297.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-20 14:42:21
Episode no = 2900; won: False; iter_time_steps = 42; Q(s,a) = 155.01738222873726; score = -321.0; mean_score/100_episodes = -307.14; reward = -288.0; mean_reward/100_episodes = -294.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-20 14:42:55
Episode no = 3000; won: False; iter_time_steps = 107; Q(s,a) = 159.1498027933285; score = -206.0; mean_score/100_episodes = -299.08; reward = -166.0; mean_reward/100_episodes = -288.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-20 14:43:28
Episode no = 3100; won: False; iter_time_steps = 110; Q(s,a) = 160.34335705587972; score = -179.0; mean_score/100_episodes = -288.05; reward = -125.0; mean_reward/100_episodes = -285.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-20 14:44:02
Episode no = 3200; won: False; iter_time_steps = 97; Q(s,a) = 161.45186189293557; score = -286.0; mean_score/100_episodes = -309.38; reward = -255.0; mean_reward/100_episodes = -299.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-20 14:44:42
Episode no = 3300; won: False; iter_time_steps = 22; Q(s,a) = 164.15234895749433; score = -431.0; mean_score/100_episodes = -278.05; reward = -422.0; mean_reward/100_episodes = -270.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-20 14:45:22
Episode no = 3400; won: False; iter_time_steps = 52; Q(s,a) = 168.53880808136606; score = -231.0; mean_score/100_episodes = -275.99; reward = -188.0; mean_reward/100_episodes = -259.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-20 14:45:56
