Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = 97.04541658110807; score = -441.0; mean_score/100_episodes = -343.9; reward = -445.0; mean_reward/100_episodes = -323.48; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-29 06:10:55
Episode no = 2700; won: False; iter_time_steps = 23; Q(s,a) = 91.2322616282652; score = -382.0; mean_score/100_episodes = -331.28; reward = -357.0; mean_reward/100_episodes = -311.22; and epsilon = 0.64, win percentage = 0.0, 2024-11-29 06:11:59
Episode no = 2800; won: False; iter_time_steps = 139; Q(s,a) = 102.57707110522036; score = -158.0; mean_score/100_episodes = -328.11; reward = -110.0; mean_reward/100_episodes = -308.29; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-29 06:13:07
Episode no = 2900; won: False; iter_time_steps = 38; Q(s,a) = 108.97947619980037; score = -427.0; mean_score/100_episodes = -318.6; reward = -416.0; mean_reward/100_episodes = -298.42; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-29 06:14:20
Episode no = 3000; won: False; iter_time_steps = 14; Q(s,a) = 112.34535085722852; score = -403.0; mean_score/100_episodes = -345.93; reward = -392.0; mean_reward/100_episodes = -325.42; and epsilon = 0.6, win percentage = 0.0, 2024-11-29 06:15:15
Episode no = 3100; won: False; iter_time_steps = 14; Q(s,a) = 107.34719895034598; score = -403.0; mean_score/100_episodes = -328.32; reward = -392.0; mean_reward/100_episodes = -306.05; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-29 06:16:14
Episode no = 3200; won: False; iter_time_steps = 22; Q(s,a) = 119.00569882840038; score = -431.0; mean_score/100_episodes = -318.36; reward = -433.0; mean_reward/100_episodes = -294.13; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-29 06:17:18
Episode no = 3300; won: False; iter_time_steps = 14; Q(s,a) = 120.10027275081578; score = -413.0; mean_score/100_episodes = -298.49; reward = -403.0; mean_reward/100_episodes = -282.1; and epsilon = 0.56, win percentage = 0.0, 2024-11-29 06:18:21
Episode no = 3400; won: False; iter_time_steps = 46; Q(s,a) = 121.77493514086964; score = -355.0; mean_score/100_episodes = -316.84; reward = -347.0; mean_reward/100_episodes = -296.71; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-29 06:19:24
Episode no = 3500; won: False; iter_time_steps = 61; Q(s,a) = 124.25488335308442; score = -330.0; mean_score/100_episodes = -309.49; reward = -307.0; mean_reward/100_episodes = -289.69; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-29 06:20:20
Episode no = 3600; won: False; iter_time_steps = 38; Q(s,a) = 128.09912010676734; score = -317.0; mean_score/100_episodes = -288.27; reward = -295.0; mean_reward/100_episodes = -266.02; and epsilon = 0.52, win percentage = 0.0, 2024-11-29 06:21:23
Episode no = 3700; won: False; iter_time_steps = 43; Q(s,a) = 125.75239041136172; score = -322.0; mean_score/100_episodes = -303.67; reward = -300.0; mean_reward/100_episodes = -280.08; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-29 06:22:26
Episode no = 3800; won: False; iter_time_steps = 17; Q(s,a) = 131.69339502657934; score = -436.0; mean_score/100_episodes = -272.52; reward = -428.0; mean_reward/100_episodes = -247.86; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-29 06:23:39
Episode no = 3900; won: False; iter_time_steps = 47; Q(s,a) = 131.25246572802902; score = -286.0; mean_score/100_episodes = -260.05; reward = -271.0; mean_reward/100_episodes = -235.22; and epsilon = 0.48, win percentage = 0.0, 2024-11-29 06:24:54
Episode no = 4000; won: False; iter_time_steps = 115; Q(s,a) = 136.02879809489684; score = -34.0; mean_score/100_episodes = -260.25; reward = 13.0; mean_reward/100_episodes = -235.1; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-29 06:26:03
