Episode no = 1900; won: False; iter_time_steps = 11; Q(s,a) = -10.37806779895329; score = -510.0; mean_score/100_episodes = -508.98; reward = -510.0; mean_reward/100_episodes = -508.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-10 08:59:54
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.58; reward = -507.0; mean_reward/100_episodes = -509.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-10 09:00:01
Episode no = 2100; won: False; iter_time_steps = 11; Q(s,a) = -11.444696956197578; score = -510.0; mean_score/100_episodes = -509.37; reward = -510.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-10 09:00:36
Episode no = 2200; won: False; iter_time_steps = 9; Q(s,a) = -11.935532885904523; score = -508.0; mean_score/100_episodes = -509.45; reward = -508.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-10 09:00:43
Episode no = 2300; won: False; iter_time_steps = 15; Q(s,a) = -12.375487841997; score = -504.0; mean_score/100_episodes = -509.65; reward = -503.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-10 09:00:50
Episode no = 2400; won: False; iter_time_steps = 14; Q(s,a) = -12.829534096912607; score = -503.0; mean_score/100_episodes = -510.1; reward = -491.0; mean_reward/100_episodes = -509.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-10 09:00:57
Episode no = 2500; won: False; iter_time_steps = 12; Q(s,a) = -12.750890465408974; score = -511.0; mean_score/100_episodes = -510.07; reward = -511.0; mean_reward/100_episodes = -510.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-10 09:01:04
Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = -13.705832459632148; score = -511.0; mean_score/100_episodes = -509.4; reward = -511.0; mean_reward/100_episodes = -509.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-10 09:01:11
Episode no = 2700; won: False; iter_time_steps = 10; Q(s,a) = -14.115536864495066; score = -509.0; mean_score/100_episodes = -509.54; reward = -509.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-10 09:01:18
Episode no = 2800; won: False; iter_time_steps = 33; Q(s,a) = -14.438579926700433; score = -532.0; mean_score/100_episodes = -509.97; reward = -532.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-10 09:01:27
