Episode no = 2600; won: False; iter_time_steps = 85; Q(s,a) = 144.53891500921924; score = -134.0; mean_score/100_episodes = -339.29; reward = -269.0; mean_reward/100_episodes = -330.0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-27 15:08:22
Episode no = 2700; won: False; iter_time_steps = 27; Q(s,a) = 145.39018337275073; score = -446.0; mean_score/100_episodes = -350.56; reward = -438.0; mean_reward/100_episodes = -330.14; and epsilon = 0.64, win percentage = 0.0, 2024-11-27 15:10:54
Episode no = 2800; won: False; iter_time_steps = 85; Q(s,a) = 148.99253194445674; score = -324.0; mean_score/100_episodes = -329.77; reward = -287.0; mean_reward/100_episodes = -313.86; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-27 15:13:35
Episode no = 2900; won: False; iter_time_steps = 70; Q(s,a) = 144.53205461826045; score = -279.0; mean_score/100_episodes = -342.73; reward = -250.0; mean_reward/100_episodes = -323.77; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-27 15:16:03
Episode no = 3000; won: False; iter_time_steps = 15; Q(s,a) = 144.48422021819096; score = -444.0; mean_score/100_episodes = -340.88; reward = -426.0; mean_reward/100_episodes = -324.84; and epsilon = 0.6, win percentage = 0.0, 2024-11-27 15:18:26
Episode no = 3100; won: False; iter_time_steps = 78; Q(s,a) = 153.6156362740903; score = -217.0; mean_score/100_episodes = -320.15; reward = -181.0; mean_reward/100_episodes = -305.78; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-27 15:21:01
Episode no = 3200; won: False; iter_time_steps = 85; Q(s,a) = 160.4766538571929; score = -314.0; mean_score/100_episodes = -310.25; reward = -287.0; mean_reward/100_episodes = -292.49; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-27 15:23:52
Episode no = 3300; won: False; iter_time_steps = 42; Q(s,a) = 164.1126756238849; score = -371.0; mean_score/100_episodes = -299.44; reward = -354.0; mean_reward/100_episodes = -284.45; and epsilon = 0.56, win percentage = 0.0, 2024-11-27 15:26:26
Episode no = 3400; won: False; iter_time_steps = 36; Q(s,a) = 266.8744338587814; score = -375.0; mean_score/100_episodes = -296.08; reward = -348.0; mean_reward/100_episodes = -278.83; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-27 15:29:21
Episode no = 3500; won: False; iter_time_steps = 84; Q(s,a) = 162.91411308304487; score = -223.0; mean_score/100_episodes = -298.13; reward = -187.0; mean_reward/100_episodes = -280.37; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-27 15:31:57
Episode no = 3600; won: False; iter_time_steps = 70; Q(s,a) = 186.34816018533417; score = -239.0; mean_score/100_episodes = -264.89; reward = -195.0; mean_reward/100_episodes = -259.07; and epsilon = 0.52, win percentage = 0.0, 2024-11-27 15:34:39
Episode no = 3700; won: False; iter_time_steps = 84; Q(s,a) = 163.20563953432676; score = -253.0; mean_score/100_episodes = -276.57; reward = -220.0; mean_reward/100_episodes = -257.82; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-27 15:37:26
Episode no = 3800; won: False; iter_time_steps = 80; Q(s,a) = 197.69931656660287; score = -219.0; mean_score/100_episodes = -269.27; reward = -183.0; mean_reward/100_episodes = -264.37; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-27 15:40:04
Episode no = 3900; won: False; iter_time_steps = 85; Q(s,a) = 166.19398506058587; score = -234.0; mean_score/100_episodes = -270.0; reward = -199.0; mean_reward/100_episodes = -260.17; and epsilon = 0.48, win percentage = 0.0, 2024-11-27 15:42:34
